SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,39199 Walnut Ter #26,Fremont,CA,94536,799950,2,2.0,Guardino,1270,1270,1984,1,630,523,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/39199-Walnut-Ter-94536/unit-26/home/1487148,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040012,N,Y,37.5595493,-121.9693503
MLS Listing,,Townhouse,37903 Vallejo St,Fremont,CA,94536,1150000,2,1.5,FREMONT,891,9503,1981,17,1291,,Active,,,https://www.redfin.com/CA/Fremont/37903-Vallejo-St-94536/home/1864549,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038803,N,Y,37.5766588,-121.9729761
Redfin Data,,Single Family Residential,4050 Margery Dr,Fremont,CA,94538,1698888,3,2.0,Fremont,1600,6000,1958,1,1062,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/4050-Margery-Dr-94538/home/1108404,Coming Soon,95151,N,Y,37.5375511,-121.9705505
Redfin Data,,Single Family Residential,41247 Apricot Ln,Fremont,CA,94539,2200000,4,2.0,Fremont,1698,6720,1960,5,1296,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/41247-Apricot-Ln-94539/home/1637276,Coming Soon,95061,N,Y,37.5395414,-121.948489
Redfin Data,,Condo/Co-op,420 Sequim Cmn,Fremont,CA,94539,700000,2,2.0,Fremont,897,,1985,17,780,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/420-Sequim-Cmn-94539/home/1260786,Coming Soon,94889,N,Y,37.4911477,-121.9252479
Redfin Data,,Condo/Co-op,38627 Cherry Ln #73,Fremont,CA,94536,420000,1,1.0,Fremont,623,649200,1974,18,674,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/38627-Cherry-Ln-94536/unit-73/home/1829222,Coming Soon,94870,N,Y,37.565509,-121.972379
MLS Listing,,Single Family Residential,43177 Continental Dr,Fremont,CA,94538,1275000,3,2.0,IRVINGTON AREA,1126,5000,1955,1,1132,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/43177-Continental-Dr-94538/home/1933365,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040616,N,Y,37.5185454,-121.9507572
MLS Listing,,Single Family Residential,2032 Country Dr,Fremont,CA,94536,1695000,4,2.0,PARKMONT,2147,6500,1962,1,789,61,Active,,,https://www.redfin.com/CA/Fremont/2032-Country-Dr-94536/home/1063751,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038709,N,Y,37.5593289,-121.9825326
MLS Listing,,Single Family Residential,36731 Cabrillo Dr,Fremont,CA,94536,980000,3,1.0,FREMONT,1074,5225,1953,1,912,,Active,September-29-2023 04:30 PM,September-29-2023 07:00 PM,https://www.redfin.com/CA/Fremont/36731-Cabrillo-Dr-94536/home/1437761,MLSListings,ML81943581,N,Y,37.5534341,-122.0213447
MLS Listing,,Single Family Residential,575 Ginkgo Ter,Fremont,CA,94539,1599999,4,3.5,WARM SPRINGS,1911,6647,2009,1,837,115,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/575-Ginkgo-Ter-94539/home/22962620,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039235,N,Y,37.4611762,-121.9178641
MLS Listing,,Single Family Residential,4456 Gina St,Fremont,CA,94538,1088888,3,1.0,FREMONT,950,5300,1955,1,1146,,Active,October-7-2023 10:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/CA/Fremont/4456-Gina-St-94538/home/1791136,MLSListings,ML81943535,N,Y,37.5319577,-121.9710263
MLS Listing,,Townhouse,264 Fountain Grass Ter,Fremont,CA,94539,999000,2,2.0,WARM SPRINGS,1450,13002,2008,1,689,235,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/264-Fountain-Grass-Ter-94539/home/22962833,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040527,N,Y,37.4621725,-121.9146953
MLS Listing,,Condo/Co-op,38623 Cherry Ln #224,Fremont,CA,94536,748000,3,2.0,FREMONT,1101,1101,1974,1,679,460,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Fremont/38623-Cherry-Ln-94536/unit-224/home/187743827,MLSListings,ML81943504,N,Y,37.5655277,-121.9738453
MLS Listing,,Mobile/Manufactured Home,711 Old Canyon Rd #50,Fremont,CA,94536,168000,2,2.0,NILES CANYON MHP,1344,,,1,125,,Active,,,https://www.redfin.com/CA/Fremont/711-Old-Canyon-Rd-94536/unit-50/home/187743799,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040513,N,Y,37.5771173,-121.9661518
MLS Listing,,Condo/Co-op,1910 Barrymore Cmn Unit G,Fremont,CA,94538,599000,2,1.0,FREMONT,882,225193,1981,1,679,565,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/1910-Barrymore-Cmn-94538/unit-G/home/1077297,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040490,N,Y,37.5543317,-121.9693731
MLS Listing,,Single Family Residential,4559 Northdale Dr,Fremont,CA,94536,1650000,3,2.0,GLENMOOR,1781,9960,1955,1,926,30,Active,October-1-2023 11:00 AM,October-1-2023 01:00 PM,https://www.redfin.com/CA/Fremont/4559-Northdale-Dr-94536/home/1052724,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040487,N,Y,37.5449293,-122.0004221
MLS Listing,,Condo/Co-op,5001 Shalimar Cir #1,Fremont,CA,94555,770000,2,2.0,FREMONT,892,,1987,1,863,335,Active,September-29-2023 05:00 PM,September-29-2023 07:00 PM,https://www.redfin.com/CA/Fremont/5001-Shalimar-Cir-94555/unit-1/home/905892,MLSListings,ML81943467,N,Y,37.562425,-122.0493316
MLS Listing,,Condo/Co-op,34109 Susa Ter,Fremont,CA,94555,1550000,4,3.5,FREMONT,1969,,2013,1,787,284,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/34109-Susa-Ter-94555/home/17185559,MLSListings,ML81943394,N,Y,37.5601138,-122.0625064
MLS Listing,,Townhouse,37373 Viceroy Cmn,Fremont,CA,94536,1639000,4,3.5,Not Listed,2191,2342,2023,1,748,285,Active,September-30-2023 10:30 AM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/37373-Viceroy-CMN-94536/home/187725215,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040425,N,Y,37.544587,-122.017409
MLS Listing,,Single Family Residential,35181 Mount Whitney Ter,Fremont,CA,94536,1799000,4,3.0,NILES AREA,2196,4275,2000,1,819,140,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/35181-Mount-Whitney-Ter-94536/home/1208617,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040416,N,Y,37.5880648,-122.0032673
MLS Listing,,Mobile/Manufactured Home,4141 Deep Creek Rd #181,Fremont,CA,94555,198800,2,2.0,BESARO MHP,1152,,,2,173,,Active,,,https://www.redfin.com/CA/Fremont/4141-Deep-Creek-Rd-94555/unit-181/home/21855542,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040411,N,Y,37.5788818,-122.0530485
MLS Listing,,Condo/Co-op,969 Avila Terraza,Fremont,CA,94538,910000,2,2.0,ANDALUSIA,1102,259532,2001,2,826,480,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/969-Avila-Terraza-94538/home/187684541,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040313,N,Y,37.559889,-121.967178
MLS Listing,,Townhouse,38856 Northern Cmn,Fremont,CA,94536,1099000,3,2.5,LAKE POINT,1400,1014,1995,2,785,220,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/38856-Northern-Cmn-94536/home/1069851,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040273,N,Y,37.5607367,-121.9732418
MLS Listing,,Single Family Residential,191 W Hunter Ln,Fremont,CA,94539,2699000,4,2.5,MISSION,2539,10357,1989,2,1063,,Active,,,https://www.redfin.com/CA/Fremont/191-W-Hunter-Ln-94539/home/1789945,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040279,N,Y,37.520998,-121.9185771
MLS Listing,,Condo/Co-op,5670 Salvia Cmn,Fremont,CA,94538,898000,2,2.5,,1157,42901,1994,2,776,335,Active,September-30-2023 01:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Fremont/5670-Salvia-Cmn-94538/home/187364315,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040288,N,Y,37.5214073,-121.9840972
MLS Listing,,Condo/Co-op,41622 Belford Ter,Fremont,CA,94538,1296880,4,3.0,Not Listed,1569,,2023,3,827,334,Active,September-30-2023 11:00 AM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/41622-Belford-TER-94538/home/187669175,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040228,N,Y,37.529383,-121.954991
MLS Listing,,Single Family Residential,4629 Diaz Dr,Fremont,CA,94536,1350000,3,2.0,CABRILLO,1558,7200,1958,3,866,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/4629-Diaz-Dr-94536/home/1401314,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039045,N,Y,37.5606553,-122.0309589
MLS Listing,,Single Family Residential,5282 Abbey Ct,Newark,CA,94560,1075000,3,2.0,Not Listed,1126,6000,1958,4,955,,Active,September-30-2023 12:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Newark/5282-Abbey-Ct-94560/home/1347569,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039393,N,Y,37.5440022,-122.0225266
MLS Listing,,Single Family Residential,634 Cuenca Way,Fremont,CA,94536,1799000,3,2.5,RANCHO ARROYO,2281,10560,1967,4,789,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/634-Cuenca-Way-94536/home/1527945,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037402,N,Y,37.5760178,-121.9942893
