SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6544 Little Falls Dr,San Jose,CA,95120,2378999,4,2.5,SAN JOSE,2364,10610,1965,3,1006,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/6544-Little-Falls-Dr-95120/home/1317823,MLSListings,ML81940360,N,Y,37.216909,-121.8700034
MLS Listing,,Condo/Co-op,922 Gaspar Vis,San Jose,CA,95126,1200000,4,4.0,SAN JOSE,1930,984,2009,3,622,318,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/922-Gaspar-Vis-95126/home/28895153,MLSListings,ML81940163,N,Y,37.3213381,-121.9041297
MLS Listing,,Single Family Residential,4993 Grimsby Dr,San Jose,CA,95130,2498888,4,2.5,SAN JOSE,1955,5636,1965,3,1278,,Active,September-30-2023 11:00 AM,September-30-2023 02:00 PM,https://www.redfin.com/CA/San-Jose/4993-Grimsby-Dr-95130/home/1697470,MLSListings,ML81943157,N,Y,37.2804434,-121.9886765
MLS Listing,,Single Family Residential,818 N 13th St,San Jose,CA,95112,1118000,3,1.0,SAN JOSE,1316,5404,1910,4,850,,Active,,,https://www.redfin.com/CA/San-Jose/818-N-13th-St-95112/home/1548418,MLSListings,ML81943043,N,Y,37.3578108,-121.8895021
MLS Listing,,Single Family Residential,2451 Cory Ave,San Jose,CA,95128,899999,3,1.0,SAN JOSE,1040,7230,1950,7,865,,Active,,,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,MLSListings,ML81942790,N,Y,37.3319824,-121.9487775
MLS Listing,,Single Family Residential,1037 Keltner Ave,San Jose,CA,95117,1498000,4,2.0,SAN JOSE,1236,6613,1958,9,1212,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1037-Keltner-Ave-95117/home/749377,MLSListings,ML81942573,N,Y,37.3077923,-121.9681735
MLS Listing,,Townhouse,1882 Winding Creek Ct,San Jose,CA,95148,858000,2,2.5,SAN JOSE,1473,1974,1984,10,582,466,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1882-Winding-Creek-Ct-95148/home/1109067,MLSListings,ML81942039,N,Y,37.3503339,-121.794899
MLS Listing,,Single Family Residential,1475 Mckendrie St,San Jose,CA,95126,2300000,6,4.0,SAN JOSE,3096,10376,1925,23,743,,Active,,,https://www.redfin.com/CA/San-Jose/1475-McKendrie-St-95126/home/1719627,MLSListings,ML81938281,N,Y,37.3375957,-121.9306671
MLS Listing,,Condo/Co-op,1060 S 3rd St #381,San Jose,CA,95112,490000,1,1.0,SAN JOSE,667,,2005,37,735,575,Active,,,https://www.redfin.com/CA/San-Jose/1060-S-3rd-St-95112/unit-381/home/2124611,MLSListings,ML81939622,N,Y,37.3217979,-121.8760512
MLS Listing,,Condo/Co-op,1375 Lick Ave #1030,San Jose,CA,95110,615000,1,1.0,SAN JOSE,687,,2009,59,895,515,Active,,,https://www.redfin.com/CA/San-Jose/1375-Lick-Ave-95110/unit-1030/home/17290531,MLSListings,ML81936870,N,Y,37.311013,-121.882429
MLS Listing,,Condo/Co-op,38 N Almaden Blvd #403,San Jose,CA,95110,699888,1,1.0,SAN JOSE,868,,2008,86,806,577,Active,,,https://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-403/home/17288134,MLSListings,ML81933877,N,Y,37.3348687,-121.8957681
Redfin Data,,Single Family Residential,6816 Avenida Rotella,San Jose,CA,95139,1100000,3,2.0,San Jose,1184,4880,1970,1,929,63,Pre On-Market,,,https://www.redfin.com/CA/San-Jose/6816-Avenida-Rotella-95139/home/1680242,Coming Soon,95129,N,Y,37.2300944,-121.7731635
Redfin Data,,Condo/Co-op,706 Avenue One,San Jose,CA,95123,1138000,3,3.5,San Jose,1712,1153,2016,3,665,,Pre On-Market,,,https://www.redfin.com/CA/San-Jose/706-Avenue-One-95123/home/95957859,Coming Soon,95096,N,Y,37.2433675,-121.797521
Redfin Data,,Single Family Residential,1555 Mission Springs Cir,San Jose,CA,95131,1600000,4,2.5,San Jose,1768,3500,1997,10,905,,Pre On-Market,,,https://www.redfin.com/CA/San-Jose/1555-Mission-Springs-Cir-95131/home/686616,Coming Soon,94988,N,Y,37.3838032,-121.8870905
MLS Listing,,Condo/Co-op,8371 Riesling Way,San Jose,CA,95135,698888,2,2.0,SAN JOSE,1370,,1978,1,510,1000,Active,,,https://www.redfin.com/CA/San-Jose/8371-Riesling-Way-95135/home/1679004,MLSListings,ML81940666,N,Y,37.2837353,-121.7513286
MLS Listing,,Single Family Residential,3216 Stephanie Ct,San Jose,CA,95132,1200888,3,1.5,SAN JOSE,1080,6087,1971,1,1112,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3216-Stephanie-Ct-95132/home/1756931,MLSListings,ML81943648,N,Y,37.4073447,-121.8585087
MLS Listing,,Multi-Family (2-4 Unit),3175 Locke Dr,San Jose,CA,95111,1628888,8,4.0,SAN JOSE,3369,9963,1971,1,483,,Active,,,https://www.redfin.com/CA/San-Jose/3175-Locke-Dr-95111/home/1555932,MLSListings,ML81943636,N,Y,37.296447,-121.8279038
MLS Listing,,Single Family Residential,3133 Stevens Ct,San Jose,CA,95148,1500000,4,2.0,SAN JOSE,1672,9300,1978,1,897,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3133-Stevens-Ct-95148/home/738193,MLSListings,ML81943625,N,Y,37.3209634,-121.7840303
MLS Listing,,Single Family Residential,6184 Glen Harbor Dr,San Jose,CA,95123,1349000,3,2.0,SAN JOSE,1740,5755,1968,1,775,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/6184-Glen-Harbor-Dr-95123/home/894930,MLSListings,ML81943609,N,Y,37.235876,-121.8174932
MLS Listing,,Condo/Co-op,297 Sumba Ct,San Jose,CA,95123,675000,2,2.0,SAN JOSE,1122,,1985,1,602,446,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/297-Sumba-Ct-95123/home/994997,MLSListings,ML81942957,N,Y,37.2554313,-121.829902
MLS Listing,,Single Family Residential,2279 Maximilian Dr,San Jose,CA,95130,1749000,4,2.0,SAN JOSE,1486,6000,1962,1,1177,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2279-Maximilian-Dr-95130/home/818069,MLSListings,ML81943620,N,Y,37.279734,-121.966353
MLS Listing,,Single Family Residential,4010 Timberline Dr,San Jose,CA,95121,1690000,4,3.0,SAN JOSE,1870,9361,1964,1,904,32,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/4010-Timberline-Dr-95121/home/1449709,MLSListings,ML81943597,N,Y,37.3064236,-121.7805588
MLS Listing,,Single Family Residential,3398 San Mardo Ave,San Jose,CA,95127,950000,3,1.0,SAN JOSE,1075,4991,1954,1,884,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3398-San-Mardo-Ave-95127/home/1730776,MLSListings,ML81943444,N,Y,37.3894086,-121.8361457
