SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,532 Tyrella Ave #29,Mountain View,CA,94043,1190000,3,2.0,,1128,960,1971,15,1055,375,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/532-Tyrella-Ave-94043/unit-29/home/1057077,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039207,N,Y,37.404157,-122.0630153
MLS Listing,,Single Family Residential,1962 Colony St,Mountain View,CA,94043,2488000,4,3.5,MOUNTAIN VIEW,2110,1064,2023,1,1179,295,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1962-Colony-St-94043/home/187762310,MLSListings,ML81943642,N,Y,37.4158031,-122.0895086
MLS Listing,,Single Family Residential,1433-1455 Villa St,Mountain View,CA,94041,1995000,2,1.0,MOUNTAIN VIEW,875,7784,1958,1,2280,,Active,October-5-2023 12:00 PM,October-5-2023 02:00 PM,https://www.redfin.com/CA/Mountain-View/1433-Villa-St-94041/home/934300,MLSListings,ML81943591,N,Y,37.3965676,-122.0864297
MLS Listing,,Condo/Co-op,2211 Latham St #322,Mountain View,CA,94040,798000,2,2.0,MOUNTAIN VIEW,1206,,1978,1,662,657,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-322/home/2121193,MLSListings,ML81942343,N,Y,37.3972947,-122.1030499
MLS Listing,,Condo/Co-op,264 N Whisman Rd #25,Mountain View,CA,94043,919000,3,2.0,MOUNTAIN VIEW,1284,,1978,1,716,750,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/264-N-Whisman-Rd-94043/unit-25/home/1254389,MLSListings,ML81943464,N,Y,37.3961104,-122.0603562
MLS Listing,,Single Family Residential,3364 Villa Robleda Dr,Mountain View,CA,94040,3195000,4,2.5,MOUNTAIN VIEW,2411,8567,1972,1,1325,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/3364-Villa-Robleda-Dr-94040/home/1575901,MLSListings,ML81943426,N,Y,37.3625605,-122.0703619
MLS Listing,,Single Family Residential,435 Cecelia Way,Los Altos,CA,94022,3998000,5,3.0,LOS ALTOS,2374,13500,1952,1,1684,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/435-Cecelia-Way-94022/home/1867792,MLSListings,ML81943421,N,Y,37.3918311,-122.1036933
MLS Listing,,Townhouse,1523 Lilac Ln,Mountain View,CA,94043,1599000,3,2.5,MOUNTAIN VIEW,1581,1812,1968,1,1011,415,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Mountain-View/1523-Lilac-Ln-94043/home/1627185,MLSListings,ML81943410,N,Y,37.4025847,-122.0856308
MLS Listing,,Townhouse,196 Central Ave,Mountain View,CA,94043,1138000,2,1.5,MOUNTAIN VIEW,1290,899,1977,1,882,555,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/196-Central-Ave-94043/home/1601554,MLSListings,ML81943403,N,Y,37.3957734,-122.0694134
MLS Listing,,Single Family Residential,1028 Tulane Dr,Mountain View,CA,94040,2988000,3,2.5,MOUNTAIN VIEW,1775,5668,1953,2,1683,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1028-Tulane-Dr-94040/home/1525435,MLSListings,ML81943365,N,Y,37.3766695,-122.0921328
MLS Listing,,Townhouse,2197 Rock St,Mountain View,CA,94043,1328000,3,1.5,MOUNTAIN VIEW,1325,1274,1970,2,1002,525,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/2197-Rock-St-94043/home/1339240,MLSListings,ML81943361,N,Y,37.4124543,-122.0945756
MLS Listing,,Townhouse,906 Arietta Dr,Mountain View,CA,94043,999888,3,2.5,MOUNTAIN VIEW,1480,846,2014,2,676,273,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/906-Arietta-Dr-94043/home/95955084,MLSListings,ML81943349,N,Y,37.4177287,-122.0922667
MLS Listing,,Single Family Residential,1633 Miramonte Ave,Mountain View,CA,94040,2348000,3,2.0,MOUNTAIN VIEW,1178,6237,1955,2,1993,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1633-Miramonte-Ave-94040/home/1562304,MLSListings,ML81943344,N,Y,37.3761704,-122.0866516
MLS Listing,,Single Family Residential,400 Chiquita Ave,Mountain View,CA,94041,2418000,4,3.0,MOUNTAIN VIEW,1957,5292,1941,2,1236,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/400-Chiquita-Ave-94041/home/1160099,MLSListings,ML81943324,N,Y,37.3953021,-122.0912228
MLS Listing,,Single Family Residential,461 Whisman Park Dr,Mountain View,CA,94043,1998000,3,3.0,MOUNTAIN VIEW,1833,2766,1999,2,1090,212,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/461-Whisman-Park-Dr-94043/home/1707939,MLSListings,ML81943111,N,Y,37.3885064,-122.0577573
MLS Listing,,Single Family Residential,1810 Walnut Dr,Mountain View,CA,94040,2988000,4,3.0,MOUNTAIN VIEW,1894,6510,1956,2,1578,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1810-Walnut-Dr-94040/home/1670404,MLSListings,ML81943246,N,Y,37.3705932,-122.0926875
MLS Listing,,Single Family Residential,1088 Washington St,Mountain View,CA,94043,2199000,3,2.0,MOUNTAIN VIEW,1140,6016,1946,4,1929,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1088-Washington-St-94043/home/1761249,MLSListings,ML81943103,N,Y,37.3986329,-122.0827015
MLS Listing,,Vacant Land,208 Mountain View Ave,Mountain View,CA,94041,1848000,,,MOUNTAIN VIEW,,7000,,7,,,Active,,,https://www.redfin.com/CA/Mountain-View/208-Mountain-View-Ave-94041/home/187644614,MLSListings,ML81942894,N,Y,37.3959422,-122.0849136
MLS Listing,,Condo/Co-op,1101 W El Camino Real #209,Mountain View,CA,94040,939000,1,1.5,DOWNTOWN,845,809,2017,7,1111,716,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/1101-W-El-Camino-Real-94040/unit-209/home/143041992,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039934,N,Y,37.3869643,-122.0873173
MLS Listing,,Single Family Residential,1548 Spring St,Mountain View,CA,94043,1699000,3,2.0,MOUNTAIN VIEW,1672,7130,1956,8,1016,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1548-Spring-St-94043/home/1822188,MLSListings,ML81939597,N,Y,37.412436,-122.0807707
MLS Listing,,Condo/Co-op,400 Ortega Ave #319,Mountain View,CA,94040,864400,2,1.0,MOUNTAIN VIEW,960,,1975,8,900,596,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-319/home/2121076,MLSListings,ML81942813,N,Y,37.399433,-122.105693
MLS Listing,,Condo/Co-op,1031 Crestview Dr #114,Mountain View,CA,94040,849888,2,2.0,MOUNTAIN VIEW,1140,,1969,8,746,611,Active,,,https://www.redfin.com/CA/Mountain-View/1031-Crestview-Dr-94040/unit-114/home/1799045,MLSListings,ML81940019,N,Y,37.3737637,-122.0596296
