SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Mobile/Manufactured Home,1370 Buckingham Way,Hayward,CA,94544,362000,3,2.0,GEORGIAN  MANOR,1529,,,9,237,,Active,,,https://www.redfin.com/CA/Hayward/1370-Buckingham-Way-94544/home/1312488,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039652,N,Y,37.621398,-122.0663223
MLS Listing,,Single Family Residential,2037 Continental Ave,Hayward,CA,94545,979888,4,2.5,CENTRAL HAYWARD,1723,3500,1991,10,569,,Active,,,https://www.redfin.com/CA/Hayward/2037-Continental-Ave-94545/home/1947781,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037378,N,Y,37.6432569,-122.1161605
MLS Listing,,Single Family Residential,25705 Westview Way,Hayward,CA,94542,1299000,4,2.0,HAYWARD HILLS,2465,4497,1940,28,527,,Active,September-30-2023 12:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Hayward/25705-Westview-Way-94542/home/1985820,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41036075,N,Y,37.6550672,-122.0654805
Redfin Data,,Single Family Residential,3431 Thompson Pl,Hayward,CA,94541,1500000,4,2.5,Hayward,2587,10836,1989,23,580,,Pre On-Market,,,https://www.redfin.com/CA/Hayward/3431-Thompson-Pl-94541/home/1425199,Coming Soon,94789,N,Y,37.6678027,-122.0417268
MLS Listing,,Single Family Residential,518 Simon St,Hayward,CA,94541,699999,2,1.5,HAYWARD,1013,6277,1940,1,691,,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Hayward/518-Simon-St-94541/home/1615204,MLSListings,ML81943655,N,Y,37.6748237,-122.0937155
MLS Listing,,Single Family Residential,3160 D St,Hayward,CA,94541,1100000,2,2.0,FAIRVIEW,1364,6100,1951,1,806,,Active,,,https://www.redfin.com/CA/Hayward/3160-D-St-94541/home/1179635,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039264,N,Y,37.6791546,-122.0499915
MLS Listing,,Multi-Family (5+ Unit),341 Medford Ave,Hayward,CA,94541,2700000,6,6.0,Hayward,4080,19133,1989,1,662,,Active,,,https://www.redfin.com/CA/Hayward/341-Medford-Ave-94541/home/1338095,TheMLS,23-282933,N,Y,37.6807081,-122.1068134
MLS Listing,,Single Family Residential,3146 Madsen St,Hayward,CA,94541,1190000,3,3.0,CENTRAL HAYWARD,2204,3814,2009,1,540,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Hayward/3146-Madsen-St-94541/home/22682891,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040429,N,Y,37.6628847,-122.0906443
MLS Listing,,Vacant Land,24355 Israel Ct,Hayward,CA,94541,499000,,,Hayward,,9047,,1,,,Active,,,https://www.redfin.com/CA/Hayward/24355-Israel-Ct-94541/home/21673050,MetroList,223091197,N,Y,37.671594,-122.064773
MLS Listing,,Condo/Co-op,26593 Mission Blvd,Hayward,CA,94544,838888,3,2.5,HAYWARD,1735,,2020,1,484,390,Active,,,https://www.redfin.com/CA/Hayward/26593-Mission-Blvd-94544/home/172853127,MLSListings,ML81943507,N,Y,37.6476094,-122.0644656
