SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4213 Queensboro Way,Union City,CA,94587,1288000,3,2.0,ALVARADO,1357,5000,1971,1,949,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/4213-Queensboro-Way-94587/home/1265212,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040553,N,Y,37.5909549,-122.074712
MLS Listing,,Single Family Residential,33774 Dalton Ct,Union City,CA,94587,1299000,3,2.0,,1320,8580,1968,2,984,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/33774-Dalton-Ct-94587/home/1527131,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040470,N,Y,37.5928334,-122.0308035
MLS Listing,,Townhouse,2621 Great Arbor Way #71,Union City,CA,94587,759000,3,2.5,ALVARADO,1320,124015,1985,2,575,430,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2621-Great-Arbor-Way-94587/unit-71/home/533496,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038710,N,Y,37.5940657,-122.0486278
MLS Listing,,Condo/Co-op,4934 Lowry Rd,Union City,CA,94587,605000,2,1.5,BRIDGEPOINTE,888,,1985,2,681,403,Active,,,https://www.redfin.com/CA/Union-City/4934-Lowry-Rd-94587/home/187718660,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040421,N,Y,37.5674107,-122.0690564
MLS Listing,,Single Family Residential,35181 Mount Whitney Ter,Fremont,CA,94536,1799000,4,3.0,NILES AREA,2196,4275,2000,2,819,140,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/35181-Mount-Whitney-Ter-94536/home/1208617,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040416,N,Y,37.5880648,-122.0032673
MLS Listing,,Multi-Family (2-4 Unit),33454 7th St,Union City,CA,94587,1250000,6,4.0,UNION CITY,2342,5000,1991,3,534,,Active,,,https://www.redfin.com/CA/Union-City/33454-7th-St-94587/home/1262777,MLSListings,ML81943364,N,Y,37.6022101,-122.0224423
MLS Listing,,Townhouse,4232 Miramonte Way,Union City,CA,94587,698000,2,1.5,EL DORADO PARK,1054,1422,1972,3,662,297,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/4232-Miramonte-Way-94587/home/739642,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040393,N,Y,37.5919732,-122.0762327
MLS Listing,,Single Family Residential,2483 Ascot Way,Union City,CA,94587,1199800,3,2.0,UNION CITY,1349,6000,1968,3,889,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2483-Ascot-Way-94587/home/1028063,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040369,N,Y,37.6011373,-122.0586328
MLS Listing,,Single Family Residential,2452 Maraschino Pl,Union City,CA,94587,1199000,3,2.0,CREEKSIDE,1392,6120,1972,3,861,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2452-Maraschino-Pl-94587/home/1996653,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039813,N,Y,37.5845053,-122.0252891
MLS Listing,,Single Family Residential,33624 6th St,Union City,CA,94587,749888,2,1.0,DECOTO,720,5000,1947,3,1042,,Active,,,https://www.redfin.com/CA/Union-City/33624-6th-St-94587/home/1044551,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040278,N,Y,37.6012196,-122.0201456
MLS Listing,,Single Family Residential,2717 Meadowlark Dr,Union City,CA,94587,1098888,3,2.0,UNION CITY,1392,7086,1975,5,789,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2717-Meadowlark-Dr-94587/home/22962686,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040106,N,Y,37.5891782,-122.041412
MLS Listing,,Townhouse,4120 Aquarius Cir,Union City,CA,94587,748888,3,1.5,UNION CITY,1255,1449,1970,9,597,333,Active,,,https://www.redfin.com/CA/Union-City/4120-Aquarius-Cir-94587/home/1350989,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039894,N,Y,37.5886603,-122.0683119
MLS Listing,,Single Family Residential,2490 Baltusrol Ct,Union City,CA,94587,1298500,4,2.0,UNION CITY,1463,7623,1969,9,888,,Active,,,https://www.redfin.com/CA/Union-City/2490-Baltusrol-Ct-94587/home/1026505,MLSListings,ML81942721,N,Y,37.6023983,-122.0595303
MLS Listing,,Single Family Residential,33103 9th St,Union City,CA,94587,1120000,2,1.5,UNION CITY,1664,21190,1951,10,673,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Union-City/33103-9th-St-94587/home/1991519,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039660,N,Y,37.6043339,-122.0281067
MLS Listing,,Condo/Co-op,34764 Skylark Dr #2,Union City,CA,94587,549000,2,1.0,DOWNTOWN ESTATES,903,9007,1972,10,608,385,Active,,,https://www.redfin.com/CA/Union-City/34764-Skylark-Dr-94587/unit-2/home/124448651,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039265,N,Y,37.5850275,-122.0177219
MLS Listing,,Single Family Residential,33034 Palmetto Dr,Union City,CA,94587,899000,3,2.0,TAMARACK KNOLLS,1157,5775,1958,11,777,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/33034-Palmetto-Dr-94587/home/1554936,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039572,N,Y,37.6112244,-122.0195013
MLS Listing,,Townhouse,4250 Comet Cir,Union City,CA,94587,749000,3,1.0,,1125,1656,1972,12,666,333,Active,September-30-2023 01:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Union-City/4250-Comet-Cir-94587/home/1040754,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039529,N,Y,37.5856636,-122.0663667
MLS Listing,,Single Family Residential,33104 9th St,Union City,CA,94587,1059000,4,3.0,UNION CITY,1556,5000,2014,15,681,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Union-City/33104-9th-St-94587/home/1597485,MLSListings,ML81942176,N,Y,37.6046107,-122.0277395
MLS Listing,,Single Family Residential,33156 7th St,Union City,CA,94587,1299888,4,3.0,MISSION,2428,5000,1961,15,535,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Union-City/33156-7th-St-94587/home/1897804,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039234,N,Y,37.6049918,-122.0257292
MLS Listing,,Single Family Residential,1729 Sherman Dr,Union City,CA,94587,1300000,4,3.0,UNION CITY,1905,6098,1986,16,682,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/1729-Sherman-Dr-94587/home/604624,MLSListings,ML81941919,N,Y,37.5960904,-122.0299272
MLS Listing,,Single Family Residential,32212 Cabello St,Union City,CA,94587,1375000,3,2.0,TAMARA,1521,5221,1979,17,904,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/32212-Cabello-St-94587/home/1616068,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038951,N,Y,37.5874876,-122.0741793
MLS Listing,,Vacant Land,32045 Bernice Way,Hayward,CA,94544,499000,,,Hayward,11039,11039,,22,45,,Active,,,https://www.redfin.com/CA/Hayward/32045-Bernice-Way-94544/home/22694473,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038576,N,Y,37.615843,-122.026895
MLS Listing,,Single Family Residential,252 Appian Way,Union City,CA,94587,994500,4,2.0,UNION CITY,1766,6120,1963,22,563,,Active,,,https://www.redfin.com/CA/Union-City/252-Appian-Way-94587/home/845841,MLSListings,ML81941288,N,Y,37.5945553,-122.0031814
MLS Listing,,Single Family Residential,4935 Caspar St,Union City,CA,94587,1699888,4,2.5,LOWRY,2342,6044,1980,22,726,,Active,September-30-2023 11:00 AM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Union-City/4935-Caspar-St-94587/home/1987602,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41036330,N,Y,37.569321,-122.0705632
MLS Listing,,Condo/Co-op,35045 11th St,Union City,CA,94587,1198000,3,2.5,UNION CITY,1431,447263,2006,23,837,282,Active,,,https://www.redfin.com/CA/Union-City/35045-11th-St-94587/home/12115718,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038298,N,Y,37.5901456,-122.0138799
MLS Listing,,Single Family Residential,651 Tamarack Dr,Union City,CA,94587,988999,3,2.0,TAMARACK KNOLLS,1285,5555,1957,24,770,,Active,,,https://www.redfin.com/CA/Union-City/651-Tamarack-Dr-94587/home/846190,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038283,N,Y,37.6104111,-122.0193438
MLS Listing,,Single Family Residential,34363 Grand Canyon Dr,Union City,CA,94587,1688800,5,3.5,PARK RIDGE,2320,3510,2000,30,728,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/34363-Grand-Canyon-Dr-94587/home/1935732,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037745,N,Y,37.5883648,-122.0054815
MLS Listing,,Single Family Residential,4317 Blondwood Ct,Union City,CA,94587,1375000,4,2.5,CRESTWOOD,1880,6144,1974,37,731,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/4317-Blondwood-Ct-94587/home/1788274,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037096,N,Y,37.5826617,-122.0667662
