SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,6946 Geyserville St,Dublin,CA,94568,945000,2,2.5,WALLISRANCH,1514,,2018,1,624,387,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Dublin/6946-Geyserville-St-94568/home/144897133,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040537,N,Y,37.7344078,-121.8724996
MLS Listing,,Single Family Residential,5972 Lombard St,Dublin,CA,94568,1699888,5,4.0,BOULEVARD,2828,2295,2019,18,601,175,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/5972-Lombard-St-94568/home/161062873,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038851,N,Y,37.7100685,-121.8992835
MLS Listing,,Townhouse,5484 Melissa Ln,Dublin,CA,94568,1300000,4,3.0,BOULEVARD,2745,,2022,30,474,365,Active,,,https://www.redfin.com/CA/Dublin/5484-Melissa-Ln-94568/home/180411750,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037696,N,Y,37.707687,-121.894188
MLS Listing,,Condo/Co-op,5698 El Dorado Ln,Dublin,CA,94568,1350000,4,3.5,BOULEVARD,2128,,2017,31,634,380,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/5698-El-Dorado-Ln-94568/home/167331648,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037377,N,Y,37.706638,-121.8988167
MLS Listing,,Single Family Residential,8046 Peppertree Rd,Dublin,CA,94568,1400000,4,2.0,WEST SIDE DUBLIN,1936,8396,1968,1,723,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/8046-Peppertree-Rd-94568/home/1163248,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040653,N,Y,37.7140645,-121.9432003
MLS Listing,,Single Family Residential,11268 Champagne Ct,Dublin,CA,94568,2098000,4,3.0,BORDEAUX ESTATES,2820,9525,1990,2,744,23,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/11268-Champagne-Ct-94568/home/1659511,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040092,N,Y,37.7113181,-121.9519491
MLS Listing,,Townhouse,5223 S Esprit Loop,Dublin,CA,94568,1250000,4,3.5,DUBLIN,1848,1848,2014,2,676,189,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/5223-S-Esprit-Loop-94568/home/95474484,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040321,N,Y,37.7046741,-121.8964973
MLS Listing,,Condo/Co-op,3923 Meridian St,Dublin,CA,94568,1198000,4,3.5,DUBLIN,1879,,2019,2,638,245,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/3923-Meridian-St-94568/home/168833541,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039643,N,Y,37.7037586,-121.8637871
MLS Listing,,Condo/Co-op,10773 Ruthven Ln,Dublin,CA,94568,930000,3,2.5,CA HIGHLANDS,1387,,1997,2,671,350,Active,September-30-2023 11:00 AM,September-30-2023 02:00 PM,https://www.redfin.com/CA/Dublin/10773-Ruthven-Ln-94568/home/1985658,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039918,N,Y,37.70116,-121.958841
MLS Listing,,Condo/Co-op,4837 Perugia St,Dublin,CA,94568,898000,2,2.5,DUBLIN RANCH,1493,,2011,3,601,509,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/4837-Perugia-St-94568/home/40087507,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040366,N,Y,37.7115842,-121.8643167
