SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,151 Seale Ave,Palo Alto,CA,94301,7850000,6,4.5,PALO ALTO,4686,7501,2016,1,1675,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/151-Seale-Ave-94301/home/1771011,MLSListings,ML81943635,N,Y,37.4334463,-122.1461084
MLS Listing,,Single Family Residential,4248 Los Palos Pl,Palo Alto,CA,94306,5300000,4,3.0,PALO ALTO,2380,10172,2020,1,2227,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/4248-Los-Palos-Pl-94306/home/621449,MLSListings,ML81943524,N,Y,37.4047503,-122.1251692
MLS Listing,,Condo/Co-op,165 Forest Ave Unit 2A,Palo Alto,CA,94301,1700000,2,2.0,PALO ALTO,1285,1280,1981,2,1323,860,Active,,,https://www.redfin.com/CA/Palo-Alto/165-Forest-Ave-94301/unit-2A/home/1302033,MLSListings,ML81943486,N,Y,37.442864,-122.1607313
MLS Listing,,Single Family Residential,898 Bruce Dr,Palo Alto,CA,94303,4750000,5,3.0,PALO ALTO,2690,8186,2017,2,1766,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/898-Bruce-Dr-94303/home/596229,MLSListings,ML81943401,N,Y,37.4376748,-122.1240692
MLS Listing,,Single Family Residential,930 Van Auken Cir,Palo Alto,CA,94303,2895000,3,2.0,PALO ALTO,1428,6904,1951,2,2027,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/930-Van-Auken-Cir-94303/home/593676,MLSListings,ML81943398,N,Y,37.4400878,-122.1225958
MLS Listing,,Single Family Residential,286 Walter Hays Dr,Palo Alto,CA,94303,3780000,4,2.0,PALO ALTO,1613,6611,1950,2,2343,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/286-Walter-Hays-Dr-94303/home/1853344,MLSListings,ML81943387,N,Y,37.446673,-122.1391883
MLS Listing,,Single Family Residential,450 N California Ave,Palo Alto,CA,94301,6389000,4,3.0,PALO ALTO,2800,8440,1937,2,2282,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/450-N-California-Ave-94301/home/1486446,MLSListings,ML81942211,N,Y,37.4341202,-122.1380792
MLS Listing,,Townhouse,4208 Rickeys Way Unit E,Palo Alto,CA,94306,1988000,3,3.0,PALO ALTO,1913,932,2008,2,1039,346,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/4208-Rickeys-Way-94306/unit-E/home/23044450,MLSListings,ML81943378,N,Y,37.4108152,-122.1220412
MLS Listing,,Single Family Residential,3704 Carlson Cir,Palo Alto,CA,94306,3150000,3,3.0,PALO ALTO,1812,6525,1952,3,1738,,Active,September-30-2023 12:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/3704-Carlson-Cir-94306/home/1077896,MLSListings,ML81943336,N,Y,37.4183171,-122.1171384
MLS Listing,,Single Family Residential,2077 Williams St,Palo Alto,CA,94306,3298000,4,2.5,PALO ALTO,1572,6250,1961,3,2098,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/2077-Williams-St-94306/home/906895,MLSListings,ML81943296,N,Y,37.4253137,-122.1501893
MLS Listing,,Condo/Co-op,325 Channing Ave #308,Palo Alto,CA,94301,2350000,2,2.0,PALO ALTO,1378,,2004,4,1705,1030,Active,,,https://www.redfin.com/CA/Palo-Alto/325-Channing-Ave-94301/unit-308/home/618337,MLSListings,ML81943221,N,Y,37.4433657,-122.1568205
MLS Listing,,Single Family Residential,2468 Chabot Ter,Palo Alto,CA,94303,3948000,4,3.5,PALO ALTO,2394,6300,2011,4,1649,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/2468-Chabot-Ter-94303/home/1391128,MLSListings,ML81943149,N,Y,37.4446113,-122.1225071
MLS Listing,,Townhouse,1337 Alma St,Palo Alto,CA,94301,1698000,2,2.5,PALO ALTO,1295,600,1983,5,1311,585,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/1337-Alma-St-94301/home/1600683,MLSListings,ML81943048,N,Y,37.4372178,-122.1529496
MLS Listing,,Single Family Residential,624 Harvard Ave,Menlo Park,CA,94025,2449900,3,2.0,,1450,1676,1925,5,1690,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/624-Harvard-Ave-94025/home/1738961,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040114,N,Y,37.4473984,-122.1739725
MLS Listing,,Condo/Co-op,1982 W Bayshore Rd #127,East Palo Alto,CA,94303,849000,2,2.0,EAST PALO ALTO,1197,,2002,8,709,508,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/East-Palo-Alto/1982-W-Bayshore-Rd-94303/unit-127/home/12419107,MLSListings,ML81941813,N,Y,37.4525047,-122.1288516
MLS Listing,,Single Family Residential,748 Kendall Ave,Palo Alto,CA,94306,1998888,3,1.0,PALO ALTO,1134,6800,1950,9,1763,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/748-Kendall-Ave-94306/home/605619,MLSListings,ML81942798,N,Y,37.4148146,-122.1359942
MLS Listing,,Townhouse,3281 Berryessa St #3,Palo Alto,CA,94303,1618000,3,2.0,PALO ALTO,1456,1307,2011,9,1111,466,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/3281-Berryessa-St-94303/unit-3/home/41395650,MLSListings,ML81942740,N,Y,37.4375206,-122.111836
MLS Listing,,Condo/Co-op,137 Peter Coutts Cir,Stanford,CA,94305,848000,2,2.0,STANFORD,1305,,1982,9,650,1485,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Stanford/137-Peter-Coutts-Cir-94305/home/607278,MLSListings,ML81942739,N,Y,37.4143023,-122.1532408
MLS Listing,,Single Family Residential,532 Hilbar Ln,Palo Alto,CA,94303,2950000,3,2.0,PALO ALTO,1357,6294,1950,9,2174,,Active,,,https://www.redfin.com/CA/Palo-Alto/532-Hilbar-Ln-94303/home/1485805,MLSListings,ML81942724,N,Y,37.4511872,-122.1302934
MLS Listing,,Condo/Co-op,777 San Antonio Rd #91,Palo Alto,CA,94303,1268000,3,2.0,PALO ALTO,1212,,1974,9,1046,640,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/777-San-Antonio-Rd-94303/unit-91/home/1186040,MLSListings,ML81942376,N,Y,37.4195063,-122.1034928
MLS Listing,,Single Family Residential,1211 Fulton St,Palo Alto,CA,94301,3500000,4,4.5,PALO ALTO,3080,5626,2023,10,1136,,Active,,,https://www.redfin.com/CA/Palo-Alto/1211-Fulton-St-94301/home/1244784,MLSListings,ML81942534,N,Y,37.4458006,-122.1471286
MLS Listing,,Single Family Residential,136 Lois Ln,Palo Alto,CA,94303,4850000,3,3.0,PALO ALTO,2069,9898,1951,15,2344,,Active,,,https://www.redfin.com/CA/Palo-Alto/136-Lois-Ln-94303/home/547791,MLSListings,ML81942056,N,Y,37.4459384,-122.1350626
MLS Listing,,Single Family Residential,281 Creekside Dr,Palo Alto,CA,94306,4450000,4,3.0,PALO ALTO,2290,7426,1954,16,1943,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/281-Creekside-Dr-94306/home/1466154,MLSListings,ML81941882,N,Y,37.415116,-122.1137218
MLS Listing,,Single Family Residential,3452 Thomas Dr,Palo Alto,CA,94303,2995000,4,2.0,PALO ALTO,1698,6450,1957,16,1764,,Active,,,https://www.redfin.com/CA/Palo-Alto/3452-Thomas-Dr-94303/home/593186,MLSListings,ML81941876,N,Y,37.4331422,-122.1109485
MLS Listing,,Single Family Residential,4284 Los Palos Cir,Palo Alto,CA,94306,10875000,6,5.5,PALO ALTO,7030,10565,2023,16,1547,,Active,,,https://www.redfin.com/CA/Palo-Alto/4284-Los-Palos-Cir-94306/home/1684027,MLSListings,ML81941520,N,Y,37.4040429,-122.1243484
MLS Listing,,Single Family Residential,3193 Stelling Dr,Palo Alto,CA,94303,2795000,3,2.0,PALO ALTO,1280,6306,1955,16,2184,,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/3193-Stelling-Dr-94303/home/1499260,MLSListings,ML81941846,N,Y,37.4337125,-122.1181589
MLS Listing,,Single Family Residential,245 Washington Ave,Palo Alto,CA,94301,13800000,8,8.5,PALO ALTO,5860,10000,2023,16,2355,,Active,,,https://www.redfin.com/CA/Palo-Alto/245-Washington-Ave-94301/home/591403,MLSListings,ML81941845,N,Y,37.4321773,-122.1412732
MLS Listing,,Condo/Co-op,117 California Ave Unit D205,Palo Alto,CA,94306,1010000,2,1.5,PALO ALTO,1247,800,1982,17,810,809,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/117-California-Ave-94306/unit-D205/home/1629067,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039048,N,Y,37.4284712,-122.1426882
MLS Listing,,Townhouse,610 Forest Ave,Palo Alto,CA,94301,1795000,2,2.5,PALO ALTO,1392,665,1977,17,1290,560,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/610-Forest-Ave-94301/home/1652699,MLSListings,ML81941710,N,Y,37.4480009,-122.1552621
MLS Listing,,Single Family Residential,881 Lytton Ave,Palo Alto,CA,94301,2988000,3,2.5,PALO ALTO,1676,3789,1926,17,1783,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/881-Lytton-Ave-94301/home/542884,MLSListings,ML81941702,N,Y,37.453768,-122.1559849
MLS Listing,,Single Family Residential,794 Allen Ct,Palo Alto,CA,94303,2300000,3,2.0,PALO ALTO,1056,7034,1953,18,2178,,Active,,,https://www.redfin.com/CA/Palo-Alto/794-Allen-Ct-94303/home/1227225,MLSListings,ML81938806,N,Y,37.4318076,-122.1213535
MLS Listing,,Condo/Co-op,150 Alma St #309,Menlo Park,CA,94025,1999000,2,2.0,MENLO PARK,1872,,1975,19,1068,1534,Active,,,https://www.redfin.com/CA/Menlo-Park/150-Alma-St-94025/unit-309/home/187419950,MLSListings,ML81936890,N,Y,37.4487463,-122.1714579
MLS Listing,,Single Family Residential,644 Creek Dr,Menlo Park,CA,94025,2895000,3,3.5,MENLO PARK,2230,1850,1998,19,1298,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Menlo-Park/644-Creek-Dr-94025/home/1243497,MLSListings,ML81939894,N,Y,37.4465533,-122.1727449
MLS Listing,,Multi-Family (2-4 Unit),2905 - 2907 Simkins Ct,Palo Alto,CA,94303,2999000,6,2.5,Palo Alto,2670,7497,1984,21,1123,,Active,,,https://www.redfin.com/CA/Palo-Alto/2905-Simkins-Ct-94303/home/940064,San Francisco MLS,423908437,N,Y,37.4402962,-122.1175574
MLS Listing,,Single Family Residential,1595 Hamilton Ave,Palo Alto,CA,94303,4500000,3,2.0,PALO ALTO,2286,11573,1946,23,1969,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/1595-Hamilton-Ave-94303/home/542605,MLSListings,ML81941073,N,Y,37.451465,-122.134752
MLS Listing,,Single Family Residential,1144 Forest Ave,Palo Alto,CA,94301,8898000,5,4.5,PALO ALTO,3751,8470,2023,23,2372,,Active,,,https://www.redfin.com/CA/Palo-Alto/1144-Forest-Ave-94301/home/1796495,MLSListings,ML81941056,N,Y,37.4523509,-122.1479493
MLS Listing,,Condo/Co-op,640 Forest Ave Unit C,Palo Alto,CA,94301,1399000,2,2.0,PALO ALTO,1154,,1959,23,1212,640,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/640-Forest-Ave-94301/unit-C/home/1574674,MLSListings,ML81941047,N,Y,37.4482905,-122.1546478
MLS Listing,,Single Family Residential,1932 Emerson St,Palo Alto,CA,94301,11650000,6,6.0,PALO ALTO,5310,10000,2008,24,2194,,Active,,,https://www.redfin.com/CA/Palo-Alto/1932-Emerson-St-94301/home/1149457,MLSListings,ML81940883,N,Y,37.4330842,-122.1449551
MLS Listing,,Single Family Residential,13650 Paseo Del Roble Dr,Los Altos Hills,CA,94022,7498000,4,3.5,LOS ALTOS HILLS,4580,66403,2002,25,1637,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos-Hills/13650-Paseo-del-Roble-Dr-94022/home/1096085,MLSListings,ML81937030,N,Y,37.3804697,-122.1703945
MLS Listing,,Single Family Residential,55 Waverley Oaks,Palo Alto,CA,94301,8250000,3,3.5,PALO ALTO,3743,10030,1928,27,2204,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/55-Waverley-Oaks-94301/home/1338723,MLSListings,ML81940669,N,Y,37.434209,-122.1403195
MLS Listing,,Single Family Residential,4037 Park Blvd,Palo Alto,CA,94306,3399888,4,3.0,PALO ALTO,2125,6620,2022,28,1600,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/4037-Park-Blvd-94306/home/1338943,MLSListings,ML81939780,N,Y,37.418454,-122.1253466
MLS Listing,,Single Family Residential,1741 Cowper St,Palo Alto,CA,94301,5495000,3,2.5,PALO ALTO,2273,6999,1926,30,2418,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/1741-Cowper-St-94301/home/591817,MLSListings,ML81940375,N,Y,37.4385399,-122.143336
MLS Listing,,Single Family Residential,519 Georgia Ave,Palo Alto,CA,94306,4595000,5,4.5,PALO ALTO,2755,6734,2023,30,1668,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/519-Georgia-Ave-94306/home/607048,MLSListings,ML81936749,N,Y,37.4107701,-122.1270769
