SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Condo/Co-op,1653 Albatross Dr,Sunnyvale,CA,94087,1200000,3,2.5,Sunnyvale,1280,2900,1971,20,938,607,Pre On-Market,,,https://www.redfin.com/CA/Sunnyvale/1653-Albatross-Dr-94087/home/760126,Coming Soon,94837,N,Y,37.3395915,-122.0317565
MLS Listing,,Condo/Co-op,21561 Point Reyes,Cupertino,CA,95014,1625000,2,2.5,CUPERTINO,1435,,2023,1,1132,440,Active,,,https://www.redfin.com/CA/Cupertino/21561-Point-Reyes-Ter-95014/home/186488096,MLSListings,ML81943583,N,Y,37.32366,-122.047858
MLS Listing,,Townhouse,19916 Portal Plz,Cupertino,CA,95014,1168000,2,2.5,CUPERTINO,1326,754,1982,2,881,690,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/19916-Portal-Plz-95014/home/1776659,MLSListings,ML81943374,N,Y,37.321806,-122.0199149
MLS Listing,,Single Family Residential,924 Ferngrove Dr,Cupertino,CA,95014,2998000,5,3.0,CUPERTINO,2064,6267,1960,3,1453,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/924-Ferngrove-Dr-95014/home/1183839,MLSListings,ML81942779,N,Y,37.3122702,-122.0083319
MLS Listing,,Single Family Residential,22421 Carnoustie Ct,Cupertino,CA,95014,2999000,4,2.5,CUPERTINO,2356,7768,1964,3,1273,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/22421-Carnoustie-Ct-95014/home/780032,MLSListings,ML81943272,N,Y,37.3119078,-122.0679204
MLS Listing,,Townhouse,11428 Garden Terrace Dr,Cupertino,CA,95014,1888000,4,2.5,CUPERTINO,1852,1736,1981,3,1019,460,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/11428-Garden-Terrace-Dr-95014/home/1838358,MLSListings,ML81943256,N,Y,37.3021625,-122.0356332
MLS Listing,,Single Family Residential,1650 Grosbeak Ave,Sunnyvale,CA,94087,3075000,4,2.5,SUNNYVALE,2100,6324,2020,3,1464,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Sunnyvale/1650-Grosbeak-Ave-94087/home/1061784,MLSListings,ML81943254,N,Y,37.339371,-122.0189905
MLS Listing,,Single Family Residential,818 Alderbrook Ln,Cupertino,CA,95014,1998000,3,2.0,CUPERTINO,1201,7258,1960,3,1664,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/818-Alderbrook-Ln-95014/home/1805262,MLSListings,ML81943231,N,Y,37.3139363,-122.0160154
MLS Listing,,Single Family Residential,10080 Judy Ave,Cupertino,CA,95014,4850000,5,4.5,CUPERTINO,3779,9375,2023,4,1283,,Active,,,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,MLSListings,ML81943132,N,Y,37.3217344,-122.0052228
MLS Listing,,Single Family Residential,1644 Finch Way,Sunnyvale,CA,94087,2098000,3,2.0,SUNNYVALE,1525,6155,1969,4,1376,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/1644-Finch-Way-94087/home/886158,MLSListings,ML81943129,N,Y,37.3395387,-122.0225384
MLS Listing,,Single Family Residential,10191 Santa Clara Ave,Cupertino,CA,95014,3680000,4,4.0,CUPERTINO,2783,7125,2020,7,1322,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/10191-Santa-Clara-Ave-95014/home/168878671,MLSListings,ML81942998,N,Y,37.3254822,-122.0531967
MLS Listing,,Single Family Residential,10621 Madera Dr,Cupertino,CA,95014,3788000,3,2.0,CUPERTINO,1632,33541,1958,9,2321,,Active,,,https://www.redfin.com/CA/Cupertino/10621-Madera-Dr-95014/home/772950,MLSListings,ML81942769,N,Y,37.3320303,-122.0612172
MLS Listing,,Single Family Residential,22400 Janice Ave,Cupertino,CA,95014,2888000,3,3.0,CUPERTINO,1932,8925,1971,10,1495,,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Cupertino/22400-Janice-Ave-95014/home/781694,MLSListings,ML81942624,N,Y,37.3213654,-122.0670148
MLS Listing,,Townhouse,19952 Portal Plz,Cupertino,CA,95014,1198888,2,2.5,CUPERTINO,1326,777,1982,12,904,690,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/19952-Portal-Plz-95014/home/1714703,MLSListings,ML81942333,N,Y,37.3217327,-122.0202725
MLS Listing,,Condo/Co-op,22330 Homestead Rd #116,Cupertino,CA,95014,1199000,2,2.0,CUPERTINO,1249,,1984,15,960,640,Active,,,https://www.redfin.com/CA/Cupertino/22330-Homestead-Rd-95014/unit-116/home/916977,MLSListings,ML81942126,N,Y,37.3369392,-122.0658113
MLS Listing,,Condo/Co-op,10272 Danube Dr,Cupertino,CA,95014,999888,2,2.0,CUPERTINO,1154,,1985,15,866,563,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/10272-Danube-Dr-95014/home/789912,MLSListings,ML81942009,N,Y,37.3197002,-122.0274632
MLS Listing,,Townhouse,20051 Northwood Dr,Cupertino,CA,95014,1499990,3,2.0,CUPERTINO,1487,1296,1973,22,1009,470,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/20051-Northwood-Dr-95014/home/1631674,MLSListings,ML81941337,N,Y,37.3349575,-122.0246194
MLS Listing,,Single Family Residential,1069 E Homestead Rd,Sunnyvale,CA,94087,1950000,4,3.0,SUNNYVALE,1907,6329,1957,23,1023,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Sunnyvale/1069-E-Homestead-Rd-94087/home/1754510,MLSListings,ML81941008,N,Y,37.3380584,-122.0040236
MLS Listing,,Single Family Residential,22022 Lindy Ln,Cupertino,CA,95014,3998000,4,3.5,CUPERTINO,3743,58428,1959,24,1068,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/22022-Lindy-Ln-95014/home/1191930,MLSListings,ML81940616,N,Y,37.301657,-122.0615724
MLS Listing,,Vacant Land,22040 Regnart Rd,Cupertino,CA,95014,1750000,,,CUPERTINO,,83634,,25,,,Active,,,https://www.redfin.com/CA/Cupertino/22040-Regnart-Rd-95014/home/160798787,MLSListings,ML81930821,N,Y,37.2957248,-122.0601962
MLS Listing,,Single Family Residential,1 Krzich Pl,Cupertino,CA,95014,5200000,5,4.5,CUPERTINO,3721,12009,2023,29,1397,,Active,,,https://www.redfin.com/CA/Cupertino/1-Krzich-Pl-95014/home/187300556,MLSListings,ML81940514,N,Y,37.3059707,-122.0495389
MLS Listing,,Single Family Residential,0 Krzich Pl,Cupertino,CA,95014,4800000,5,4.5,CUPERTINO,3849,9699,2023,29,1247,,Active,,,https://www.redfin.com/CA/Cupertino/Krzich-Pl-95014/home/187300341,MLSListings,ML81940512,N,Y,37.3059707,-122.0495389
MLS Listing,,Single Family Residential,11226 Bubb Rd,Cupertino,CA,95014,4700000,5,4.5,CUPERTINO,3727,9747,2023,29,1261,,Active,,,https://www.redfin.com/CA/Cupertino/11226-Bubb-Rd-95014/home/1614198,MLSListings,ML81940487,N,Y,37.3055292,-122.0500517
MLS Listing,,Single Family Residential,11387 Lindy Pl,Cupertino,CA,95014,3299000,5,3.0,CUPERTINO,3100,13296,1971,32,1064,,Active,September-30-2023 12:00 PM,September-30-2023 02:00 PM,https://www.redfin.com/CA/Cupertino/11387-Lindy-Pl-95014/home/1369587,MLSListings,ML81933393,N,Y,37.3025699,-122.0591085
MLS Listing,,Single Family Residential,21685 Lomita Ave,Cupertino,CA,95014,2098000,3,2.0,CUPERTINO,1211,6387,1950,43,1732,,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Cupertino/21685-Lomita-Ave-95014/home/1466027,MLSListings,ML81938793,N,Y,37.3206311,-122.0538613
MLS Listing,,Single Family Residential,10682 Flora Vista Ave,Cupertino,CA,95014,4915000,5,5.5,CUPERTINO,3813,9681,2022,44,1289,,Active,,,https://www.redfin.com/CA/Cupertino/10682-Flora-Vista-Ave-95014/home/1683677,MLSListings,ML81938903,N,Y,37.332824,-122.042305
MLS Listing,,Condo/Co-op,21506 Dana Point Ln,Cupertino,CA,95014,1988960,3,3.0,CUPERTINO,1596,,2023,45,1246,440,Active,,,https://www.redfin.com/CA/Cupertino/21506-Dana-Point-Ln-95014/home/187382188,MLSListings,ML81938653,N,Y,37.3238635,-122.0474309
MLS Listing,,Single Family Residential,18811-813 Loree Ave,Cupertino,CA,95014,3798000,6,5.0,CUPERTINO,2665,5379,2023,59,1425,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Cupertino/18811-Loree-Ave-95014/home/1035986,MLSListings,ML81936933,N,Y,37.3199631,-122.0010032
