SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2211 Latham St #322,Mountain View,CA,94040,798000,2,2.0,MOUNTAIN VIEW,1206,,1978,2,662,657,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-322/home/2121193,MLSListings,ML81942343,N,Y,37.3972947,-122.1030499
MLS Listing,,Single Family Residential,1090 Saint Joseph Ave,Los Altos,CA,94024,3298000,3,2.0,LOS ALTOS,1681,10010,1957,2,1962,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/1090-Saint-Joseph-Ave-94024/home/1622509,MLSListings,ML81943420,N,Y,37.3441082,-122.0844768
MLS Listing,,Single Family Residential,435 Cecelia Way,Los Altos,CA,94022,3998000,5,3.0,LOS ALTOS,2374,13500,1952,2,1684,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/435-Cecelia-Way-94022/home/1867792,MLSListings,ML81943421,N,Y,37.3918311,-122.1036933
MLS Listing,,Single Family Residential,900 Loyola Dr,Los Altos,CA,94024,2998000,2,3.0,LOS ALTOS,2297,9800,1950,2,1305,,Active,,,https://www.redfin.com/CA/Los-Altos/900-Loyola-Dr-94024/home/1578914,MLSListings,ML81943121,N,Y,37.3507218,-122.0896483
MLS Listing,,Single Family Residential,1028 Tulane Dr,Mountain View,CA,94040,2988000,3,2.5,MOUNTAIN VIEW,1775,5668,1953,3,1683,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1028-Tulane-Dr-94040/home/1525435,MLSListings,ML81943365,N,Y,37.3766695,-122.0921328
MLS Listing,,Single Family Residential,277 Delphi Cir,Los Altos,CA,94022,4795000,4,2.5,LOS ALTOS,3393,11436,1981,3,1413,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/277-Delphi-Ct-94022/home/637006,MLSListings,ML81943341,N,Y,37.394573,-122.108423
MLS Listing,,Condo/Co-op,460 Lassen St #5,Los Altos,CA,94022,1499000,2,2.0,LOS ALTOS,1349,,1964,3,1111,730,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/460-Lassen-St-94022/unit-5/home/1785781,MLSListings,ML81943047,N,Y,37.3746398,-122.1120763
MLS Listing,,Condo/Co-op,400 Ortega Ave #319,Mountain View,CA,94040,864400,2,1.0,MOUNTAIN VIEW,960,,1975,9,900,596,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-319/home/2121076,MLSListings,ML81942813,N,Y,37.399433,-122.105693
MLS Listing,,Single Family Residential,775 Edge Ln,Los Altos,CA,94024,5950000,4,4.5,LOS ALTOS,3411,9859,2023,9,1744,,Active,,,https://www.redfin.com/CA/Los-Altos/775-Edge-Ln-94024/home/1321516,MLSListings,ML81942544,N,Y,37.363058,-122.093186
MLS Listing,,Condo/Co-op,26 4th St #12,Los Altos,CA,94022,1398000,2,2.0,LOS ALTOS,1598,,1976,9,875,857,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/26-4th-St-94022/unit-12/home/855691,MLSListings,ML81942697,N,Y,37.3809156,-122.1162732
