SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,503 Starfish Ln,Foster City,CA,94404,1298000,1,1.5,FOSTER CITY,1436,,2023,1,904,487,Active,September-30-2023 11:00 AM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/503-Starfish-Ln-94404/home/181181903,MLSListings,ML81943629,N,Y,37.5638296,-122.2689954
MLS Listing,,Townhouse,706 Starfish Ln,Foster City,CA,94404,1948000,4,3.5,FOSTER CITY,2194,2194,2023,1,888,487,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/706-Starfish-Ln-94404/home/184620062,MLSListings,ML81943587,N,Y,37.5638296,-122.2689954
MLS Listing,,Condo/Co-op,1025 Shell #5,Foster City,CA,94404,838000,2,2.0,FOSTER CITY,1015,1015,1972,1,826,636,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1025-Shell-Blvd-94404/unit-5/home/2025460,MLSListings,ML81943574,N,Y,37.5505815,-122.2629517
MLS Listing,,Townhouse,1054 Helm Ln,Foster City,CA,94404,1498000,3,1.5,FOSTER CITY,1530,,1989,1,979,570,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1054-Helm-Ln-94404/home/1073515,MLSListings,ML81943531,N,Y,37.5469574,-122.2546175
MLS Listing,,Single Family Residential,181 Flying Mist Isle,Foster City,CA,94404,2550000,3,2.5,FOSTER CITY,2260,6786,1968,1,1128,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/181-Flying-Mist-Isle-94404/home/928505,MLSListings,ML81943530,N,Y,37.561411,-122.2571026
MLS Listing,,Condo/Co-op,860 Meridian Bay Ln #334,Foster City,CA,94404,950000,2,2.0,FOSTER CITY,1350,,1999,4,704,818,Active,September-30-2023 12:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Foster-City/860-Meridian-Bay-Ln-94404/unit-334/home/1491706,MLSListings,ML81943151,N,Y,37.5535543,-122.2793009
MLS Listing,,Condo/Co-op,1051 Beach Park Blvd #213,Foster City,CA,94404,899000,3,2.0,BEACH PARK,1593,1447,1976,5,564,675,Active,,,https://www.redfin.com/CA/Foster-City/1051-Beach-Park-Blvd-94404/unit-213/home/971867,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040140,N,Y,37.5495412,-122.2532473
MLS Listing,,Townhouse,817 Juno Ln,Foster City,CA,94404,1275000,3,2.5,FOSTER CITY,1330,,1973,5,959,548,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/817-Juno-Ln-94404/home/965311,MLSListings,ML81943039,N,Y,37.5501373,-122.2732773
MLS Listing,,Single Family Residential,502 Oyster Ct,Foster City,CA,94404,2528000,4,2.5,FOSTER CITY,2400,5000,1978,8,1053,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/502-Oyster-Ct-94404/home/938833,MLSListings,ML81942947,N,Y,37.5390402,-122.2693482
MLS Listing,,Condo/Co-op,1081 Beach Park Blvd #308,Foster City,CA,94404,928000,2,2.0,FOSTER CITY,1286,,1973,9,722,674,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1081-Beach-Park-Blvd-94404/unit-308/home/1216505,MLSListings,ML81942770,N,Y,37.5508342,-122.2523167
