SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,562 30th Ave,San Francisco,CA,94121,1849000,4,2.5,San Francisco,2169,2495,1941,12,852,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/562-30th-Ave-94121/home/610842,San Francisco MLS,423910481,N,Y,37.778638,-122.4897934
MLS Listing,,Single Family Residential,3028 Market St,San Francisco,CA,94114,1799000,3,2.0,,1705,1971,1890,15,1055,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/3028-Market-St-94114/home/1469904,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038948,N,Y,37.7612389,-122.441988
MLS Listing,,Condo/Co-op,990 Duncan St Unit 307G,San Francisco,CA,94131,649000,1,1.0,San Francisco,744,6993,1972,16,872,688,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/990-Duncan-St-94131/unit-307G/home/1681400,San Francisco MLS,423900428,N,Y,37.7453002,-122.4425216
MLS Listing,,Condo/Co-op,400 Beale St #612,San Francisco,CA,94105,978000,2,2.0,SAN FRANCISCO,1075,,2002,24,910,1092,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-612/home/868265,MLSListings,ML81940908,N,Y,37.7870715,-122.3909973
MLS Listing,,Vacant Land,666 Peralta Ave,San Francisco,CA,94110,750000,,,San Francisco,,1750,,36,,,Active,,,https://www.redfin.com/CA/San-Francisco/666-Peralta-Ave-94110/home/186420842,San Francisco MLS,423900078,N,Y,37.7419097,-122.4090035
MLS Listing,,Condo/Co-op,50 Lansing St #805,San Francisco,CA,94105,1985000,2,2.5,San Francisco,1586,20082,2006,60,1252,1075,Active,,,https://www.redfin.com/CA/San-Francisco/50-Lansing-St-94105/unit-805/home/22886646,San Francisco MLS,423758554,N,Y,37.786127,-122.3942141
MLS Listing,,Condo/Co-op,1800 Bryant St #211,San Francisco,CA,94110,750000,1,2.0,San Francisco,955,14972,2000,68,785,596,Active,,,https://www.redfin.com/CA/San-Francisco/1800-Bryant-St-94110/unit-211/home/1169978,San Francisco MLS,423757271,N,Y,37.7641196,-122.4108749
MLS Listing,,Condo/Co-op,10 Innes Ct #307,San Francisco,CA,94124,650000,1,1.0,San Francisco,736,,2018,75,883,525,Active,,,https://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-307/home/161028244,San Francisco MLS,423755722,N,Y,37.7280682,-122.3679965
MLS Listing,,Condo/Co-op,4529 18th St,San Francisco,CA,94114,1198000,2,1.5,SAN FRANCISCO,1243,,1925,128,964,,Active,,,https://www.redfin.com/CA/San-Francisco/4529-18th-St-94114/home/1834338,MLSListings,ML81929658,N,Y,37.7604952,-122.4400951
MLS Listing,,Condo/Co-op,425 1st St #4306,San Francisco,CA,94105,1795000,2,2.0,San Francisco,1238,56024,2008,1,1450,1349,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-4306/home/17304825,San Francisco MLS,423748932,N,Y,37.7857131,-122.3922754
MLS Listing,,Condo/Co-op,51 Innes Ct,San Francisco,CA,94124,1290000,5,2.0,San Francisco,1600,13880,2017,1,806,894,Active,,,https://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/home/145411020,San Francisco MLS,423905690,N,Y,37.7272117,-122.367848
MLS Listing,,Multi-Family (2-4 Unit),2557 - 2571 Filbert St,San Francisco,CA,94123,8750000,6,1.0,San Francisco,6713,8659,,1,1303,,Active,,,https://www.redfin.com/CA/San-Francisco/2557-Filbert-St-94123/home/1451738,San Francisco MLS,423913337,N,Y,37.7969974,-122.4416363
MLS Listing,,Multi-Family (5+ Unit),601 - 609 Pennsylvania Ave,San Francisco,CA,94107,2998000,10,4.0,San Francisco,2840,,,1,1056,,Active,,,https://www.redfin.com/CA/San-Francisco/601-Pennsylvania-Ave-94107/home/1438865,BAREIS,423900205,N,Y,37.7588705,-122.3929889
