SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,22095 Old Santa Cruz Hwy,Los Gatos,CA,95033,1999999,4,4.0,LOS GATOS,3231,42874,1938,46,619,,Active,,,https://www.redfin.com/CA/Los-Gatos/22095-Old-Santa-Cruz-Hwy-95033/home/1421560,MLSListings,ML81938449,N,Y,37.1514025,-121.9749046
MLS Listing,,Single Family Residential,48 Whitney Ave,Los Gatos,CA,95030,4800000,4,3.5,LOS GATOS,3435,6974,2011,1,1397,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/48-Whitney-Ave-95030/home/1285370,MLSListings,ML81943180,N,Y,37.2216095,-121.9709282
MLS Listing,,Single Family Residential,16440 Soda Springs Rd,Los Gatos,CA,95033,2225000,5,4.0,LOS GATOS,3367,233481,1990,1,661,,Active,,,https://www.redfin.com/CA/Los-Gatos/16440-Soda-Springs-Rd-95033/home/1269590,MLSListings,ML81943571,N,Y,37.1713764,-121.9409338
MLS Listing,,Single Family Residential,17040 Los Cerritos Dr,Los Gatos,CA,95030,2188000,4,2.0,LOS GATOS,1612,33017,1965,1,1357,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/17040-Los-Cerritos-95030/home/1029181,MLSListings,ML81943534,N,Y,37.2207381,-121.9603089
MLS Listing,,Single Family Residential,153 Maricopa Dr,Los Gatos,CA,95032,1898000,3,2.0,LOS GATOS,1296,8432,1958,2,1465,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/153-Maricopa-Dr-95032/home/1357439,MLSListings,ML81943478,N,Y,37.243886,-121.95696
MLS Listing,,Single Family Residential,135 Belridge Dr,Los Gatos,CA,95032,2999111,5,3.0,LOS GATOS,2448,10470,1965,2,1225,60,Active,September-30-2023 01:30 PM,September-30-2023 06:00 PM,https://www.redfin.com/CA/Los-Gatos/135-Belridge-Dr-95032/home/555409,MLSListings,ML81942433,N,Y,37.2296381,-121.9154432
MLS Listing,,Townhouse,101 Escobar Ct,Los Gatos,CA,95032,1428000,3,2.0,LOS GATOS,1494,1799,1972,3,956,404,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/101-Escobar-Ct-95032/home/1519527,MLSListings,ML81943354,N,Y,37.2429558,-121.9433667
MLS Listing,,Single Family Residential,20800 Locust Dr,Los Gatos,CA,95033,1160000,2,2.0,LOS GATOS,1338,7555,2013,3,867,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/20800-Locust-Dr-95033/home/95955509,MLSListings,ML81943323,N,Y,37.1662571,-121.9745269
MLS Listing,,Single Family Residential,54 Chestnut Ave,Los Gatos,CA,95030,8900000,5,4.5,LOS GATOS,7618,23040,2006,4,1168,,Active,,,https://www.redfin.com/CA/Los-Gatos/54-Chestnut-Ave-95030/home/1756243,MLSListings,ML81943156,N,Y,37.2277145,-121.9947299
MLS Listing,,Single Family Residential,15 Ocean View Rd,Los Gatos,CA,95033,2675000,5,4.0,LOS GATOS,4382,108464,1980,5,610,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/15-Ocean-View-Rd-95033/home/2406778,MLSListings,ML81937421,N,Y,37.105055,-121.9340228
