SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8911 Del Rio Cir,Gilroy,CA,95020,880000,3,2.5,GILROY,1886,3239,2000,15,467,79,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/8911-Del-Rio-Cir-95020/home/1695327,MLSListings,ML81942075,N,Y,37.0259216,-121.5833107
MLS Listing,,Single Family Residential,767 Maria Way,Gilroy,CA,95020,699500,4,2.5,GILROY,1924,6000,1965,1,364,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/767-Maria-Way-95020/home/961796,MLSListings,ML81942254,N,Y,37.022163,-121.5877095
MLS Listing,,Single Family Residential,936 Martiri Ct,Gilroy,CA,95020,1247777,4,2.5,GILROY,2274,6401,2000,1,549,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/936-Martiri-Ct-95020/home/1721322,MLSListings,ML81943651,N,Y,37.0266028,-121.5972711
MLS Listing,,Single Family Residential,8120 Catalina Ct,Gilroy,CA,95020,1299888,4,2.0,GILROY,3489,10046,1974,2,373,,Active,,,https://www.redfin.com/CA/Gilroy/8120-Catalina-Ct-95020/home/1812322,MLSListings,ML81943512,N,Y,37.0143155,-121.6005636
MLS Listing,,Single Family Residential,1838 Rosemary Dr,Gilroy,CA,95020,1350000,5,4.5,GILROY,3008,5023,2016,2,449,101,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/1838-Rosemary-Dr-95020/home/143041751,MLSListings,ML81943269,N,Y,37.0086459,-121.6100137
MLS Listing,,Single Family Residential,8559 Silvia St,Gilroy,CA,95020,999000,4,2.0,GILROY,2034,6300,1985,2,491,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Gilroy/8559-Silvia-St-95020/home/1632536,MLSListings,ML81943423,N,Y,37.018785,-121.5951696
MLS Listing,,Single Family Residential,1767 Fennel Pl,Gilroy,CA,95020,1248000,4,3.0,GILROY,2656,5076,2015,3,470,101,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Gilroy/1767-Fennel-Pl-95020/home/112869062,MLSListings,ML81943332,N,Y,37.0089821,-121.6064477
MLS Listing,,Single Family Residential,751 Tennyson Dr,Gilroy,CA,95020,739950,2,2.0,GILROY,1055,3500,2005,3,701,197,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/751-Tennyson-Dr-95020/home/2122298,MLSListings,ML81941104,N,Y,37.0121666,-121.5852102
MLS Listing,,Single Family Residential,1140 Bonino Way,Gilroy,CA,95020,1126000,4,3.0,GILROY,2489,3836,2016,4,452,153,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/1140-Bonino-Way-95020/home/143042536,MLSListings,ML81943220,N,Y,36.9895343,-121.5828552
MLS Listing,,Single Family Residential,823 Sunrise Dr,Gilroy,CA,95020,1289000,4,3.5,GILROY,3449,9272,2013,4,374,,Active,October-1-2023 12:00 PM,October-1-2023 02:00 PM,https://www.redfin.com/CA/Gilroy/823-Sunrise-Dr-95020/home/40176200,MLSListings,ML81940703,N,Y,37.0333474,-121.5985747
MLS Listing,,Vacant Land,0 Hecker Pass Hwy,Gilroy,CA,95020,999000,,,GILROY,,540579,,4,,,Active,,,https://www.redfin.com/CA/Gilroy/Hecker-Pass-Hwy-95020/home/40272027,MLSListings,ML81943130,N,Y,37.013397,-121.630746
MLS Listing,,Single Family Residential,7180 Orchard Dr,Gilroy,CA,95020,1050000,4,2.0,GILROY,2014,7383,1976,4,521,,Active,,,https://www.redfin.com/CA/Gilroy/7180-Orchard-Dr-95020/home/1068477,MLSListings,ML81943124,N,Y,36.9998608,-121.5787693
MLS Listing,,Single Family Residential,7281 Miller Ave,Gilroy,CA,95020,1049900,3,2.0,GILROY,2107,7700,1971,5,498,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/7281-Miller-Ave-95020/home/1470541,MLSListings,ML81943023,N,Y,37.0014737,-121.5822526
MLS Listing,,Single Family Residential,761 Tatum Ave,Gilroy,CA,95020,899900,4,2.5,Gilroy,1422,3443,2000,7,633,,Active,,,https://www.redfin.com/CA/Gilroy/761-Tatum-Ave-95020/home/1021298,CRMLS,PI23178355,N,Y,37.0273978,-121.5925672
MLS Listing,,Single Family Residential,1554 Bianca Way,Gilroy,CA,95020,648500,3,2.0,GILROY,1293,1175,2003,8,502,253,Active,,,https://www.redfin.com/CA/Gilroy/1554-Bianca-Way-95020/home/1693064,MLSListings,ML81942862,N,Y,37.0098952,-121.6011542
MLS Listing,,Single Family Residential,8540 El Matador Dr,Gilroy,CA,95020,1350000,3,2.5,GILROY,2394,73420,1977,9,564,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/8540-El-Matador-Dr-95020/home/1325392,MLSListings,ML81942805,N,Y,37.0190091,-121.6563612
MLS Listing,,Single Family Residential,4680 Meritage Ct,Gilroy,CA,95020,2499950,4,4.5,GILROY,4327,106767,1999,10,578,215,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/4680-Meritage-Ct-95020/home/1025355,MLSListings,ML81942622,N,Y,37.0117818,-121.654022
MLS Listing,,Multi-Family (2-4 Unit),7101 Rosanna St,Gilroy,CA,95020,1299000,6,3.0,GILROY,2080,6792,1959,11,625,,Active,,,https://www.redfin.com/CA/Gilroy/7101-Rosanna-St-95020/home/1604420,MLSListings,ML81942514,N,Y,37.0007977,-121.5704719
MLS Listing,,Single Family Residential,1391 3rd St,Gilroy,CA,95020,899000,3,2.0,GILROY,1207,7717,1977,15,745,,Active,,,https://www.redfin.com/CA/Gilroy/1391-3rd-St-95020/home/1023489,MLSListings,ML81942021,N,Y,37.0086601,-121.5966305
MLS Listing,,Single Family Residential,9579 Via Del Cielo,Gilroy,CA,95020,2950000,4,3.5,GILROY,5000,435600,2001,16,590,167,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/9579-Via-Del-Cielo-95020/home/23472773,MLSListings,ML81940697,N,Y,37.0627491,-121.5320493
MLS Listing,,Single Family Residential,8415 Marcella Ave,Gilroy,CA,95020,1395000,4,3.0,GILROY,1588,112634,1976,16,878,,Active,,,https://www.redfin.com/CA/Gilroy/8415-Marcella-Ave-95020/home/765978,MLSListings,ML81941382,N,Y,37.0286211,-121.5533014
MLS Listing,,Single Family Residential,1301 Peregrine Dr,Gilroy,CA,95020,1250000,5,2.5,GILROY,2635,7592,1997,17,474,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Gilroy/1301-Peregrine-Dr-95020/home/1573408,MLSListings,ML81941383,N,Y,37.0325357,-121.6062396
MLS Listing,,Vacant Land,0 Roop Rd,Gilroy,CA,95020,798000,,,GILROY,,217800,,17,,,Active,,,https://www.redfin.com/CA/Gilroy/Roop-Rd-95020/home/161058803,MLSListings,ML81941793,N,Y,37.050563,-121.533484
MLS Listing,,Vacant Land,0 Roop Rd,Gilroy,CA,95020,661500,,,GILROY,,108900,,17,,,Active,,,https://www.redfin.com/CA/Gilroy/Roop-Rd-95020/home/161081847,MLSListings,ML81941792,N,Y,37.049768,-121.533021
