SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2451 Cory Ave,San Jose,CA,95128,899999,3,1.0,SAN JOSE,1040,7230,1950,8,865,,Active,,,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,MLSListings,ML81942790,N,Y,37.3319824,-121.9487775
MLS Listing,,Single Family Residential,3576 Golden State Dr,Santa Clara,CA,95051,1599800,3,2.0,SANTA CLARA,1166,5200,1954,1,1372,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3576-Golden-State-Dr-95051/home/733956,MLSListings,ML81943650,N,Y,37.3433961,-121.9947845
MLS Listing,,Single Family Residential,330 Crestview Dr,Santa Clara,CA,95050,2388800,4,3.5,SANTA CLARA,2330,7198,1956,1,1025,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/330-Crestview-Dr-95050/home/1777068,MLSListings,ML81943577,N,Y,37.3316866,-121.9538213
MLS Listing,,Single Family Residential,3145 Dorcich St,Santa Clara,CA,95050,2488000,5,3.0,SANTA CLARA,2487,10202,1955,1,1000,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3145-Dorcich-St-95050/home/1263251,MLSListings,ML81943575,N,Y,37.3252485,-121.951866
MLS Listing,,Single Family Residential,1043 Pomeroy Ave,Santa Clara,CA,95051,2100000,4,2.5,SANTA CLARA,1670,3322,2022,1,1257,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/1043-Pomeroy-Ave-95051/home/176530428,MLSListings,ML81941733,N,Y,37.345668,-121.9867441
MLS Listing,,Townhouse,1790 Warburton Ave #4,Santa Clara,CA,95050,1518000,3,2.5,SANTA CLARA,1778,,2023,2,854,337,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1790-Warburton-Ave-95050/unit-4/home/185588801,MLSListings,ML81937068,N,Y,37.3558507,-121.9580821
MLS Listing,,Condo/Co-op,2813 Newhall St,Santa Clara,CA,95050,999880,2,2.5,SANTA CLARA,1365,1271,2016,2,733,528,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2813-Newhall-St-95050/home/112869399,MLSListings,ML81943459,N,Y,37.339099,-121.956128
MLS Listing,,Multi-Family (5+ Unit),2036 Klamath Ave,Santa Clara,CA,95051,3650000,15,14.0,SANTA CLARA,7854,11534,1970,2,465,,Active,,,https://www.redfin.com/CA/Santa-Clara/2036-Klamath-Ave-95051/home/646493,MLSListings,ML81943477,N,Y,37.3593203,-121.9972054
MLS Listing,,Townhouse,2915 Corvin Dr #161,Santa Clara,CA,95051,1658888,4,4.5,SANTA CLARA,2005,690,2021,2,827,320,Active,October-1-2023 02:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Santa-Clara/2915-Corvin-Dr-95051/unit-161/home/176523264,MLSListings,ML81943376,N,Y,37.3750467,-121.987648
MLS Listing,,Condo/Co-op,2201 Monroe St #608,Santa Clara,CA,95050,600000,2,1.0,SANTA CLARA,853,,1978,3,703,414,Active,October-7-2023 01:30 PM,October-7-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2201-Monroe-St-95050/unit-608/home/1224868,MLSListings,ML81940866,N,Y,37.3625928,-121.9601533
MLS Listing,,Condo/Co-op,1400 Bowe Ave #507,Santa Clara,CA,95051,795000,2,2.0,Santa Clara,1062,1059,1984,3,749,652,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Santa-Clara/1400-Bowe-Ave-95051/unit-507/home/691768,San Francisco MLS,423900426,N,Y,37.3502931,-121.9736544
MLS Listing,,Townhouse,2970 Roma Ct,Santa Clara,CA,95051,1299000,3,2.0,SANTA CLARA,1211,,1971,3,1073,435,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2970-Roma-Ct-95051/home/742693,MLSListings,ML81943314,N,Y,37.325709,-121.9793362
MLS Listing,,Single Family Residential,1226 Lincoln St,Santa Clara,CA,95050,1598000,3,2.0,SANTA CLARA,1710,6160,1913,3,935,,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Santa-Clara/1226-Lincoln-St-95050/home/715322,MLSListings,ML81943308,N,Y,37.3492807,-121.9531547
MLS Listing,,Single Family Residential,3212 Loma Alta Dr,Santa Clara,CA,95051,1999950,4,2.0,SANTA CLARA,1700,10795,1963,3,1176,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3212-Loma-Alta-Dr-95051/home/1765625,MLSListings,ML81941906,N,Y,37.3437753,-121.9849227
MLS Listing,,Townhouse,1316 Karina Way,Santa Clara,CA,95051,1329000,3,2.5,SANTA CLARA,1845,1750,1978,3,720,582,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1316-Karina-Way-95051/home/1683448,MLSListings,ML81943260,N,Y,37.3489778,-121.9986934
MLS Listing,,Single Family Residential,3486 Flora Vista Ave,Santa Clara,CA,95051,1638000,4,3.0,SANTA CLARA,1623,5831,1954,3,1009,,Active,October-1-2023 12:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3486-Flora-Vista-Ave-95051/home/1247717,MLSListings,ML81943257,N,Y,37.354832,-121.9924746
MLS Listing,,Single Family Residential,2647 Phillips Ave,Santa Clara,CA,95051,2049000,3,2.0,SANTA CLARA,1462,5814,1956,3,1402,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2647-Phillips-Ave-95051/home/1357304,MLSListings,ML81943240,N,Y,37.34873,-121.9747047
MLS Listing,,Single Family Residential,732 Pritchard Ct,Santa Clara,CA,95051,2398000,6,4.5,SANTA CLARA,3139,5240,1955,4,764,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/732-Pritchard-Ct-95051/home/1515284,MLSListings,ML81943203,N,Y,37.3367711,-121.9748157
MLS Listing,,Condo/Co-op,3725 Terstena Pl #141,Santa Clara,CA,95051,649000,2,1.0,SANTA CLARA,912,,1986,4,712,689,Active,,,https://www.redfin.com/CA/Santa-Clara/3725-Terstena-Pl-95051/unit-141/home/1773359,MLSListings,ML81943163,N,Y,37.3584218,-121.999683
MLS Listing,,Single Family Residential,10080 Judy Ave,Cupertino,CA,95014,4850000,5,4.5,CUPERTINO,3779,9375,2023,4,1283,,Active,,,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,MLSListings,ML81943132,N,Y,37.3217344,-122.0052228
MLS Listing,,Single Family Residential,2991 Monroe St,Santa Clara,CA,95051,1250000,4,2.0,SANTA CLARA,1095,5880,1958,6,1142,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2991-Monroe-St-95051/home/1576616,MLSListings,ML81943019,N,Y,37.3643139,-121.981191
MLS Listing,,Multi-Family (2-4 Unit),,Santa Clara,CA,95050,1699000,4,3.0,SANTA CLARA,2012,6718,1957,9,844,,Active,,,https://www.redfin.com/CA/Santa-Clara/Harrison-St-95050/home/1075506,MLSListings,ML81942788,N,Y,37.34949,-121.953971
MLS Listing,,Townhouse,3001 Kaiser Dr Unit D,Santa Clara,CA,95051,949000,3,2.5,SANTA CLARA,1420,,1971,9,668,634,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/3001-Kaiser-Dr-95051/unit-D/home/1082894,MLSListings,ML81942778,N,Y,37.3420956,-121.9811466
MLS Listing,,Multi-Family (2-4 Unit),1232 Normandy Way,Santa Clara,CA,95050,1498000,4,2.0,SANTA CLARA,1857,6964,1959,9,807,,Active,,,https://www.redfin.com/CA/Santa-Clara/1232-Normandy-Way-95050/home/1011482,MLSListings,ML81942776,N,Y,37.3382215,-121.9420226
MLS Listing,,Multi-Family (2-4 Unit),3271-3273 Rustic Dr,Santa Clara,CA,95051,1598750,4,2.0,SANTA CLARA,1762,9111,1960,9,907,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3271-Rustic-Dr-95051/home/1594074,MLSListings,ML81939658,N,Y,37.34276,-121.986534
MLS Listing,,Single Family Residential,2462 Scanlan Pl,Santa Clara,CA,95050,1699000,3,2.0,SANTA CLARA,2104,5855,1956,9,808,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2462-Scanlan-Pl-95050/home/1060088,MLSListings,ML81942713,N,Y,37.3380793,-121.9666628
MLS Listing,,Condo/Co-op,4681 Albany Cir #132,San Jose,CA,95129,588000,1,1.0,SAN JOSE,813,,1982,9,723,558,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/4681-Albany-Cir-95129/unit-132/home/1464930,MLSListings,ML81942709,N,Y,37.3216877,-121.9856113
MLS Listing,,Condo/Co-op,1883 Agnew Rd #439,Santa Clara,CA,95054,869999,2,2.0,,1070,435,2006,9,813,441,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1883-Agnew-Rd-95054/unit-439/home/12179365,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039191,N,Y,37.3957556,-121.9582914
MLS Listing,,Condo/Co-op,151 Buckingham Dr #236,Santa Clara,CA,95051,580000,1,1.0,SANTA CLARA,862,,1969,10,673,445,Active,,,https://www.redfin.com/CA/Santa-Clara/151-Buckingham-Dr-95051/unit-236/home/744794,MLSListings,ML81942596,N,Y,37.3263578,-121.9711275
MLS Listing,,Condo/Co-op,2625 Keystone Ave #206,Santa Clara,CA,95051,695000,2,1.5,SANTA CLARA,1065,,1978,10,653,586,Active,,,https://www.redfin.com/CA/Santa-Clara/2625-Keystone-Ave-95051/unit-206/home/1182201,MLSListings,ML81942054,N,Y,37.3255108,-121.9697285
MLS Listing,,Condo/Co-op,3901 Lick Mill Blvd #112,Santa Clara,CA,95054,725000,1,1.0,,900,900,2005,11,806,414,Active,,,https://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-112/home/12177773,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039478,N,Y,37.3962174,-121.9428996
MLS Listing,,Multi-Family (2-4 Unit),632-634 Harvard Ave,Santa Clara,CA,95051,2100000,5,3.0,SANTA CLARA,2202,10404,1966,11,954,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/632-Harvard-Ave-95051/home/1117494,MLSListings,ML81942425,N,Y,37.33352,-121.995156
MLS Listing,,Multi-Family (2-4 Unit),2187 Pasetta Dr,Santa Clara,CA,95050,1849888,8,4.0,SANTA CLARA,2992,6600,1962,15,618,,Active,,,https://www.redfin.com/CA/Santa-Clara/2187-Pasetta-Dr-95050/home/1491523,MLSListings,ML81942175,N,Y,37.3643155,-121.9623528
MLS Listing,,Single Family Residential,761 San Miguel Ave,Santa Clara,CA,95050,1788000,4,2.5,SANTA CLARA,1954,6510,1954,16,915,,Active,,,https://www.redfin.com/CA/Santa-Clara/761-San-Miguel-Ave-95050/home/1357541,MLSListings,ML81941970,N,Y,37.3406898,-121.965041
MLS Listing,,Condo/Co-op,2380 Homestead Rd #1201,Santa Clara,CA,95050,798000,2,1.5,SANTA CLARA,1020,,2007,17,782,529,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2380-Homestead-Rd-95050/unit-1201/home/12181526,MLSListings,ML81941720,N,Y,37.341382,-121.966099
MLS Listing,,Townhouse,2323 Villa Pl,Santa Clara,CA,95054,1188000,3,2.5,SANTA CLARA,1526,1480,1990,17,779,250,Active,,,https://www.redfin.com/CA/Santa-Clara/2323-Villa-Pl-95054/home/762763,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038607,N,Y,37.40076,-121.966374
MLS Listing,,Condo/Co-op,334 Santana Row #325,San Jose,CA,95128,1300000,2,1.5,SAN JOSE,1099,,2002,21,1183,776,Active,,,https://www.redfin.com/CA/San-Jose/334-Santana-Row-95128/unit-325/home/17293121,MLSListings,ML81941407,N,Y,37.3222527,-121.947416
MLS Listing,,Condo/Co-op,333 Santana Row #311,San Jose,CA,95128,1300000,2,1.5,SAN JOSE,1099,,2002,22,1183,767,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/333-Santana-Row-95128/unit-311/home/17293052,MLSListings,ML81938396,N,Y,37.3219255,-121.948418
MLS Listing,,Condo/Co-op,2913 Noyce Pl #219,Santa Clara,CA,95051,1398000,2,2.0,SANTA CLARA,1440,,2022,22,971,326,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2913-Noyce-Pl-95051/unit-219/home/181215312,MLSListings,ML81941277,N,Y,37.3752857,-121.9872347
MLS Listing,,Townhouse,4497 Lafayette St,Santa Clara,CA,95054,1458000,4,3.0,SANTA CLARA,1930,1038,2005,22,755,199,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/4497-Lafayette-St-95054/home/2125064,MLSListings,ML81940276,N,Y,37.397293,-121.959951
MLS Listing,,Townhouse,2193 Hogan Dr,Santa Clara,CA,95054,698000,1,1.5,SANTA CLARA,961,918,1981,23,726,250,Active,,,https://www.redfin.com/CA/Santa-Clara/2193-Hogan-Dr-95054/home/1290632,MLSListings,ML81941098,N,Y,37.401679,-121.9627556
MLS Listing,,Condo/Co-op,3578 Rambla Pl #416,Santa Clara,CA,95051,1018000,1,1.0,SANTA CLARA,936,,2021,24,1088,618,Active,,,https://www.redfin.com/CA/Santa-Clara/3578-Rambla-Pl-95051/unit-416/home/173310968,MLSListings,ML81940994,N,Y,37.37516,-121.99491
MLS Listing,,Single Family Residential,1722 Loveland Ct,Santa Clara,CA,95050,1595000,4,2.5,SANTA CLARA,2094,4199,1998,24,762,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1722-Loveland-Ct-95050/home/969681,MLSListings,ML81940580,N,Y,37.3570849,-121.9476888
MLS Listing,,Condo/Co-op,3715 Terstena Pl #312,Santa Clara,CA,95051,849000,2,2.0,SANTA CLARA,1360,,1982,25,624,775,Active,,,https://www.redfin.com/CA/Santa-Clara/3715-Terstena-Pl-95051/unit-312/home/1532317,MLSListings,ML81940727,N,Y,37.3582351,-121.9989378
MLS Listing,,Condo/Co-op,921 Mountain Ash Ter #8,Sunnyvale,CA,94086,1437879,2,2.5,PONDEROSA,1444,500,2022,28,996,394,Active,,,https://www.redfin.com/CA/Sunnyvale/921-Mountain-Ash-Ter-94086/unit-8/home/181234672,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037935,N,Y,37.354116,-121.951621
MLS Listing,,Condo/Co-op,1077 Alta Mira Dr Unit B,Santa Clara,CA,95051,649950,2,2.0,SANTA CLARA,1012,,1971,29,642,460,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1077-Alta-Mira-Dr-95051/unit-B/home/736326,MLSListings,ML81940614,N,Y,37.346448,-121.994983
MLS Listing,,Multi-Family (2-4 Unit),2480 Karen Dr,Santa Clara,CA,95050,2000000,5,4.0,SANTA CLARA,2540,7290,1960,31,787,,Active,,,https://www.redfin.com/CA/Santa-Clara/2480-Karen-Dr-95050/home/1603911,MLSListings,ML81940305,N,Y,37.3439149,-121.9692398
MLS Listing,,Single Family Residential,1149 Scott Blvd,Santa Clara,CA,95050,1599000,3,3.5,SANTA CLARA,1764,7800,1949,31,906,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1149-Scott-Blvd-95050/home/1763205,MLSListings,ML81940285,N,Y,37.3466528,-121.9589869
MLS Listing,,Single Family Residential,2374 Vargas Pl,Santa Clara,CA,95050,2199888,3,2.0,SANTA CLARA,2074,6432,1952,33,1061,,Active,,,https://www.redfin.com/CA/Santa-Clara/2374-Vargas-Pl-95050/home/724230,MLSListings,ML81937217,N,Y,37.3568651,-121.9670183
MLS Listing,,Single Family Residential,2435 Armstrong Pl,Santa Clara,CA,95050,1550000,3,2.0,SANTA CLARA,1231,6978,1956,33,1259,,Active,,,https://www.redfin.com/CA/Santa-Clara/2435-Armstrong-Pl-95050/home/1604042,MLSListings,ML81939764,N,Y,37.3410195,-121.9674404
