SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2530 Magnolia Way,Morgan Hill,CA,95037,1600000,5,3.0,MORGAN HILL,2806,7167,1997,1,570,165,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/2530-Magnolia-Way-95037/home/1270501,MLSListings,ML81941304,N,Y,37.1415678,-121.6087433
MLS Listing,,Single Family Residential,17097 Saint Brendan Loop,Morgan Hill,CA,95037,1299000,4,3.0,MORGAN HILL,1952,4870,2018,1,665,159,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/17097-Saint-Brendan-Loop-95037/home/167550765,MLSListings,ML81943606,N,Y,37.1329909,-121.6380027
MLS Listing,,Condo/Co-op,136 La Crosse Dr Unit 2DGR,Morgan Hill,CA,95037,499000,1,1.0,MORGAN HILL,672,633,1984,1,743,413,Active,,,https://www.redfin.com/CA/Morgan-Hill/136-La-Crosse-Dr-95037/unit-2DGR/home/1136971,MLSListings,ML81943585,N,Y,37.109761,-121.64481
MLS Listing,,Mobile/Manufactured Home,275 Burnett Ave #171,Morgan Hill,CA,95037,279000,2,2.0,MORGAN HILL,1680,,1977,1,166,,Active,,,https://www.redfin.com/CA/Morgan-Hill/275-Burnett-Ave-95037/unit-171/home/1450763,MLSListings,ML81943482,N,Y,37.1577177,-121.6726083
MLS Listing,,Single Family Residential,1331 Bodega Way,Morgan Hill,CA,95037,1318000,4,2.5,MORGAN HILL,1895,3545,2023,1,696,286,Active,,,https://www.redfin.com/CA/Morgan-Hill/1331-Bodega-Way-95037/home/167557984,MLSListings,ML81943519,N,Y,37.13318,-121.627212
MLS Listing,,Single Family Residential,16900 Burgundy Ln,Morgan Hill,CA,95037,2178800,4,3.0,MORGAN HILL,2820,9000,2023,2,773,286,Active,,,https://www.redfin.com/CA/Morgan-Hill/16900-Burgandy-Ln-95037/home/167557990,MLSListings,ML81943518,N,Y,37.133337,-121.626523
MLS Listing,,Single Family Residential,16711 Willow Creek Dr,Morgan Hill,CA,95037,1399999,4,2.5,MORGAN HILL,2576,7317,1978,2,543,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/16711-Willow-Creek-Dr-95037/home/558768,MLSListings,ML81940944,N,Y,37.1191019,-121.6572077
MLS Listing,,Townhouse,190 Huntington Ln,Morgan Hill,CA,95037,799999,3,3.5,MORGAN HILL,1673,890,2010,3,478,346,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/190-Huntington-Ln-95037/home/28486644,MLSListings,ML81943235,N,Y,37.131407,-121.650614
MLS Listing,,Single Family Residential,7900 Croy Rd Unit F,Morgan Hill,CA,95037,585000,4,2.0,MORGAN HILL,1000,642353,1980,3,585,,Active,,,https://www.redfin.com/CA/Morgan-Hill/7900-Croy-Rd-95037/unit-F/home/63849799,MLSListings,ML81943232,N,Y,37.0896464,-121.7912815
MLS Listing,,Single Family Residential,2810 Fountain Oaks Dr,Morgan Hill,CA,95037,1250000,4,2.0,MORGAN HILL,2028,15870,1977,4,616,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/2810-Fountain-Oaks-Dr-95037/home/1604623,MLSListings,ML81941756,N,Y,37.1391715,-121.6036394
MLS Listing,,Single Family Residential,17210 Quail Ct,Morgan Hill,CA,95037,2299000,5,4.0,MORGAN HILL,5055,28641,2004,4,455,88,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/17210-Quail-Ct-95037/home/1013415,MLSListings,ML81943190,N,Y,37.1514053,-121.6035725
MLS Listing,,Single Family Residential,18835 Old Monterey Rd,Morgan Hill,CA,95037,1725000,4,3.5,MORGAN HILL,3130,6364,2015,4,551,115,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/18835-Old-Monterey-Rd-95037/home/112869191,MLSListings,ML81943120,N,Y,37.1468424,-121.6687916
MLS Listing,,Single Family Residential,17685 Raccoon Ct,Morgan Hill,CA,95037,1449000,4,2.5,MORGAN HILL,2847,27600,1976,5,509,88,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/17685-Raccoon-Ct-95037/home/1032178,MLSListings,ML81943090,N,Y,37.1574932,-121.6127772
MLS Listing,,Single Family Residential,2250 Via Orista,Morgan Hill,CA,95037,2999999,5,5.5,MORGAN HILL,4477,16955,2019,5,670,375,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Morgan-Hill/2250-Via-Orista-95037/home/168907969,MLSListings,ML81940365,N,Y,37.1617489,-121.6356631
MLS Listing,,Single Family Residential,13495 Sycamore Dr,Morgan Hill,CA,95037,2849000,5,3.5,MORGAN HILL,3894,40000,2009,6,732,,Active,,,https://www.redfin.com/CA/Morgan-Hill/13495-Sycamore-Dr-95037/home/171916167,MLSListings,ML81943006,N,Y,37.0682754,-121.6638018
MLS Listing,,Single Family Residential,14520 Shadowlane Ct,Morgan Hill,CA,95037,1300000,5,3.0,MORGAN HILL,3188,11494,1977,6,408,,Active,October-1-2023 02:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Morgan-Hill/14520-Shadowlane-Ct-95037/home/1238168,MLSListings,ML81941360,N,Y,37.0910736,-121.6325213
MLS Listing,,Single Family Residential,470 Las Coches Ct,Morgan Hill,CA,95037,1199000,4,2.0,MORGAN HILL,1808,7614,1977,7,663,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/470-Las-Coches-Ct-95037/home/1435855,MLSListings,ML81941892,N,Y,37.1035387,-121.6433501
MLS Listing,,Single Family Residential,16809 Gallop Dr,Morgan Hill,CA,95037,1149950,3,2.0,MORGAN HILL,1638,8415,1975,8,702,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Morgan-Hill/16809-Gallop-Dr-95037/home/1680651,MLSListings,ML81942475,N,Y,37.1391064,-121.6065368
MLS Listing,,Single Family Residential,17495 Belletto Dr,Morgan Hill,CA,95037,1650000,5,4.0,MORGAN HILL,3063,7146,1996,8,539,95,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Morgan-Hill/17495-Belletto-Dr-95037/home/1733632,MLSListings,ML81939174,N,Y,37.1377793,-121.6437512
MLS Listing,,Single Family Residential,1955 Morgan Ave,Morgan Hill,CA,95037,1899988,4,2.5,MORGAN HILL,2195,42374,1978,8,866,,Active,,,https://www.redfin.com/CA/Morgan-Hill/1955-Morgan-Ave-95037/home/1720644,MLSListings,ML81940110,N,Y,37.1422081,-121.6205995
MLS Listing,,Multi-Family (2-4 Unit),240 E Edmundson Ave,Morgan Hill,CA,95037,950000,5,2.0,MORGAN HILL,1470,8060,1950,9,646,,Active,,,https://www.redfin.com/CA/Morgan-Hill/240-E-Edmundson-Ave-95037/home/187628800,MLSListings,ML81942799,N,Y,37.1156477,-121.639819
