SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,218 A St,Redwood City,CA,94063,999950,3,1.0,REDWOOD CITY,1200,5000,1942,1,833,,Active,,,https://www.redfin.com/CA/Redwood-City/218-A-St-94063/home/1926240,MLSListings,ML81943640,N,Y,37.492343,-122.2386405
MLS Listing,,Multi-Family (2-4 Unit),134 Broadway St,Redwood City,CA,94063,1398000,3,2.0,REDWOOD CITY,1730,6000,1952,1,808,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/134-Broadway-St-94063/home/1845024,MLSListings,ML81943582,N,Y,37.4849376,-122.1988348
MLS Listing,,Multi-Family (2-4 Unit),416 Poplar Ave,Redwood City,CA,94061,1840000,5,3.0,REDWOOD CITY,2733,5760,1958,1,673,,Active,,,https://www.redfin.com/CA/Redwood-City/416-Poplar-Ave-94061/home/810576,MLSListings,ML81943561,N,Y,37.4730495,-122.2259275
MLS Listing,,Single Family Residential,800 Alameda De Las Pulgas,Redwood City,CA,94061,2089000,3,3.0,REDWOOD CITY,1991,8050,1952,1,1049,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Redwood-City/800-Alameda-de-las-Pulgas-94061/home/2002302,MLSListings,ML81943539,N,Y,37.4662528,-122.2459105
MLS Listing,,Single Family Residential,200 Star Hill Rd,Woodside,CA,94062,1725000,4,2.0,WOODSIDE,2040,23760,1948,1,846,,Active,,,https://www.redfin.com/CA/Woodside/200-Star-Hill-Rd-94062/home/2020301,MLSListings,ML81941659,N,Y,37.422079,-122.3280974
MLS Listing,,Single Family Residential,1610 Arguello St,Redwood City,CA,94063,1775000,4,3.0,REDWOOD CITY,1810,5000,1941,2,981,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/1610-Arguello-St-94063/home/806694,MLSListings,ML81943501,N,Y,37.4935077,-122.2403944
MLS Listing,,Single Family Residential,802 Corriente Point Dr,Redwood Shores,CA,94065,3096900,4,3.0,Redwood Shores,2890,5445,1996,2,1072,350,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/802-Corriente-Point-Dr-94065/home/1464285,MLSListings,ML81943487,N,Y,37.5379746,-122.2485721
MLS Listing,,Single Family Residential,568 Island Pl,Redwood City,CA,94065,2850000,4,3.5,REDWOOD CITY,2310,6900,1987,2,1234,300,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Redwood-City/568-Island-Pl-94065/home/940555,MLSListings,ML81943455,N,Y,37.5330677,-122.2535296
MLS Listing,,Single Family Residential,12 Melvin Henry Ct,Redwood City,CA,94061,2600000,4,2.5,REDWOOD CITY,2660,5508,1990,2,977,,Active,October-1-2023 02:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Redwood-City/12-Melvin-Henry-Ct-94061/home/1959375,MLSListings,ML81943429,N,Y,37.4489408,-122.2283679
MLS Listing,,Single Family Residential,1131 Foothill St,Redwood City,CA,94061,1880000,4,2.0,REDWOOD CITY,1460,7100,1953,2,1288,,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Redwood-City/1131-Foothill-St-94061/home/1898252,MLSListings,ML81943417,N,Y,37.4605518,-122.2473534
MLS Listing,,Single Family Residential,1603 James Ave,Redwood City,CA,94062,3295000,4,3.0,REDWOOD CITY,2704,9950,1940,2,1219,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/1603-James-Ave-94062/home/2027348,MLSListings,ML81943404,N,Y,37.4746124,-122.2457295
MLS Listing,,Townhouse,100 Baltic Cir #110,Redwood City,CA,94065,1199000,2,2.5,REDWOOD CITY,1424,,1996,2,842,673,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/100-Baltic-Cir-94065/unit-110/home/1165927,MLSListings,ML81941765,N,Y,37.5387553,-122.2401843
MLS Listing,,Condo/Co-op,88 Claremont Ave #2,Redwood City,CA,94062,798000,2,2.0,REDWOOD CITY,1060,,1971,3,753,630,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/88-Claremont-Ave-94062/unit-2/home/985915,MLSListings,ML81943345,N,Y,37.4903635,-122.2423842
MLS Listing,,Single Family Residential,3451 Bay Rd,Redwood City,CA,94063,1309000,3,2.5,REDWOOD CITY,1368,7000,1948,3,957,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/3451-Bay-Rd-94063/home/826276,MLSListings,ML81941627,N,Y,37.4796392,-122.1927384
