SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1709 Chase St,Oakland,CA,94607,995000,4,3.0,WEST OAKLAND,1756,2291,1889,2,567,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Oakland/1709-Chase-St-94607/home/1113120,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040500,N,Y,37.8081553,-122.3004971
MLS Listing,,Single Family Residential,4349 Hyacinth Ave,Oakland,CA,94619,799000,2,1.0,UPPER LAUREL,1006,3200,1940,8,794,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Oakland/4349-Hyacinth-Ave-94619/home/1465453,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039961,N,Y,37.7896676,-122.1879749
MLS Listing,,Single Family Residential,6585 Oakwood Dr,Oakland,CA,94611,1695000,4,3.0,MONTCLAIR,3611,15120,2011,9,469,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Oakland/6585-Oakwood-Dr-94611/home/22690242,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039353,N,Y,37.8409922,-122.200456
MLS Listing,,Condo/Co-op,655 12th St #113,Oakland,CA,94607,599000,2,2.0,DOWNTOWN,979,29749,2003,16,612,480,Active,,,https://www.redfin.com/CA/Oakland/655-12th-St-94607/unit-113/home/1232465,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039159,N,Y,37.8045763,-122.2773515
MLS Listing,,Condo/Co-op,22 Moss Ave #212,Oakland,CA,94610,635000,2,2.0,ROSE GARDEN,1159,,1965,22,548,545,Active,,,https://www.redfin.com/CA/Oakland/22-Moss-Ave-94610/unit-212/home/1890779,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038579,N,Y,37.8189103,-122.2509358
MLS Listing,,Condo/Co-op,901 Jefferson #314,Oakland,CA,94607,595000,2,2.0,DOWNTOWN,909,,2009,25,655,543,Active,,,https://www.redfin.com/CA/Oakland/901-Jefferson-St-94607/unit-314/home/174293623,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038091,N,Y,37.8027513,-122.2768642
MLS Listing,,Single Family Residential,6625 Hillmont Dr,Oakland,CA,94605,779000,2,2.0,MILLSMONT AREA,957,7400,1925,28,814,,Active,,,https://www.redfin.com/CA/Oakland/6625-Hillmont-Dr-94605/home/786998,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037914,N,Y,37.7757449,-122.170902
MLS Listing,,Condo/Co-op,385 Jayne Ave #315,Oakland,CA,94610,589000,2,1.0,ADAMS POINT,1108,23958,1970,36,532,480,Active,,,https://www.redfin.com/CA/Oakland/385-Jayne-Ave-94610/unit-315/home/1840909,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037165,N,Y,37.8146792,-122.2541779
MLS Listing,,Single Family Residential,5018 Congress Ave,Oakland,CA,94601,799000,3,3.0,FAIRFAX,1056,3900,1925,36,757,,Active,,,https://www.redfin.com/CA/Oakland/5018-Congress-Ave-94601/home/1843258,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037152,N,Y,37.7762942,-122.2020271
MLS Listing,,Single Family Residential,5056 Congress Ave,Oakland,CA,94601,799000,3,2.0,FAIRFAX,1369,6500,1913,65,584,,Active,,,https://www.redfin.com/CA/Oakland/5056-Congress-Ave-94601/home/1843255,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41034343,N,Y,37.7756766,-122.2017714
