SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,107 Durham St,Menlo Park,CA,94025,1998000,3,2.0,MENLO PARK,1600,5300,1953,1,1249,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/107-Durham-St-94025/home/855092,MLSListings,ML81943563,N,Y,37.4638204,-122.1520518
MLS Listing,,Single Family Residential,1 Douglass Way,Atherton,CA,94027,7295000,5,4.0,ATHERTON,3825,29008,1948,1,1907,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Atherton/1-Douglass-Way-94027/home/885550,MLSListings,ML81943543,N,Y,37.4553872,-122.1890167
MLS Listing,,Single Family Residential,905 Monte Rosa Dr,Menlo Park,CA,94025,6545000,4,4.5,MENLO PARK,3737,11627,2023,2,1751,,Active,,,https://www.redfin.com/CA/Menlo-Park/905-Monte-Rosa-Dr-94025/home/899453,MLSListings,ML81943425,N,Y,37.4272569,-122.2053551
MLS Listing,,Single Family Residential,531 Grace Dr,Menlo Park,CA,94025,6795000,5,4.5,MENLO PARK,4190,10476,2002,2,1622,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/531-Grace-Dr-94025/home/1809606,MLSListings,ML81943418,N,Y,37.4343947,-122.1909899
MLS Listing,,Townhouse,140 Buckthorn Way,Menlo Park,CA,94025,2140000,3,2.5,Not Listed,2030,1965,1997,3,1054,400,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/140-Buckthorn-Way-94025/home/2055607,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040306,N,Y,37.4596986,-122.1928315
MLS Listing,,Single Family Residential,508 Laurel Ave,Menlo Park,CA,94025,3795000,4,3.0,MENLO PARK,2360,7000,2009,4,1608,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/508-Laurel-Ave-94025/home/1351258,MLSListings,ML81929853,N,Y,37.4607359,-122.1544475
MLS Listing,,Single Family Residential,624 Harvard Ave,Menlo Park,CA,94025,2449900,3,2.0,,1450,1676,1925,5,1690,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/624-Harvard-Ave-94025/home/1738961,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040114,N,Y,37.4473984,-122.1739725
MLS Listing,,Single Family Residential,1312 Hill Ave,Menlo Park,CA,94025,999000,2,1.0,MENLO PARK,880,4800,1951,5,1135,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/1312-Hill-Ave-94025/home/1574731,MLSListings,ML81943042,N,Y,37.4764137,-122.1636142
MLS Listing,,Single Family Residential,2169 Gordon Ave,Menlo Park,CA,94025,4750000,5,4.5,MENLO PARK,2930,5982,2018,5,1621,,Active,,,https://www.redfin.com/CA/Menlo-Park/2169-Gordon-Ave-94025/home/145959096,MLSListings,ML81943036,N,Y,37.4309182,-122.2031119
MLS Listing,,Single Family Residential,2067 Ashton Ave,Menlo Park,CA,94025,2000000,3,1.0,MENLO PARK,1190,6000,1950,5,1681,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/2067-Ashton-Ave-94025/home/1898756,MLSListings,ML81943034,N,Y,37.4330365,-122.2025852
