SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,36171 San Pedro Dr,Fremont,CA,94536,1299000,3,2.0,CABRILLO,1450,7339,1956,1,896,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Fremont/36171-San-Pedro-Dr-94536/home/1597604,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040721,N,Y,37.5545097,-122.0281827
MLS Listing,,Single Family Residential,6104 Mayhews Landing Rd,Newark,CA,94560,960000,4,2.0,Newark,1383,8925,1953,2,694,,Active,,,https://www.redfin.com/CA/Newark/6104-Mayhews-Landing-Rd-94560/home/864356,MetroList,223094724,N,Y,37.5394704,-122.0351711
MLS Listing,,Single Family Residential,6437 Thomas Ave,Newark,CA,94560,985000,3,2.0,NEWARK,1458,5650,1959,3,676,,Active,,,https://www.redfin.com/CA/Newark/6437-Thomas-Ave-94560/home/1594837,MLSListings,ML81943517,N,Y,37.5307294,-122.0280571
MLS Listing,,Single Family Residential,7634 Thornton Ave,Newark,CA,94560,1279000,4,4.0,NEWARK,1667,6250,1900,3,767,,Active,October-1-2023 02:30 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Newark/7634-Thornton-Ave-94560/home/1676246,MLSListings,ML81943440,N,Y,37.5288044,-122.0413313
MLS Listing,,Single Family Residential,8220 Tanforan Ct,Newark,CA,94560,1898000,3,2.5,MAYHEW LANDING,2047,7408,1998,4,927,61,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/8220-Tanforan-Ct-94560/home/1312736,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040336,N,Y,37.5353349,-122.0589071
MLS Listing,,Single Family Residential,39170 Ebbetts St,Newark,CA,94560,1198000,4,3.0,NEWARK,1781,4606,1978,5,673,,Active,,,https://www.redfin.com/CA/Newark/39170-Ebbetts-St-94560/home/1337663,MLSListings,ML81943198,N,Y,37.5204145,-122.0070439
MLS Listing,,Single Family Residential,5282 Abbey Ct,Newark,CA,94560,1075000,3,2.0,Not Listed,1126,6000,1958,6,955,,Active,October-1-2023 12:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Newark/5282-Abbey-Ct-94560/home/1347569,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039393,N,Y,37.5440022,-122.0225266
MLS Listing,,Single Family Residential,5336 Ashbourne Ct,Newark,CA,94560,1789000,5,2.5,THE LAKE,2335,8100,1968,6,766,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/5336-Ashbourne-Ct-94560/home/858929,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040190,N,Y,37.5539654,-122.0421264
MLS Listing,,Single Family Residential,6626 Thornton Ave,Newark,CA,94560,788888,2,1.0,CENTRAL NEWARK,1068,5718,1930,9,739,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/6626-Thornton-Ave-94560/home/1733006,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039222,N,Y,37.5321734,-122.0342338
MLS Listing,,Townhouse,37551 Salt Grass Rd,Newark,CA,94560,1198888,4,3.0,BAYSHORES COMMUNITY,1974,435,2021,10,607,485,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/37551-Salt-Grass-Rd-94560/home/186130551,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039860,N,Y,37.5189301,-122.0550255
