SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,527 W 36th St,San Pedro,CA,90731,1598000,4,3.0,181 - Point Fermin,3498,6402,1989,2,457,,Active,,,https://www.redfin.com/CA/San-Pedro/527-W-36th-St-90731/home/7696655,CRMLS,SB23179186,N,Y,33.7112558,-118.2886337
MLS Listing,,Vacant Land,561 E Opp St,Wilmington,CA,90744,350000,,,196 - East Wilmington,,5926,,3,,,Active,,,https://www.redfin.com/CA/Wilmington/561-E-Opp-St-90744/home/7679577,CRMLS,SB23178856,N,Y,33.7833026,-118.255513
MLS Listing,,Condo/Co-op,4111 W Sunset Blvd #311,Los Angeles,CA,90029,934500,2,2.0,671 - Silver Lake,1320,43933,2007,3,708,770,Active,,,https://www.redfin.com/CA/Los-Angeles/4111-W-Sunset-Blvd-90029/unit-311/home/21921312,CRMLS,PW23179595,N,Y,34.093818,-118.281232
MLS Listing,,Single Family Residential,17434 Covello St,Lake Balboa,CA,91406,999000,4,3.0,LKBL - Lake Balboa,1716,5600,1950,3,582,,Active,,,https://www.redfin.com/CA/Van-Nuys/17434-Covello-St-91406/home/4326833,CRMLS,BB23179719,N,Y,34.2073659,-118.5131081
MLS Listing,,Single Family Residential,3160 Plumas St,Los Angeles,CA,90065,959900,2,1.0,623 - Glassel Park,1004,3072,1927,4,956,,Active,,,https://www.redfin.com/CA/Los-Angeles/3160-Plumas-St-90065/home/7176968,CRMLS,OC23180211,N,Y,34.1354996,-118.2331382
MLS Listing,,Single Family Residential,227 N Avenue 50,Los Angeles,CA,90042,899999,2,2.0,632 - Highland Park,864,2166,1922,6,1042,,Active,,,https://www.redfin.com/CA/Los-Angeles/227-N-Avenue-50-90042/home/7076724,CRMLS,PF23176854,N,Y,34.1069034,-118.2033363
MLS Listing,,Multi-Family (2-4 Unit),2339 Birkdale St,Los Angeles,CA,90031,1200000,8,4.0,671 - Silver Lake,3150,4835,1963,6,381,,Active,,,https://www.redfin.com/CA/Los-Angeles/2339-Birkdale-St-90031/home/7069467,CRMLS,BB23177969,N,Y,34.0923859,-118.2393562
MLS Listing,,Townhouse,1221 N Sycamore Ave #3,Los Angeles,CA,90038,769000,2,3.0,C20 - Hollywood,918,11659,1985,9,838,350,Active,,,https://www.redfin.com/CA/Los-Angeles/1221-N-Sycamore-Ave-90038/unit-3/home/7107266,CRMLS,PF23178081,N,Y,34.0932247,-118.3431357
MLS Listing,,Condo/Co-op,700 Main St #4,Venice,CA,90291,1435000,1,2.0,C11 - Venice,1430,26073,2008,11,1003,709,Active,,,https://www.redfin.com/CA/Venice/700-Main-St-90291/unit-4/home/17224405,CRMLS,SB23176402,N,Y,33.9936962,-118.475054
MLS Listing,,Single Family Residential,20729 Mopena Way,Porter Ranch,CA,91326,1299000,4,2.5,PORA - Porter Ranch,2449,7164,2005,12,530,291,Active,,,https://www.redfin.com/CA/Porter-Ranch/20729-Mopena-Way-91326/home/8175506,CRMLS,PF23173298,N,Y,34.2822814,-118.5845443
MLS Listing,,Single Family Residential,7708 Stanford Ave,Los Angeles,CA,90001,510000,2,1.0,C37 - Metropolitan South,784,1536,1930,12,651,,Active,,,https://www.redfin.com/CA/Los-Angeles/7708-Stanford-Ave-90001/home/7285292,CRMLS,SB23174501,N,Y,33.968965,-118.2627958
MLS Listing,,Condo/Co-op,320 S Ardmore Ave #102,Los Angeles,CA,90020,390000,1,1.0,C17 - Mid-Wilshire,566,43933,1973,12,689,431,Active,,,https://www.redfin.com/CA/Los-Angeles/320-S-Ardmore-Ave-90020/unit-102/home/7089165,CRMLS,PF23172773,N,Y,34.068297,-118.3011248
MLS Listing,,Single Family Residential,10710 Belmar Ave,Porter Ranch,CA,91326,1800000,5,3.5,PORA - Porter Ranch,3350,16565,1968,16,537,,Active,,,https://www.redfin.com/CA/Porter-Ranch/10710-Belmar-Ave-91326/home/5780418,CRMLS,BB23170600,N,Y,34.2648811,-118.5587782
MLS Listing,,Single Family Residential,6315 Belmar Ave,Tarzana,CA,91335,1290000,4,3.0,TAR - Tarzana,2050,7144,1956,16,629,,Active,,,https://www.redfin.com/CA/Tarzana/6315-Belmar-Ave-91335/home/3912345,CRMLS,BB23170991,N,Y,34.1851109,-118.5585032
MLS Listing,,Townhouse,2753 Waverly Dr #705,Los Angeles,CA,90039,1100000,2,3.0,671 - Silver Lake,1243,19785,2016,17,885,370,Active,,,https://www.redfin.com/CA/Los-Angeles/2753-Waverly-Dr-90039/unit-705/home/110239017,CRMLS,BB23170164,N,Y,34.1090163,-118.2627807
MLS Listing,,Single Family Residential,6219 Auckland Ave,North Hollywood,CA,91606,869000,4,3.0,NHO - North Hollywood,1937,6499,1939,17,449,,Active,,,https://www.redfin.com/CA/North-Hollywood/6219-Auckland-Ave-91606/home/5288042,CRMLS,PF23172327,N,Y,34.1836536,-118.3607927
MLS Listing,,Condo/Co-op,2399 Silver Lake Blvd #19,Los Angeles,CA,90039,825000,1,1.5,671 - Silver Lake,1040,42131,2005,17,793,472,Active,,,https://www.redfin.com/CA/Los-Angeles/2399-Silver-Lake-Blvd-90039/unit-19/home/17229116,CRMLS,BB23166446,N,Y,34.1010996,-118.2594682
MLS Listing,,Multi-Family (2-4 Unit),742 E 78th St,Los Angeles,CA,90001,690000,5,3.0,699 - Not Defined,1718,5976,1956,18,402,,Active,,,https://www.redfin.com/CA/Los-Angeles/742-E-78th-St-90001/home/7285428,CRMLS,SW23170111,N,Y,33.9682539,-118.261472
MLS Listing,,Single Family Residential,8458 Hooper Ave Ave,Los Angeles,CA,90001,659999,4,3.0,Los Angeles,1376,3977,1925,22,480,,Active,,,https://www.redfin.com/CA/Los-Angeles/8458-Hooper-Ave-90001/home/7288206,CRMLS,P1-15011,N,Y,33.9617692,-118.2537372
MLS Listing,,Single Family Residential,9626 Sunland Blvd,Shadow Hills,CA,91040,1399000,2,1.0,672 - Shadow Hills,1244,167719,1947,24,1125,,Active,,,https://www.redfin.com/CA/Shadow-Hills/9626-Sunland-Blvd-91040/home/5494270,CRMLS,BB23166340,N,Y,34.2459367,-118.3596898
MLS Listing,,Multi-Family (2-4 Unit),35 Buccaneer St,Marina Del Rey,CA,90292,2595000,7,5.0,Marina Del Rey,3156,3080,1964,32,822,,Active,,,https://www.redfin.com/CA/Marina-del-Rey/35-Buccaneer-St-90292/home/6733326,TheMLS,23-306021,N,Y,33.978708,-118.4651596
MLS Listing,,Single Family Residential,1633 N Beverly Dr,Beverly Hills,CA,90210,2925000,2,2.5,C02 - Beverly Hills Post Office,1978,8530,1936,32,1479,,Active,,,https://www.redfin.com/CA/Beverly-Hills/1633-N-Beverly-Dr-90210/home/6823540,CRMLS,SB23162677,N,Y,34.1003739,-118.4157831
MLS Listing,,Single Family Residential,22641 Macfarlane Dr,Woodland Hills,CA,91364,2150000,6,3.5,,3803,17052,1955,36,565,,Active,,,https://www.redfin.com/CA/Woodland-Hills/22641-Macfarlane-Dr-91364/home/3556992,SDMLS,230016276,N,Y,34.1630039,-118.6197626
MLS Listing,,Single Family Residential,7282 Woodvale Ct,West Hills,CA,91307,1250000,3,3.0,WEH - West Hills,1815,1490884,1987,38,689,228,Active,,,https://www.redfin.com/CA/West-Hills/7282-Woodvale-Ct-91307/home/3118927,CRMLS,BB23156384,N,Y,34.2026765,-118.6332856
MLS Listing,,Condo/Co-op,13045 Pacific Promenade #318,Playa Vista,CA,90094,1098000,2,2.0,C39 - Playa Vista,1160,71339,2007,40,947,847,Active,,,https://www.redfin.com/CA/Playa-Vista/13045-Pacific-Promenade-90094/unit-318/home/21916155,CRMLS,SB23156544,N,Y,33.9726666,-118.4248445
MLS Listing,,Condo/Co-op,1234 Wilshire Blvd #121,Los Angeles,CA,90017,549500,1,1.5,C42 - Downtown L.A.,1130,71332,2006,41,486,780,Active,,,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-121/home/12291907,CRMLS,PW23154688,N,Y,34.053194,-118.265658
MLS Listing,,Condo/Co-op,1525 N Hayworth Ave #302,Los Angeles,CA,90046,1249000,3,2.5,C03 - Sunset Strip - Hollywood Hills West,2140,21601,1959,47,584,800,Active,,,https://www.redfin.com/CA/Los-Angeles/1525-N-Hayworth-Ave-90046/unit-302/home/7116706,CRMLS,SB23143237,N,Y,34.0987217,-118.3632471
MLS Listing,,Single Family Residential,12701 Darla Ave,Granada Hills,CA,91344,1620000,6,3.5,GH - Granada Hills,2600,11235,1964,48,623,,Active,,,https://www.redfin.com/CA/Granada-Hills/12701-Darla-Ave-91344/home/5560122,CRMLS,BB23148813,N,Y,34.3013768,-118.5042553
MLS Listing,,Condo/Co-op,1971 Rodney Dr #106,Los Feliz,CA,90027,825000,2,2.0,637 - Los Feliz,1323,15792,1974,52,624,485,Active,,,https://www.redfin.com/CA/Los-Angeles/1971-Rodney-Dr-90027/unit-106/home/7134558,CRMLS,BB23143259,N,Y,34.1074854,-118.289326
MLS Listing,,Condo/Co-op,1930 S Beverly Glen Blvd #306,Los Angeles,CA,90025,975000,2,3.0,C05 - Westwood - Century City,1418,17250,1984,52,688,615,Active,,,https://www.redfin.com/CA/Los-Angeles/1930-S-Beverly-Glen-Blvd-90025/unit-306/home/6798440,CRMLS,SB23148024,N,Y,34.0546345,-118.4227406
MLS Listing,,Condo/Co-op,4239 Via Arbolada #210,Los Angeles,CA,90042,599000,2,2.0,676 - Monterey Hills,1023,162131,1982,52,586,676,Active,,,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-210/home/6999079,CRMLS,PF23147414,N,Y,34.0964337,-118.188294
MLS Listing,,Vacant Land,5154 Faris Ln,Woodland Hills,CA,91364,2700000,,,WHLL - Woodland Hills,,31046,,65,,,Active,,,https://www.redfin.com/CA/Woodland-Hills/5154-Faris-LN-91364/home/185654561,CRMLS,BB23137770,N,Y,34.163712089,-118.6206169
MLS Listing,,Vacant Land,833 N Brannick Ave,Los Angeles,CA,90063,299999,,,BOYH - Boyle Heights,,10322,,65,,,Active,,,https://www.redfin.com/CA/Los-Angeles/833-N-Brannick-Ave-90063/home/22584754,CRMLS,PF23138880,N,Y,34.0461338,-118.1783012
MLS Listing,,Vacant Land,1 Basil Ln,Bel Air,CA,90049,25000,,,C04 - Bel Air - Holmby Hills,,2556,,75,,,Active,,,https://www.redfin.com/CA/Bel-Air/1-Basil-LN-90049/home/184160341,CRMLS,SR23132650,N,Y,34.108929,-118.444382
MLS Listing,,Condo/Co-op,4239 Via Arbolada #114,Los Angeles,CA,90042,605000,2,2.0,676 - Monterey Hills,1023,162131,1982,75,591,676,Active,,,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-114/home/6999071,CRMLS,PF23132015,N,Y,34.0964337,-118.188294
MLS Listing,,Single Family Residential,765 Mccarthy Vis,Los Angeles,CA,90048,2395000,3,2.5,Beverly Center-Miracle Mile,2629,9214,1933,76,911,,Active,,,https://www.redfin.com/CA/Los-Angeles/765-McCarthy-Vis-90048/home/6915570,TheMLS,23-291449,N,Y,34.06199718,-118.3673555
MLS Listing,,Townhouse,8025 Redlands St #1,Playa Del Rey,CA,90293,924000,4,2.5,C31 - Playa Del Rey,1428,34889,1970,79,647,390,Active,,,https://www.redfin.com/CA/Venice/8025-Redlands-St-90293/unit-1/home/6627200,CRMLS,SB23124425,N,Y,33.9580346,-118.4346953
MLS Listing,,Single Family Residential,611 Mildred Ave,Venice,CA,90291,2875000,4,3.5,C11 - Venice,2878,8001,1981,82,999,,Active,,,https://www.redfin.com/CA/Venice/611-Mildred-Ave-90291/home/6734972,CRMLS,SB23119283,N,Y,33.9872163,-118.4640185
MLS Listing,,Condo/Co-op,1424 Brett Pl #252,San Pedro,CA,90732,489000,1,1.0,193 - San Pedro - North,864,176055,1987,100,566,595,Active,,,https://www.redfin.com/CA/San-Pedro/1424-Brett-Pl-90732/unit-252/home/7686718,CRMLS,SB23110287,N,Y,33.7572558,-118.306171
MLS Listing,,Single Family Residential,2630 Cullen St,Los Angeles,CA,90034,1949000,6,3.0,C16 - Mid Los Angeles,3040,6000,1947,109,641,,Active,,,https://www.redfin.com/CA/Los-Angeles/2630-Cullen-St-90034/home/6901731,CRMLS,SB23102239,N,Y,34.033186,-118.3769469
MLS Listing,,Condo/Co-op,4239 Via Arbolada #201,Los Angeles,CA,90042,585000,2,2.0,676 - Monterey Hills,1023,162131,1982,110,572,676,Active,,,https://www.redfin.com/CA/Los-Angeles/4239-Via-Arbolada-90042/unit-201/home/6999072,CRMLS,BB23102005,N,Y,34.0964337,-118.188294
MLS Listing,,Single Family Residential,23705 Maidstone Pl,Harbor City,CA,90710,1148000,4,2.5,124 - Harbor City,2002,6102,1971,122,573,,Active,,,https://www.redfin.com/CA/Harbor-City/23705-Maidstone-Pl-90710/home/7682374,CRMLS,SB23092468,N,Y,33.8104735,-118.305714
MLS Listing,,Condo/Co-op,1900 Vine St #101,Los Angeles,CA,90068,624900,2,2.0,C20 - Hollywood,1204,47983,1980,145,519,594,Active,,,https://www.redfin.com/CA/Los-Angeles/1900-Vine-St-90068/unit-101/home/7130992,CRMLS,PF23080066,N,Y,34.1062544,-118.3263756
MLS Listing,,Multi-Family (2-4 Unit),5348 W 57th St,Los Angeles,CA,90056,1799999,6,6.0,Ladera Heights,3966,7339,1955,1,454,,Active,,,https://www.redfin.com/CA/Los-Angeles/5348-W-57th-St-90056/home/6718789,TheMLS,22-164349,N,Y,33.9889686,-118.3748916
MLS Listing,,Condo/Co-op,15050 Victory Blvd #103,Van Nuys,CA,91411,460000,2,2.0,East Van Nuys,1193,66280,1977,1,386,366,Active,,,https://www.redfin.com/CA/Van-Nuys/15050-Victory-Blvd-91411/unit-103/home/4662670,TheMLS,22-125715,N,Y,34.1864705,-118.4608954
MLS Listing,,Condo/Co-op,11578 Iowa Ave #101,Los Angeles,CA,90025,1299000,3,3.5,West L.A.,1990,6476,2006,1,653,945,Active,October-3-2023 11:00 AM,October-3-2023 02:00 PM,https://www.redfin.com/CA/Los-Angeles/11578-Iowa-Ave-90025/unit-101/home/12286823,TheMLS,23-273459,N,Y,34.0423962,-118.4517904
MLS Listing,,Single Family Residential,17021 Lassen St,Northridge,CA,91325,1099900,4,3.0,NR - Northridge,2952,7877,1987,1,373,,Active,,,https://www.redfin.com/CA/Northridge/17021-Lassen-St-91325/home/5755096,CRMLS,SR23181879,N,Y,34.2505305,-118.5032062
MLS Listing,,Single Family Residential,241 S Beverly Glen Blvd,Los Angeles,CA,90024,8995000,5,5.5,Westwood - Century City,5474,15793,1936,1,1643,,Active,,,https://www.redfin.com/CA/Los-Angeles/241-S-Beverly-Glen-Blvd-90024/home/6824650,TheMLS,23-313771,N,Y,34.078916,-118.4340452
MLS Listing,,Single Family Residential,4346 3rd Ave,Leimert Park,CA,90008,670000,3,1.0,LEIM - Leimert Park,1255,5439,1924,1,534,,Active,,,https://www.redfin.com/CA/Los-Angeles/4346-3rd-Ave-90008/home/6876048,CRMLS,RS23182976,N,Y,34.004218,-118.3200787
MLS Listing,,Townhouse,21121 Lassen St #6,Chatsworth,CA,91311,549000,2,2.5,CHT - Chatsworth,1488,107162,1983,1,369,415,Active,,,https://www.redfin.com/CA/Chatsworth/21121-Lassen-St-91311/unit-6/home/5838220,CRMLS,SR23183113,N,Y,34.2502479,-118.5939812
MLS Listing,,Single Family Residential,2811 Belden Dr,Los Angeles,CA,90068,4795000,4,4.5,Hollywood Hills East,3881,9285,1995,1,1236,,Active,October-3-2023 11:00 AM,October-3-2023 02:00 PM,https://www.redfin.com/CA/Los-Angeles/2811-Belden-Dr-90068/home/7129986,TheMLS,23-316743,N,Y,34.1206183,-118.3233873
MLS Listing,,Condo/Co-op,717 N Highland Ave #14,Los Angeles,CA,90038,1350000,2,2.0,Hollywood,2000,32774,2005,1,675,278,Active,,,https://www.redfin.com/CA/Los-Angeles/717-N-Highland-Ave-90038/unit-14/home/28913012,TheMLS,23-316797,N,Y,34.0844623,-118.3388438
MLS Listing,,Multi-Family (2-4 Unit),624 W 80th St,Los Angeles,CA,90044,990000,6,4.0,C37 - Metropolitan South,2907,9299,1947,1,341,,Active,,,https://www.redfin.com/CA/Los-Angeles/624-W-80th-St-90044/home/7291191,CRMLS,SR23183041,N,Y,33.9665384,-118.2850254
MLS Listing,,Multi-Family (2-4 Unit),935 E 32nd St,Los Angeles,CA,90011,695000,6,2.5,C23 - Metropolitan,1681,3147,1905,1,413,,Active,,,https://www.redfin.com/CA/Los-Angeles/935-E-32nd-St-90011/home/6925795,CRMLS,RS23183116,N,Y,34.0149412,-118.2592747
MLS Listing,,Single Family Residential,7911 Hillside Ave,Los Angeles,CA,90046,2275000,3,3.5,Sunset Strip - Hollywood Hills West,2300,4196,1941,1,989,,Active,October-8-2023 02:00 AM,October-8-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/7911-Hillside-Ave-90046/home/7116258,TheMLS,23-316763,N,Y,34.1022907,-118.362059
MLS Listing,,Condo/Co-op,8601 International Ave #277,Canoga Park,CA,91304,380000,2,2.0,Canoga Park,883,235717,1971,1,430,532,Active,,,https://www.redfin.com/CA/Canoga-Park/8601-International-Ave-91304/unit-277/home/5873091,TheMLS,21-769814,N,Y,34.2263732,-118.5999947
MLS Listing,,Single Family Residential,5080 Marmol Dr,Woodland Hills,CA,91364,1499000,3,2.0,WHLL - Woodland Hills,1815,10572,1962,1,826,,Active,,,https://www.redfin.com/CA/Woodland-Hills/5080-Marmol-Dr-91364/home/4173723,CRMLS,SR23179043,N,Y,34.1631115,-118.5906488
MLS Listing,,Single Family Residential,13716 W Sunset Blvd,Pacific Palisades,CA,90272,5250000,4,5.0,Pacific Palisades,3393,15006,1952,1,1547,17,Active,October-8-2023 02:00 AM,October-8-2023 05:00 PM,https://www.redfin.com/CA/Pacific-Palisades/13716-W-Sunset-Blvd-90272/home/6839463,TheMLS,23-316577,N,Y,34.0503405,-118.5049716
MLS Listing,,Multi-Family (2-4 Unit),1341 W 47th St,Los Angeles,CA,90037,1190000,6,5.0,Los Angeles Southwest,2514,7387,1932,1,473,,Active,,,https://www.redfin.com/CA/Los-Angeles/1341-W-47th-St-90037/home/6871610,TheMLS,23-316741,N,Y,34.0008867,-118.2994957
MLS Listing,,Townhouse,7230 Kelvin Ave #1,Winnetka,CA,91306,545000,2,2.5,WIN - Winnetka,1423,1423,1982,1,383,360,Active,,,https://www.redfin.com/CA/Winnetka/7230-Kelvin-Ave-91306/unit-1/home/3741613,CRMLS,SR23183030,N,Y,34.2020731,-118.5857105
MLS Listing,,Condo/Co-op,8515 Falmouth Ave #421,Playa Del Rey,CA,90293,888000,2,2.0,Playa Del Rey,1147,62893,1984,1,774,470,Active,October-3-2023 12:00 PM,October-3-2023 02:00 PM,https://www.redfin.com/CA/Venice/8515-Falmouth-Ave-90293/unit-421/home/6631752,TheMLS,23-305417,N,Y,33.9578635,-118.4377506
MLS Listing,,Vacant Land,12242 Laurel Terrace Dr,Studio City,CA,91604,995000,,,STUD - Studio City,,6000,,1,,,Active,,,https://www.redfin.com/CA/Studio-City/12242-Laurel-Terrace-Dr-91604/home/22753584,CRMLS,SR23182935,N,Y,34.1404995,-118.3993542
MLS Listing,,Single Family Residential,833 W 103rd St,Los Angeles,CA,90044,600000,2,1.0,Metropolitan Southwest,956,4027,1936,1,628,,Active,October-7-2023 01:00 PM,October-7-2023 03:00 PM,https://www.redfin.com/CA/Los-Angeles/833-W-103rd-St-90044/home/7305760,TheMLS,23-315921,N,Y,33.9432381,-118.2905976
MLS Listing,,Multi-Family (2-4 Unit),11304 Tiara,North Hollywood,CA,91601,2100000,9,3.5,NHO - North Hollywood,4117,7001,1964,1,510,,Active,,,https://www.redfin.com/CA/North-Hollywood/11304-Tiara-St-91601/home/184887200,CRMLS,OC23183012,N,Y,34.1782308,-118.3769881
MLS Listing,,Single Family Residential,7878 Naylor Ave,Los Angeles,CA,90045,1595000,3,2.0,Westchester,1456,6041,1944,1,1095,,Active,,,https://www.redfin.com/CA/Los-Angeles/7878-Naylor-Ave-90045/home/6607176,TheMLS,23-309373,N,Y,33.9676111,-118.3949923
MLS Listing,,Multi-Family (5+ Unit),5333 Hyde St,El Sereno,CA,90032,1800000,11,6.0,621 - El Sereno,5027,6324,1964,1,358,,Active,,,https://www.redfin.com/CA/Los-Angeles/5333-Hyde-St-90032/home/6952955,CRMLS,CV23182993,N,Y,34.0822669,-118.165826
MLS Listing,,Condo/Co-op,10727 Wilshire Blvd #1704,Los Angeles,CA,90024,3999900,2,2.5,C05 - Westwood - Century City,2929,37847,2001,1,1366,3480,Active,,,https://www.redfin.com/CA/Los-Angeles/10727-Wilshire-Blvd-90024/unit-1704/home/8119262,CRMLS,PT23182995,N,Y,34.0609282,-118.4371896
MLS Listing,,Condo/Co-op,700 S Ardmore Ave #403,Los Angeles,CA,90005,920000,3,3.0,Mid-Wilshire,1495,14122,2005,1,615,375,Active,,,https://www.redfin.com/CA/Los-Angeles/700-S-Ardmore-Ave-90005/unit-403/home/12294552,TheMLS,23-316713,N,Y,34.0595037,-118.3017652
MLS Listing,,Condo/Co-op,4340 Glencoe Ave #4,Marina Del Rey,CA,90292,1267000,2,3.0,C12 - Marina Del Rey,1547,552048,1974,1,819,580,Active,October-7-2023 12:00 AM,October-7-2023 11:59 PM,https://www.redfin.com/CA/Marina-del-Rey/4340-Glencoe-Ave-90292/unit-4/home/6725326,CRMLS,PW23182988,N,Y,33.9861882,-118.4384736
MLS Listing,,Single Family Residential,16723 La Maida St,Encino,CA,91436,1599000,4,2.0,ENC - Encino,1402,8434,1949,1,1141,,Active,,,https://www.redfin.com/CA/Encino/16723-La-Maida-St-91436/home/4786910,CRMLS,SR23182983,N,Y,34.1610126,-118.4976525
MLS Listing,,Townhouse,9763 Via Nola,Burbank,CA,91504,699000,2,2.5,610 - Burbank,1302,297737,1975,1,537,676,Active,,,https://www.redfin.com/CA/Burbank/9763-Via-Nola-91504/home/180113845,CRMLS,SR23182982,N,Y,34.211792,-118.343692
MLS Listing,,Single Family Residential,11511 Kittridge St,North Hollywood,CA,91606,997900,4,4.0,NHO - North Hollywood,1114,6256,1928,1,896,,Active,,,https://www.redfin.com/CA/North-Hollywood/11511-Kittridge-St-91606/home/5043181,CRMLS,SR23182969,N,Y,34.1905143,-118.3828863
MLS Listing,,Single Family Residential,5413 Rhea Ave,Tarzana,CA,91356,1369000,3,3.0,TAR - Tarzana,1655,5998,1950,1,827,,Active,,,https://www.redfin.com/CA/Tarzana/5413-Rhea-Ave-91356/home/4109649,CRMLS,SR23170273,N,Y,34.1693127,-118.5422931
MLS Listing,,Multi-Family (2-4 Unit),136 W 48th St,Los Angeles,CA,90037,1799990,9,7.5,C42 - Downtown L.A.,4150,4752,2023,1,434,,Active,,,https://www.redfin.com/CA/Los-Angeles/136-W-48th-St-90037/home/6924138,CRMLS,OC23170163,N,Y,33.9989536,-118.2753457
MLS Listing,,Condo/Co-op,875 Comstock Ave Unit 7C,Los Angeles,CA,90024,875000,1,1.0,C05 - Westwood - Century City,1253,85036,1961,1,698,1401,Active,,,https://www.redfin.com/CA/Los-Angeles/875-Comstock-Ave-90024/unit-7C/home/6824865,CRMLS,OC23172401,N,Y,34.068307,-118.4265842
MLS Listing,,Multi-Family (5+ Unit),5434 Huntington Dr S,Los Angeles,CA,90032,1800000,1,6.0,621 - El Sereno,2859,6078,1925,1,630,,Active,,,https://www.redfin.com/CA/Los-Angeles/5434-Huntington-Dr-S-90032/home/187632472,CRMLS,GD23177084,N,Y,34.0917793,-118.1624984
MLS Listing,,Single Family Residential,20612 Cohasset St,Winnetka,CA,91306,799999,3,2.0,WIN - Winnetka,1226,10999,1955,1,653,,Active,,,https://www.redfin.com/CA/Winnetka/20612-Cohasset-St-91306/home/3740896,CRMLS,DW23177302,N,Y,34.2062966,-118.582492
MLS Listing,,Multi-Family (2-4 Unit),676 W 3rd St,San Pedro,CA,90731,945000,5,2.5,193 - San Pedro - North,2265,4994,1984,1,417,,Active,,,https://www.redfin.com/CA/San-Pedro/676-W-3rd-St-90731/home/7688868,CRMLS,SB23158230,N,Y,33.7417513,-118.2916084
MLS Listing,,Condo/Co-op,14521 Birchwood Ct,Sylmar,CA,91342,574999,4,3.0,SYL - Sylmar,2277,144870,2001,1,253,120,Active,,,https://www.redfin.com/CA/Sylmar/14521-Birchwood-Ct-91342/home/8117436,CRMLS,SR23043892,N,Y,34.3181037,-118.4485146
MLS Listing,,Condo/Co-op,2324 S Beverly Glen Blvd #207,Los Angeles,CA,90064,1065000,2,2.0,Westwood - Century City,1413,20066,1973,1,754,590,Active,October-3-2023 11:00 AM,October-3-2023 02:00 PM,https://www.redfin.com/CA/Los-Angeles/2324-S-Beverly-Glen-Blvd-90064/unit-207/home/6795345,TheMLS,23-316617,N,Y,34.0482406,-118.4182715
