SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,LAUNDARY_FEATURES,FLOORING_FEATURES,BATH_DESCRIPTION,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,50 N Midway St,Campbell,CA,95008,2780000,4,2.0,CAMPBELL,2476,7332.0,1956,1,1123,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/50-N-Midway-St-95008/home/915769,MLSListings,ML81943672,N,Y,37.2878396,-121.9267558,Attached Garage,2.0,Formal Dining Room,Other (See Remarks),Central Forced Air,Public Utilities,1.0,5,NA,6,2.0,1123.0,1823805.0,19656.0,74,Very bikeable,77,Very walkable,46,Some transit,Moderate,Minimal,Major,Minimal,"Places2 groceries, 31 restaurants, 0 parksTransit25, 26, 56, 61, 64B, Event Green, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 30, 2023",Listed (Active)MLSListings #ML81943672,2780000.0,"Sep 9, 2021",Pending (Pending (Do Not Show))MLSListings #ML81861018,NA,"Sep 2, 2021",Listed (Active)MLSListings #ML81861018,1398000.0,https://www.redfin.com/CA/Campbell/50-N-Midway-St-95008/home/915769,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),1407 San Tomas Aquino Pkwy,San Jose,CA,95130,1848000,8,5.0,SAN JOSE,2764,6885.0,1960,1,669,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/1407-San-Tomas-Aquino-Pkwy-95130/home/1225945,MLSListings,ML81943671,N,Y,37.298514,-121.9632859,Carport,,,,Wall Furnace,Public Utilities,2.0,6,6,7,2.5,669.0,1876217.0,13067.0,80,Very bikeable,62,Somewhat walkable,36,Some transit,Major,Minimal,Moderate,Minimal,"Places8 groceries, 29 restaurants, 0 parksTransit25, 26, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 30, 2023",Listed (Active)MLSListings #ML81943671,1848000.0,,,,,,,https://www.redfin.com/CA/San-Jose/1407-San-Tomas-Aquino-Pkwy-95130/home/1225945,Coin-Operated,Carpet,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1734 Braddock Ct,San Jose,CA,95125,668000,2,1.0,SAN JOSE,865,,1984,1,772,500.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1734-Braddock-Ct-95125/home/982283,MLSListings,ML81943668,N,Y,37.294789,-121.923406,"Assigned Spaces, Guest/Visitor Parking",,Dining Area in Living Room,Central Forced Air,Central Forced Air,"Individual Gas Meters, Public Utilities",1.0,5,NA,6,2.5,772.0,667920.0,5223.0,64,Bikeable,65,Somewhat walkable,45,Some transit,Severe,Minimal,Moderate,Minimal,"Places4 groceries, 26 restaurants, 0 parksTransit25, 26, 56, 61, 64B, Event Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 30, 2023",Listed (Active)MLSListings #ML81943668,668000.0,,,,,,,https://www.redfin.com/CA/San-Jose/1734-Braddock-Ct-95125/home/982283,"In Utility Room, Washer/Dryer","Carpet, Hardwood, Tile",Shower Over Tub,"Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Reserves, Roof",Monthly,Community Management Services,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2279 MAXIMILIAN Dr,Campbell,CA,95008,1749000,4,2.0,CAMPBELL,1486,6000.0,1962,1,1177,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2279-Maximilian-Dr-95130/home/818069,MLSListings,ML81943620,N,Y,37.279734,-121.966353,Attached Garage,2.0,"Dining Area in Family Room, Formal Dining Room",Central Forced Air,Central Forced Air (Gas),Public Utilities,1.0,6,NA,8,2.5,1177.0,1752258.0,12367.0,41,Somewhat bikeable,20,Car-dependent,31,Some transit,Moderate,Minimal,Moderate,Minimal,"Places5 groceries, 23 restaurants, 4 parksTransit26, 27, 37, 56, 57, 60, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 29, 2023",Listed (Active)MLSListings #ML81943620,1749000.0,"Jan 17, 2019",Pending (Pending (Do Not Show))MLSListings #ML81728662,NA,"Jan 8, 2019",ContingentMLSListings #ML81728662,NA,https://www.redfin.com/CA/San-Jose/2279-Maximilian-Dr-95130/home/818069,In Garage,Laminate,,,,,"Nov 29, 2018",Price ChangedMLSListings #ML81728662,1348000.0,"Nov 8, 2018",Price ChangedMLSListings #ML81728662,1388000.0,"Oct 23, 2018",Listed (Active)MLSListings #ML81728662,1468000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,775 Harrison Ave,Campbell,CA,95008,1798000,4,2.0,CAMPBELL,1575,9375.0,1953,2,1142,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/775-Harrison-Ave-95008/home/1429442,MLSListings,ML81943503,N,Y,37.2983342,-121.9427559,"Detached, Drive Through, On Street, Workshop in Garage",4.0,Dining Area,"Ceiling Fan, Central Forced Air","Central Forced Air, Fireplace",Public Utilities,1.0,6,NA,6,2.5,1142.0,1810729.0,12713.0,70,Very bikeable,61,Somewhat walkable,48,Some transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 27 restaurants, 3 parksTransit25, 26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, SCVMC, SCVMC Shuttle","Sep 28, 2023",Listed (Active)MLSListings #ML81943503,1798000.0,,,,,,,https://www.redfin.com/CA/Campbell/775-Harrison-Ave-95008/home/1429442,"In Garage, Washer/Dryer","Hardwood, Marble, Tile","Primary (Stall Shower(s)), Shower Over Tub, Tile",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,78 Cherry Ln,Campbell,CA,95008,1698000,3,2.0,CAMPBELL,1630,8276.0,1948,2,1042,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Campbell/78-Cherry-Ln-95008/home/755657,MLSListings,ML81943500,N,Y,37.2833394,-121.9512439,"Detached, On Street, Parking Area, Uncovered Parking",2.0,"Breakfast Bar, Dining Area, Eat in Kitchen","Ceiling Fan, Central Forced Air",Central Forced Air,Public Utilities,1.0,6,NA,8,2.5,1042.0,1718525.0,12006.0,81,Very bikeable,88,Very walkable,50,Good transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 20 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81943500,1698000.0,,,,,,,https://www.redfin.com/CA/Campbell/78-Cherry-Ln-95008/home/755657,"Inside, Washer/Dryer","Carpet, Hardwood, Tile","Double Sinks, Granite, 2+ Stall Shower, Tub w/Jets, Updated Bath(s)",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,2867 S Bascom Ave #603,Campbell,CA,95008,579900,1,1.0,CAMPBELL,668,,1984,2,868,480.0,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/2867-S-Bascom-Ave-95124/unit-603/home/1333723,MLSListings,ML81943448,N,Y,37.270604,-121.938345,"Guest/Visitor Parking, Underground Parking",,Dining Area,Ceiling Fan,Central Forced Air,Public Utilities,1.0,7,7,8,2.5,868.0,579848.0,4580.0,77,Very bikeable,82,Very walkable,39,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 34 restaurants, 0 parksTransit26, 27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81943448,579900.0,"May 16, 2010",Pending (Pending (Do Not Show))MLSListings #ML81010767,NA,"Apr 25, 2010",Pending (Pending Without Release)MLSListings #ML81010767,NA,https://www.redfin.com/CA/San-Jose/2867-S-Bascom-Ave-95124/unit-603/home/1333723,Inside,"Carpet, Laminate","Shower and Tub, Tile","Insurance (Common Area), Pools, Spa, or Tennis",Monthly,Cedar Terrace,"Mar 8, 2010",Listed (Active)MLSListings #ML81010767,230000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,425 Robin Ridge Way,Campbell,CA,95008,1775000,4,3.5,CAMPBELL,2159,1106.0,2017,2,822,262.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/425-Robin-Ridge-Way-95008/home/160939599,MLSListings,ML81942863,N,Y,37.2838734,-121.9421482,"Attached Garage, Electric Car Hookup, Guest/Visitor Parking",2.0,"Breakfast Bar, Dining Area, Eat in Kitchen","Central Forced Air, Multi-Zone","Central Forced Air (Gas), Heating (2+ Zones)","Individual Electric Meters, Individual Gas Meters, Public Utilities",3.0,6,NA,6,2.5,822.0,1775849.0,12812.0,72,Very bikeable,89,Very walkable,51,Good transit,Severe,Minimal,Moderate,Minimal,"Places4 groceries, 30 restaurants, 2 parksTransit26, 27, 37, 56, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81942863,1775000.0,,,,,,,https://www.redfin.com/CA/Campbell/425-Robin-Ridge-Way-95008/home/160939599,"Upper Floor, Washer/Dryer","Carpet, Hardwood, Stone, Tile","Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Stone, Tile","Common Area Electricity, Exterior Painting, Landscaping/Gardening, Maintenance (Common Area), Reserves, Roof",Monthly,Madison Townhomes of Campbell,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2033 Woodglen Dr,San Jose,CA,95130,2098000,4,2.5,SAN JOSE,2256,4295.0,2005,2,930,85.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2033-Woodglen-Dr-95130/home/2122032,MLSListings,ML81943422,N,Y,37.2852165,-121.9847451,Attached Garage,2.0,Dining Area in Family Room,Central Forced Air,Central Forced Air,Public Utilities,2.0,8,6,7,2.5,930.0,2186394.0,14919.0,75,Very bikeable,76,Very walkable,38,Some transit,Moderate,Minimal,Moderate,Minimal,"Places2 groceries, 25 restaurants, 1 parkTransit25, 26, 27, 37, 56, 57, Express 101","Sep 28, 2023",Listed (Active)MLSListings #ML81943422,2098000.0,"May 4, 2016",Pending (Pending (Do Not Show))MLSListings #ML81582241,NA,"Apr 26, 2016",Listed (Active)MLSListings #ML81582241,1399000.0,https://www.redfin.com/CA/San-Jose/2033-Woodglen-Dr-95130/home/2122032,"Tub/Sink, Washer/Dryer","Hardwood, Tile, Vinyl/Linoleum",,"Common Area Electricity, Insurance (Common Area), Maintenance (Common Area)",Monthly,Woodglen Owners Association,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1290 Hoffman Ln,Campbell,CA,95008,1299950,3,1.0,CAMPBELL,1005,9472.0,1959,2,1293,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/1290-Hoffman-Ln-95008/home/1727555,MLSListings,ML81943390,N,Y,37.2680933,-121.9454734,"No Garage, Other",,Dining Area,,Wall Furnace,Public Utilities,1.0,7,7,8,2.5,1293.0,1305577.0,9191.0,86,Very bikeable,56,Somewhat walkable,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 21 restaurants, 3 parksTransit26, 27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Sep 28, 2023",Listed (Active)MLSListings #ML81943390,1299950.0,,,,,,,https://www.redfin.com/CA/Campbell/1290-Hoffman-Ln-95008/home/1727555,"In Utility Room, Inside","Carpet, Other (See Remarks)",,,,,,,,,,,,,,,,,,,,,,,,,
