SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,UTILITIES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,NUM_STORIES,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PARK_DESCRIPTION,DINNING_DESC,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,LAUNDARY_FEATURES,BATH_DESCRIPTION,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,2207 Channing Ct,Concord,CA,94520,718000,3.0,2.0,,1360,9450.0,1954.0,19,528,,Active,,,https://www.redfin.com/CA/Concord/2207-Channing-Ct-94520/home/1343638,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038718,N,Y,37.9939112,-122.037997,1.0,"Hardwood, Tile, Carpet","All Public Utilities, Internet Available",Forced Air,"Ceiling Fan(s), Central Air, Wall/Window Unit(s)",2,3,2,2.5,528.0,728495.0,5077.0,51,Bikeable,56,Somewhat walkable,23,Minimal transit,Moderate,Moderate,Major,Minimal,"Places2 groceries, 19 restaurants, 6 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 27, 28, 310, 311, 314, 315, 320, 611, 612, 615, 91X, 99X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S","Sep 11, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038718",718000.0,"Oct 27, 2009","Pending (Pending - Subject to Lender Approval)bridgeMLS, Bay East AOR, or Contra Costa AOR #40419939",NA,"Jul 31, 2009","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40419939",NA,"Jul 16, 2009","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40419939",230000.0,https://www.redfin.com/CA/Concord/2207-Channing-Ct-94520/home/1343638,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2791 Pacific St,Concord,CA,94518,569000,2.0,1.0,,786,6250.0,1939.0,25,724,,Active,,,https://www.redfin.com/CA/Concord/2791-Pacific-St-94518/home/1316927,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038024,N,Y,37.9740919,-122.026857,1.0,"Hardwood, Tile",,Wall Furnace,Ceiling Fan(s),5,3,2,2.5,724.0,600705.0,4023.0,74,Very bikeable,87,Very walkable,54,Good transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 18 restaurants, 5 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 28, 310, 311, 314, 315, 320, 611, 612, 613, 615, 616, 91X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S","Sep 26, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41038024",569000.0,"Sep 5, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038024",600000.0,,,,,,,https://www.redfin.com/CA/Concord/2791-Pacific-St-94518/home/1316927,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,5345 Paso Del Rio Way,Concord,CA,94521,1139000,4.0,2.5,,2135,6300.0,1985.0,40,533,,Active,,,https://www.redfin.com/CA/Concord/5345-Paso-del-Rio-Way-94521/home/1810295,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41036442,N,Y,37.9401695,-121.963597,2.0,"Hardwood, Tile, Carpet",,Forced Air,"Ceiling Fan(s), Central Air",7,5,7,2.5,533.0,1130550.0,8155.0,3,Somewhat bikeable,23,Car-dependent,24,Minimal transit,Moderate,Major,Moderate,Minimal,"Places5 groceries, 25 restaurants, 2 parksTransit1, 10, 15, 310, 315, 612, 615, 7, 93X","Sep 15, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41036442",1139000.0,"Aug 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41036442",1150000.0,,,,,,,https://www.redfin.com/CA/Concord/5345-Paso-del-Rio-Way-94521/home/1810295,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,5471 Louisiana Dr,Concord,CA,94521,799888,3.0,2.0,C.V. HIGHLANDS,1235,8400.0,1964.0,1,648,,Active,,,https://www.redfin.com/CA/Concord/5471-Louisiana-Dr-94521/home/724184,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040676,N,Y,37.9437625,-121.9634192,2.0,,,Central,Central Air,7,5,7,2.0,648.0,802190.0,5656.0,31,Somewhat bikeable,52,Somewhat walkable,28,Some transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 25 restaurants, 1 parkTransit10, 15, 310, 315, 612, 615, 93X","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040676",799888.0,"Jun 23, 2012","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40578269",NA,"Jun 16, 2012","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40578269",275000.0,,,,https://www.redfin.com/CA/Concord/5471-Louisiana-Dr-94521/home/724184,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1505 Kirker Pass Rd #168,Concord,CA,94521,408888,2.0,1.0,CONCORD,744,,1985.0,1,550,379.0,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Concord/1505-Kirker-Pass-Rd-94521/unit-168/home/12124878,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040670,N,Y,37.9530114,-121.9575258,,"Laminate, Linoleum, Tile, Carpet",,Wall Furnace,Central Air,6,5,7,2.5,550.0,408880.0,3270.0,55,Bikeable,79,Very walkable,29,Some transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 25 restaurants, 2 parksTransit10, 15, 310, 315, 612, 615, 93X","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040670",408888.0,"Nov 8, 2016","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40761112",NA,"Oct 29, 2016","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40761112",249000.0,"Oct 17, 2016","Listed (Price Change)bridgeMLS, Bay East AOR, or Contra Costa AOR #40761112",274000.0,https://www.redfin.com/CA/Concord/1505-Kirker-Pass-Rd-94521/unit-168/home/12124878,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3740 Bamboo Ct,Concord,CA,94519,738000,3.0,2.0,DIABLO CREEK,1482,7000.0,1966.0,1,498,,Active,,,https://www.redfin.com/CA/Concord/3740-Bamboo-Ct-94519/home/1947424,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040630,N,Y,37.9831177,-122.0019202,2.0,"Tile, Carpet",All Public Utilities,Forced Air,"Ceiling Fan(s), Central Air",8,3,5,2.5,498.0,760419.0,5218.0,73,Very bikeable,32,Car-dependent,22,Minimal transit,Major,Minor,Major,Minimal,"Places4 groceries, 22 restaurants, 1 parkTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 27, 28, 310, 311, 314, 315, 320, 611, 612, 613, 615, 616, 91X, 99X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040630",738000.0,"Feb 9, 2006","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40135710",NA,"Jan 16, 2006","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40135710",679900.0,,,,https://www.redfin.com/CA/Concord/3740-Bamboo-Ct-94519/home/1947424,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,4430 Eagle Peak Rd Unit D,Concord,CA,94521,598800,3.0,2.5,TURTLE CREEK,1408,950.0,1975.0,1,425,585.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Concord/4430-Eagle-Peak-Rd-94521/unit-D/home/1439685,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040171,N,Y,37.9571579,-121.9941033,,"Linoleum, Carpet",,Forced Air,Central Air,5,3,5,2.5,425.0,610097.0,4819.0,33,Somewhat bikeable,56,Somewhat walkable,29,Some transit,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 29 restaurants, 3 parksTransit1, 10, 15, 310, 315, 612, 615, 616, 7, 93X","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040171",598800.0,"May 14, 2004","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40013806",NA,"May 10, 2004","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40013806",365000.0,,,,https://www.redfin.com/CA/Concord/4430-Eagle-Peak-Rd-94521/unit-D/home/1439685,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1054 Mohr Ln Unit B,Concord,CA,94518,379900,2.0,1.5,MOHR,877,,1969.0,1,433,500.0,Active,,,https://www.redfin.com/CA/Concord/1054-Mohr-Ln-94518/unit-B/home/801807,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040599,N,Y,37.9462122,-122.0470104,,,,,,2,2,3,,447.0,389983.0,,61,Bikeable,48,Car-dependent,33,Some transit,Moderate,Minimal,Moderate,Minimal,"Places8 groceries, 33 restaurants, 1 parkTransit11, 14, 15, 16, 18, 311, 314, 316, 611, 613, 616, 619, 7, 9","Sep 29, 2023",,NA,,,,,,,,,,https://www.redfin.com/CA/Concord/1054-Mohr-Ln-94518/unit-B/home/801807,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,31 David Cir,Concord,CA,94518,215000,3.0,2.0,Towne and Country Mobile Home Park,840,,1966.0,1,256,,Active,,,https://www.redfin.com/CA/Concord/31-David-Dr-94518/home/187755676,MetroList,223095059,N,Y,37.9611021,-122.0264073,,"Tile, Laminate",,Central,Central,4,2,3,,256.0,214667.0,1520.0,63,Bikeable,24,Car-dependent,30,Some transit,Minimal,Moderate,Moderate,Minimal,"Places8 groceries, 17 restaurants, 9 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 28, 310, 311, 314, 315, 320, 611, 612, 613, 615, 616, 619, 91X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S",,,,,,,,,,,,,https://www.redfin.com/CA/Concord/31-David-Dr-94518/home/187755676,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3336 Woodhaven Ln,Concord,CA,94519,585000,4.0,2.0,HOLBROOK HEIGHTS,1258,5400.0,1953.0,1,465,31.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Concord/3336-Woodhaven-Ln-94519/home/687317,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040560,N,Y,37.9916681,-122.0241718,,"Laminate, Carpet",,Wall Furnace,Wall/Window Unit(s),4,3,2,2.5,465.0,631053.0,4167.0,52,Bikeable,46,Car-dependent,21,Minimal transit,Major,Moderate,Major,Minimal,"Places4 groceries, 17 restaurants, 8 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 27, 28, 310, 311, 314, 315, 320, 611, 612, 613, 615, 616, 91X, 99X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040560",585000.0,,,,,,,,,,https://www.redfin.com/CA/Concord/3336-Woodhaven-Ln-94519/home/687317,,,,,,,,,,,,,,,,,,,,,,,,,,
