SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PARK_DESCRIPTION,DINNING_DESC,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,LAUNDARY_FEATURES,BATH_DESCRIPTION,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,Transit Score,Transit Score_type,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_PRICE
MLS Listing,,Condo/Co-op,6946 Geyserville St,Dublin,CA,94568,945000,2,2.5,WALLISRANCH,1514,,2018.0,1.0,624,387.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Dublin/6946-Geyserville-St-94568/home/144897133,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040537,N,Y,37.7344078,-121.8724996,2.0,"Tile, Vinyl, Carpet",Zoned,Zoned,10,9,8,2.5,624.0,958472.0,7069.0,22,Somewhat bikeable,3,Car-dependent,Minimal,Extreme,Moderate,Minimal,"Places3 groceries, 26 restaurants, 13 parksTransit1, 10R, 150, 2, 3, 30R, 35, 501, 502, 503, 504, 54, 604, 605, 610, Route 6","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040537",945000.0,https://www.redfin.com/CA/Dublin/6946-Geyserville-St-94568/home/144897133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,5972 Lombard St,Dublin,CA,94568,1699888,5,4.0,BOULEVARD,2828,2295.0,2019.0,18.0,601,175.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/5972-Lombard-St-94568/home/161062873,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038851,N,Y,37.7100685,-121.8992835,2.0,"Hardwood, Tile, Carpet",Zoned,Zoned,7,7,8,2.5,601.0,,12194.0,79,Very bikeable,28,Car-dependent,Moderate,Major,Moderate,Minimal,"Places7 groceries, 25 restaurants, 0 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 54, 580X, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Sep 27, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41038851",1699888.0,https://www.redfin.com/CA/Dublin/5972-Lombard-St-94568/home/161062873,"All Public Utilities, Cable Available, Cable Connected, Natural Gas Available, Natural Gas Connected","Sep 12, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038851",1748888.0,"Feb 3, 2020","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40890505",NA,"Dec 10, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40890505",1155880.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,5484 Melissa Ln,Dublin,CA,94568,1300000,4,3.0,BOULEVARD,2745,,2022.0,30.0,474,365.0,Active,,,https://www.redfin.com/CA/Dublin/5484-Melissa-Ln-94568/home/180411750,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037696,N,Y,37.707687,-121.894188,2.0,"Carpet, Wood",Zoned,Zoned,7,7,8,2.5,474.0,,9557.0,92,Biker's paradise,60,Somewhat walkable,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 30 restaurants, 0 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 54, 580X, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Aug 31, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41037696",1300000.0,https://www.redfin.com/CA/Dublin/5484-Melissa-Ln-94568/home/180411750,"All Public Utilities, Cable Connected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,5698 El Dorado Ln,Dublin,CA,94568,1350000,4,3.5,BOULEVARD,2128,,2017.0,31.0,634,380.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/5698-El-Dorado-Ln-94568/home/167331648,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037377,N,Y,37.706638,-121.8988167,2.0,"Hardwood, Tile, Carpet",Zoned,"Ceiling Fan(s), Zoned",7,7,8,2.5,634.0,1344445.0,9925.0,91,Biker's paradise,40,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places6 groceries, 28 restaurants, 0 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 54, 580X, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Aug 30, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41037377",1350000.0,https://www.redfin.com/CA/Dublin/5698-El-Dorado-Ln-94568/home/167331648,"All Public Utilities, Internet Available, Individual Electric Meter, Individual Gas Meter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,8046 Peppertree Rd,Dublin,CA,94568,1400000,4,2.0,WEST SIDE DUBLIN,1936,8396.0,1968.0,1.0,723,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/8046-Peppertree-Rd-94568/home/1163248,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040653,N,Y,37.7140645,-121.9432003,2.0,"Laminate, Linoleum, Carpet",Forced Air,"Ceiling Fan(s), Central Air, Whole House Fan",8,7,8,2.5,723.0,1641122.0,9899.0,60,Bikeable,32,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places1 grocery, 22 restaurants, 6 parksTransit3, 30R, 335, 35, 501, 502, 503, 504, 53, 603, 604, 622, 636, 70X, Blue-N, Blue-S","Sep 29, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41040653",1400000.0,https://www.redfin.com/CA/Dublin/8046-Peppertree-Rd-94568/home/1163248,,"Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040653",14000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,11268 Champagne Ct,Dublin,CA,94568,2098000,4,3.0,BORDEAUX ESTATES,2820,9525.0,1990.0,2.0,744,23.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/11268-Champagne-Ct-94568/home/1659511,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040092,N,Y,37.7113181,-121.9519491,3.0,"Hardwood, Laminate, Tile, Carpet",Zoned,Zoned,8,7,8,2.5,744.0,2097341.0,14857.0,4,Somewhat bikeable,7,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places2 groceries, 19 restaurants, 6 parksTransit3, 30R, 501, 502, 503, 504, 53, 603, 604, 622, 636, 70X, Blue-N, Blue-S","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040092",2098000.0,https://www.redfin.com/CA/Dublin/11268-Champagne-Ct-94568/home/1659511,"All Public Utilities, Natural Gas Connected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,5223 S Esprit Loop,Dublin,CA,94568,1250000,4,3.5,DUBLIN,1848,1848.0,2014.0,2.0,676,189.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/5223-S-Esprit-Loop-94568/home/95474484,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040321,N,Y,37.7046741,-121.8964973,2.0,Engineered Wood,Zoned,Zoned,7,7,8,2.5,676.0,1258540.0,9027.0,84,Very bikeable,55,Somewhat walkable,Minimal,Moderate,Moderate,Minimal,"Places6 groceries, 30 restaurants, 0 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 54, 580X, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040321",1250000.0,https://www.redfin.com/CA/Dublin/5223-S-Esprit-Loop-94568/home/95474484,All Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3923 Meridian St,Dublin,CA,94568,1198000,4,3.5,DUBLIN,1879,,2019.0,2.0,638,245.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/3923-Meridian-St-94568/home/168833541,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039643,N,Y,37.7037586,-121.8637871,2.0,"Laminate, Tile, Carpet","Forced Air, Zoned","Central Air, Zoned",9,9,8,2.5,638.0,1203843.0,8716.0,54,Bikeable,55,Somewhat walkable,Severe,Severe,Moderate,Minimal,"Places7 groceries, 32 restaurants, 6 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039643",1198000.0,https://www.redfin.com/CA/Dublin/3923-Meridian-St-94568/home/168833541,All Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,10773 Ruthven Ln,Dublin,CA,94568,930000,3,2.5,CA HIGHLANDS,1387,,1997.0,2.0,671,350.0,Active,September-30-2023 11:00 AM,September-30-2023 02:00 PM,https://www.redfin.com/CA/Dublin/10773-Ruthven-Ln-94568/home/1985658,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039918,N,Y,37.70116,-121.958841,2.0,"Tile, Vinyl, Carpet",Forced Air,"Ceiling Fan(s), Central Air",8,7,8,2.5,671.0,946820.0,6926.0,13,Somewhat bikeable,6,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places1 grocery, 17 restaurants, 12 parksTransit3, 30R, 501, 502, 503, 504, 53, 602, 603, 604, 622, 636, 70X, Blue-N, Blue-S","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039918",930000.0,https://www.redfin.com/CA/Dublin/10773-Ruthven-Ln-94568/home/1985658,,"Mar 7, 2019","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40855047",NA,"Mar 1, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40855047",725000.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4837 Perugia St,Dublin,CA,94568,898000,2,2.5,DUBLIN RANCH,1493,,2011.0,3.0,601,509.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/4837-Perugia-St-94568/home/40087507,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040366,N,Y,37.7115842,-121.8643167,2.0,"Hardwood, Tile, Carpet","Zoned, Natural Gas",Zoned,9,9,8,2.5,601.0,903868.0,6858.0,53,Bikeable,48,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places6 groceries, 33 restaurants, 9 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040366",898000.0,https://www.redfin.com/CA/Dublin/4837-Perugia-St-94568/home/40087507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,3784 Dunmore Ln,Dublin,CA,94568,898900,2,2.5,DUBLIN,1634,13428.0,2004.0,4.0,550,250.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Dublin/3784-Dunmore-Ln-94568/home/1237010,MLSListings,ML81941651,N,Y,37.7081221,-121.8669205,2.0,,Central Forced Air,Central Forced Air,9,9,8,2.5,550.0,951900.0,6606.0,73,Very bikeable,61,Somewhat walkable,Minimal,Severe,Moderate,Minimal,"Places7 groceries, 34 restaurants, 8 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 26, 2023",Listed (Active)MLSListings #ML81941651,898900.0,https://www.redfin.com/CA/Dublin/3784-Dunmore-Ln-94568/home/1237010,Public Utilities,"May 20, 2021","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40949743",NA,"May 13, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40949743",799000.0,,,,"Attached Garage, Off-Street Parking",Dining Area,3.0,"Common Area Electricity, Exterior Painting, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Roof",Monthly,Common Interest,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3360 Maguire Way #437,Dublin,CA,94568,390457,1,1.0,DUBLIN,840,,2007.0,7.0,465,383.0,Active,,,https://www.redfin.com/CA/Dublin/3360-Maguire-Way-94568/unit-437/home/12118031,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040072,N,Y,37.7060709,-121.8622068,1.0,"Concrete, Tile, Carpet",Forced Air,Central Air,9,9,8,1.75,465.0,396428.0,3144.0,60,Bikeable,57,Somewhat walkable,Minimal,Severe,Moderate,Minimal,"Places6 groceries, 36 restaurants, 7 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 23, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040072",390457.0,https://www.redfin.com/CA/Dublin/3360-Maguire-Way-94568/unit-437/home/12118031,,"Jul 16, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",NA,"Jan 3, 2014","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",245000.0,"Dec 11, 2013","Price Changed (Price Change)bridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",245000.0,,,,,,,"Dec 11, 2013","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",455000.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,5501 Demarcus Blvd #677,Dublin,CA,94568,679000,1,1.0,DUBLIN,950,,2007.0,9.0,715,394.0,Active,,,https://www.redfin.com/CA/Dublin/5501-De-Marcus-Blvd-94568/unit-677/home/12119341,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039782,N,Y,37.705241,-121.8987885,2.0,"Hardwood, Tile, Carpet",Forced Air,"Ceiling Fan(s), Central Air",7,7,8,2.5,715.0,699954.0,5195.0,90,Biker's paradise,49,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places7 groceries, 27 restaurants, 0 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 54, 580X, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Oct 1, 2023","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41039782",NA,https://www.redfin.com/CA/Dublin/5501-De-Marcus-Blvd-94568/unit-677/home/12119341,,"Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039782",679000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
