SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,LAUNDARY_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,FEES_INCLUDE,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,FLOORING_FEATURES,HOA_FEE_FREQ,NUM_STORIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,BATH_DESCRIPTION,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE
MLS Listing,,Condo/Co-op,503 Starfish Ln,Foster City,CA,94404,1298000,1,1.5,FOSTER CITY,1436,,2023.0,1.0,904,487.0,Active,September-30-2023 11:00 AM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/503-Starfish-Ln-94404/home/181181903,MLSListings,ML81943629,N,Y,37.5638296,-122.2689954,Attached Garage,2.0,Dining Area,Washer/Dryer,"Central Forced Air, Multi-Zone",Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters, Public Utilities","Common Area Electricity, Common Area Gas, Exterior Painting, Insurance (Common Area), Insurance (Hazard), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves, Roof",Waverly Cove/Laguna Vista Association,8,8,7,2.5,904.0,1297575.0,9665.0,56,Bikeable,77,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 19 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943629,1298000.0,https://www.redfin.com/CA/Foster-City/503-Starfish-Ln-94404/home/181181903,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,706 Starfish Ln,Foster City,CA,94404,1948000,4,3.5,FOSTER CITY,2194,2194.0,2023.0,1.0,888,487.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/706-Starfish-Ln-94404/home/184620062,MLSListings,ML81943587,N,Y,37.5638296,-122.2689954,Attached Garage,2.0,Other (See Remarks),,"Central Forced Air, Multi-Zone",Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters, Public Utilities, Other (See Remarks)","Common Area Electricity, Common Area Gas, Exterior Painting, Insurance, Maintenance (Common Area), Maintenance (Exterior), Reserves, Roof, Other (See Remarks)",Waverly Laguna Vista Association,8,8,7,2.5,888.0,1951512.0,14261.0,56,Bikeable,77,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 19 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943587,1948000.0,https://www.redfin.com/CA/Foster-City/706-Starfish-Ln-94404/home/184620062,Hardwood,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1025 Shell #5,Foster City,CA,94404,838000,2,2.0,FOSTER CITY,1015,1015.0,1972.0,1.0,826,636.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1025-Shell-Blvd-94404/unit-5/home/2025460,MLSListings,ML81943574,N,Y,37.5505815,-122.2629517,"Assigned Spaces, Carport, Parking Area",,Dining Area,In Utility Room,,Baseboard,Individual Electric Meters,"Garbage, Sewer, Water",San Harbour HOA,9,8,7,2.5,826.0,836028.0,6561.0,63,Bikeable,55,Somewhat walkable,NA,NA,NA,NA,"Places5 groceries, 14 restaurants, 16 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943574,838000.0,https://www.redfin.com/CA/Foster-City/1025-Shell-Blvd-94404/unit-5/home/2025460,Laminate,,1.0,"Dec 15, 2016",Pending (Pending (Do Not Show))MLSListings #ML81631223,NA,"Nov 23, 2016",ContingentMLSListings #ML81631223,NA,"Nov 8, 2016",Listed (Active)MLSListings #ML81631223,669888.0,,,,,,,
MLS Listing,,Townhouse,1054 Helm Ln,Foster City,CA,94404,1498000,3,1.5,FOSTER CITY,1530,,1989.0,1.0,979,570.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1054-Helm-Ln-94404/home/1073515,MLSListings,ML81943531,N,Y,37.5469574,-122.2546175,Attached Garage,2.0,Dining Area,"Inside, Washer/Dryer",,"Central Forced Air, Gas","Individual Electric Meters, Individual Gas Meters","Common Area Electricity, Common Area Gas, Exterior Painting, Insurance (Liability), Maintenance (Common Area), Maintenance (Road), Management Fee, Pools, Spa, or Tennis, Reserves, Roof",The Manor Association,8,8,7,2.5,979.0,1501841.0,11162.0,74,Very bikeable,34,Car-dependent,Severe,Minimal,Minor,Minimal,"Places4 groceries, 17 restaurants, 19 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, RLC Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943531,1498000.0,https://www.redfin.com/CA/Foster-City/1054-Helm-Ln-94404/home/1073515,"Carpet, Tile, Vinyl/Linoleum",Monthly,2.0,,,,,,,,,,"Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub",,,,,,
MLS Listing,,Single Family Residential,181 Flying Mist Isle,Foster City,CA,94404,2550000,3,2.5,FOSTER CITY,2260,6786.0,1968.0,1.0,1128,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/181-Flying-Mist-Isle-94404/home/928505,MLSListings,ML81943530,N,Y,37.561411,-122.2571026,Attached Garage,2.0,Dining Area in Living Room,,,Central Forced Air,"Public Utilities, Solar Panels - Owned",,,9,8,7,2.5,1128.0,2541806.0,18030.0,54,Bikeable,42,Car-dependent,Severe,Minimal,Minor,Minimal,"Places3 groceries, 18 restaurants, 18 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943530,2550000.0,https://www.redfin.com/CA/Foster-City/181-Flying-Mist-Isle-94404/home/928505,"Carpet, Tile, Wood",,1.0,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,860 Meridian Bay Ln #334,Foster City,CA,94404,950000,2,2.0,FOSTER CITY,1350,,1999.0,4.0,704,818.0,Active,September-30-2023 12:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Foster-City/860-Meridian-Bay-Ln-94404/unit-334/home/1491706,MLSListings,ML81943151,N,Y,37.5535543,-122.2793009,"Assigned Spaces, Guest/Visitor Parking",2.0,Dining Area,"Electricity Hookup (220V), Inside, Washer/Dryer",Central Forced Air,Central Forced Air,Public Utilities,"Exterior Painting, Garbage, Insurance (Common Area), Insurance (Earthquake), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Recreation Facility, Roof, Water/Sewer",Meridian Bay HOA,8,NA,7,2.5,704.0,952379.0,7535.0,75,Very bikeable,65,Somewhat walkable,Severe,NA,Minor,Minimal,"Places2 groceries, 23 restaurants, 4 parksTransit250, 251, 256, 292, 54, 57, 59, FCC Shuttle, FCX, HCC Shuttle, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 26, 2023",Listed (Active)MLSListings #ML81943151,950000.0,https://www.redfin.com/CA/Foster-City/860-Meridian-Bay-Ln-94404/unit-334/home/1491706,"Carpet, Stone, Tile, Travertine, Vinyl/Linoleum",Monthly,1.0,,,,,,,,,,"Double Sinks, Shower and Tub, Stall Shower",,,,,,
MLS Listing,,Condo/Co-op,1051 Beach Park Blvd #213,Foster City,CA,94404,899000,3,2.0,BEACH PARK,1593,1447.0,1976.0,5.0,564,675.0,Active,,,https://www.redfin.com/CA/Foster-City/1051-Beach-Park-Blvd-94404/unit-213/home/971867,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040140,N,Y,37.5495412,-122.2532473,,2.0,,,,Wall Furnace,All Public Utilities,,,8,8,7,2.5,564.0,925330.0,7031.0,75,Very bikeable,42,Car-dependent,Severe,NA,Minor,Minimal,"Places5 groceries, 17 restaurants, 19 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, RLC Shuttle","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040140",899000.0,https://www.redfin.com/CA/Foster-City/1051-Beach-Park-Blvd-94404/unit-213/home/971867,Laminate,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,817 Juno Ln,Foster City,CA,94404,1275000,3,2.5,FOSTER CITY,1330,,1973.0,5.0,959,548.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/817-Juno-Ln-94404/home/965311,MLSListings,ML81943039,N,Y,37.5501373,-122.2732773,Detached,2.0,"Breakfast Bar, Dining Area",Washer/Dryer,,Central Forced Air (Gas),Public Utilities,"Common Area Electricity, Insurance, Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis, Reserves, Roof",Isle Cove Homeowners Association,9,8,7,2.5,959.0,1368808.0,9563.0,67,Bikeable,66,Somewhat walkable,NA,NA,NA,NA,"Places6 groceries, 14 restaurants, 9 parksTransit250, 251, 256, 54, 57, 59, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 25, 2023",Listed (Active)MLSListings #ML81943039,1275000.0,https://www.redfin.com/CA/Foster-City/817-Juno-Ln-94404/home/965311,"Tile, Wood",Monthly,2.0,"Aug 16, 2004",Listing RemovedMLSListings #ML80407828,NA,"Jun 29, 2004",ListedMLSListings #ML80407828,599950.0,,,,"Half on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub",,,,,,
MLS Listing,,Single Family Residential,502 Oyster Ct,Foster City,CA,94404,2528000,4,2.5,FOSTER CITY,2400,5000.0,1978.0,8.0,1053,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/502-Oyster-Ct-94404/home/938833,MLSListings,ML81942947,N,Y,37.5390402,-122.2693482,Attached Garage,2.0,Formal Dining Room,,,Central Forced Air (Gas),Public Utilities,,,9,8,7,2.5,1053.0,2609760.0,17875.0,70,Very bikeable,58,Somewhat walkable,Major,Minimal,Moderate,Minimal,"Places2 groceries, 15 restaurants, 16 parksTransit250, 251, 256, 260, 397, 398, 54, 57, 59, 60, 62, 67, 68, Bus Bridge, ECR, FCX, L1, L2, L3, L6, M, RLC Shuttle","Sep 22, 2023",Listed (Active)MLSListings #ML81942947,2528000.0,https://www.redfin.com/CA/Foster-City/502-Oyster-Ct-94404/home/938833,,,2.0,"Jun 27, 1998",Listing RemovedMLSListings #ML89812541,NA,"Apr 5, 1998",ListedMLSListings #ML89812541,618888.0,,,,,,,,,,
MLS Listing,,Condo/Co-op,1081 Beach Park Blvd #308,Foster City,CA,94404,928000,2,2.0,FOSTER CITY,1286,,1973.0,9.0,722,674.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1081-Beach-Park-Blvd-94404/unit-308/home/1216505,MLSListings,ML81942770,N,Y,37.5508342,-122.2523167,"Assigned Spaces, Covered Parking, Gate/Door Opener",1.0,Dining Area in Living Room,"Inside, Washer/Dryer",,"Electric, Individual Room Controls",Public Utilities,"Exterior Painting, Garbage, Insurance (Structure), Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis, Roof, Water/Sewer",Marina Point Homeowners Association,8,8,7,2.5,722.0,952775.0,7236.0,74,Very bikeable,41,Car-dependent,Severe,NA,Minor,Minimal,"Places4 groceries, 15 restaurants, 21 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, RLC Shuttle","Sep 21, 2023",Listed (Active)MLSListings #ML81942770,928000.0,https://www.redfin.com/CA/Foster-City/1081-Beach-Park-Blvd-94404/unit-308/home/1216505,"Laminate, Tile",Monthly,1.0,"Apr 18, 2016",Pending (Pending (Do Not Show))MLSListings #ML81578702,NA,"Apr 5, 2016",Listed (Active)MLSListings #ML81578702,699000.0,,,,"Primary (Stall Shower(s)), Shower Over Tub",,,,,,
MLS Listing,,Condo/Co-op,1075 Shell Blvd #3,Foster City,CA,94404,839000,2,2.0,FOSTER CITY,994,,1972.0,10.0,844,636.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1075-Shell-Blvd-94404/unit-3/home/1745008,MLSListings,ML81942541,N,Y,37.5492835,-122.2630403,Guest/Visitor Parking,,Dining Area,"Inside, Washer/Dryer",,Electric,Public Utilities,"Common Area Electricity, Common Area Gas, Garbage, Insurance (Common Area), Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Reserves, Water",San Harbour,9,8,7,2.5,844.0,,6568.0,63,Bikeable,53,Somewhat walkable,NA,NA,NA,NA,"Places5 groceries, 14 restaurants, 15 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 20, 2023",Listed (Active)MLSListings #ML81942541,839000.0,https://www.redfin.com/CA/Foster-City/1075-Shell-Blvd-94404/unit-3/home/1745008,"Carpet, Tile, Vinyl/Linoleum",Monthly,1.0,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,101 Starfish Ln,Foster City,CA,94404,2188000,4,3.5,FOSTER CITY,2194,,2023.0,13.0,997,487.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/101-Starfish-Ln-94404/home/187529786,MLSListings,ML81942235,N,Y,37.5638255,-122.2691289,Attached Garage,2.0,Dining Area,,Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior), Reserves",Helsing Group,NA,NA,NA,2.5,997.0,,15958.0,56,Bikeable,77,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 19 restaurants, 9 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 17, 2023",Listed (Active)MLSListings #ML81942235,2188000.0,https://www.redfin.com/CA/Foster-City/101-Starfish-Ln-94404/home/187529786,,Monthly,,,,,,,,,,,,,,,,,
