SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,UTILITIES,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE
MLS Listing,,Condo/Co-op,39199 Walnut Ter #26,Fremont,CA,94536,799950,2.0,2.0,Guardino,1270.0,1270.0,1984.0,1.0,630.0,523.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/39199-Walnut-Ter-94536/unit-26/home/1487148,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040012,N,Y,37.5595493,-121.9693503,3.0,"Hardwood Flrs Throughout, Tile, Carpet",Central,7,6,7,2.5,630.0,802342.0,6263.0,65,Bikeable,36,Car-dependent,57,Good transit,Major,Major,Moderate,Minimal,"Places1 grocery, 25 restaurants, 7 parksTransit200, 210, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040012",799950.0,"Oct 19, 2017","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40798280",NA,"Oct 4, 2017","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40798280",NA,"Sep 25, 2017","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40798280",619000.0,https://www.redfin.com/CA/Fremont/39199-Walnut-Ter-94536/unit-26/home/1487148,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,37903 Vallejo St,Fremont,CA,94536,1150000,2.0,1.5,FREMONT,891.0,9503.0,1981.0,17.0,1291.0,,Active,,,https://www.redfin.com/CA/Fremont/37903-Vallejo-St-94536/home/1864549,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038803,N,Y,37.5766588,-121.9729761,1.0,"Hardwood, Laminate, Tile",Natural Gas,7,6,7,2.5,1291.0,1177843.0,8252.0,72,Very bikeable,66,Somewhat walkable,27,Some transit,Major,Severe,Moderate,Minimal,"Places3 groceries, 16 restaurants, 10 parksTransit200, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 12, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038803",1150000.0,"Aug 13, 2001","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #11103699",NA,"Jul 14, 2001","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #11103699",299888.0,,,,https://www.redfin.com/CA/Fremont/37903-Vallejo-St-94536/home/1864549,All Public Utilities,,,,,,,,,,,,,,
Redfin Data,,Single Family Residential,4050 Margery Dr,Fremont,CA,94538,1698888,3.0,2.0,Fremont,1600.0,6000.0,1958.0,1.0,1062.0,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/4050-Margery-Dr-94538/home/1108404,Coming Soon,95151,N,Y,37.5375511,-121.9705505,,,,5,7,7,,1062.0,,12191.0,57,Bikeable,69,Somewhat walkable,41,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 22 restaurants, 4 parksTransit200, 210, 212, 215, 216, 232, 239, 251, 623, 625, 710, 801, 99, U","Sep 29, 2023","Coming SoonOn market October 20, 2023",1698888.0,"Mar 27, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40814348",NA,"Mar 19, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40814348",989000.0,,,,https://www.redfin.com/CA/Fremont/4050-Margery-Dr-94538/home/1108404,,,,,,,,,,,,,,,
Redfin Data,,Single Family Residential,41247 Apricot Ln,Fremont,CA,94539,2200000,4.0,2.0,Fremont,1698.0,6720.0,1960.0,5.0,1296.0,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/41247-Apricot-Ln-94539/home/1637276,Coming Soon,95061,N,Y,37.5395414,-121.948489,,,,9,10,10,,1296.0,,15555.0,49,Somewhat bikeable,44,Car-dependent,35,Some transit,Minimal,Severe,Moderate,Minimal,"Places4 groceries, 18 restaurants, 2 parksTransit210, 212, 215, 216, 217, 239, 623, 624, Route 6","Sep 24, 2023","Coming SoonOn market September 28, 2023",2200000.0,"Jan 9, 2010","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40431713",NA,"Sep 30, 2009","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40431713",994500.0,,,,https://www.redfin.com/CA/Fremont/41247-Apricot-Ln-94539/home/1637276,,,,,,,,,,,,,,,
Redfin Data,,Condo/Co-op,420 Sequim Cmn,Fremont,CA,94539,700000,2.0,2.0,Fremont,897.0,,1985.0,17.0,780.0,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/420-Sequim-Cmn-94539/home/1260786,Coming Soon,94889,N,Y,37.4911477,-121.9252479,,,,NA,7,9,,780.0,,5023.0,65,Bikeable,79,Very walkable,32,Some transit,Minimal,Severe,Moderate,Minimal,"Places5 groceries, 38 restaurants, 3 parksTransit212, 215, 217, 239, 623, 624, Green-N, Green-S, Orange-N, Orange-S","Sep 12, 2023","Coming SoonOn market October 03, 2023",700000.0,"May 17, 2016","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40737597",NA,"Apr 23, 2016","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40737597",529999.0,,,,https://www.redfin.com/CA/Fremont/420-Sequim-Cmn-94539/home/1260786,,,,,,,,,,,,,,,
Redfin Data,,Condo/Co-op,38627 Cherry Ln #73,Fremont,CA,94536,420000,1.0,1.0,Fremont,623.0,649200.0,1974.0,18.0,674.0,,Pre On-Market,,,https://www.redfin.com/CA/Fremont/38627-Cherry-Ln-94536/unit-73/home/1829222,Coming Soon,94870,N,Y,37.565509,-121.972379,,,,7,6,7,,674.0,,3014.0,65,Bikeable,37,Car-dependent,51,Good transit,Minimal,Major,Moderate,Minimal,"Places3 groceries, 24 restaurants, 4 parksTransit200, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 11, 2023","Coming SoonOn market October 02, 2023",420000.0,"Apr 19, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40817320",NA,"Apr 12, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40817320",388000.0,,,,https://www.redfin.com/CA/Fremont/38627-Cherry-Ln-94536/unit-73/home/1829222,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,43177 Continental Dr,Fremont,CA,94538,1275000,3.0,2.0,IRVINGTON AREA,1126.0,5000.0,1955.0,1.0,1132.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/43177-Continental-Dr-94538/home/1933365,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040616,N,Y,37.5185454,-121.9507572,2.0,"Hardwood, Tile",Forced Air,8,7,9,2.5,1132.0,,9149.0,56,Bikeable,53,Somewhat walkable,32,Some transit,Minimal,Minor,Major,Minimal,"Places3 groceries, 16 restaurants, 1 parkTransit210, 212, 215, 217, 239, 623, 624, Green-N, Green-S, Orange-N, Orange-S","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040616",1275000.0,"Apr 17, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40652508",NA,"Apr 8, 2014","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40652508",549000.0,,,,https://www.redfin.com/CA/Fremont/43177-Continental-Dr-94538/home/1933365,All Public Utilities,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2032 Country Dr,Fremont,CA,94536,1695000,4.0,2.0,PARKMONT,2147.0,6500.0,1962.0,1.0,789.0,61.0,Active,,,https://www.redfin.com/CA/Fremont/2032-Country-Dr-94536/home/1063751,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038709,N,Y,37.5593289,-121.9825326,2.0,"Tile, Carpet",Forced Air,8,6,7,2.5,789.0,,12224.0,71,Very bikeable,70,Very walkable,58,Good transit,Minimal,Moderate,Major,Minimal,"Places5 groceries, 34 restaurants, 4 parksTransit200, 210, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038709",1695000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/2032-Country-Dr-94536/home/1063751,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,36731 Cabrillo Dr,Fremont,CA,94536,980000,3.0,1.0,FREMONT,1074.0,5225.0,1953.0,1.0,912.0,,Active,September-29-2023 04:30 PM,September-29-2023 07:00 PM,https://www.redfin.com/CA/Fremont/36731-Cabrillo-Dr-94536/home/1437761,MLSListings,ML81943581,N,Y,37.5534341,-122.0213447,2.0,Other (See Remarks),Fireplace,5,6,7,2.5,912.0,974987.0,6929.0,55,Bikeable,65,Somewhat walkable,34,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 26 restaurants, 3 parksTransit200, 210, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, ACE, ACETrain, CC, SB, U","Sep 29, 2023",Listed (Active)MLSListings #ML81943581,980000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/36731-Cabrillo-Dr-94536/home/1437761,Public Utilities,Attached Garage,Stall Shower,Eat in Kitchen,"In Garage, Washer/Dryer",1.0,,,,,,,,,
MLS Listing,,Single Family Residential,575 Ginkgo Ter,Fremont,CA,94539,1599999,4.0,3.5,WARM SPRINGS,1911.0,6647.0,2009.0,1.0,837.0,115.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/575-Ginkgo-Ter-94539/home/22962620,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039235,N,Y,37.4611762,-121.9178641,2.0,,Forced Air,NA,7,9,2.5,837.0,1627095.0,11428.0,59,Bikeable,40,Car-dependent,37,Some transit,Moderate,Moderate,Moderate,Minimal,"Places2 groceries, 31 restaurants, 5 parksTransit215, 217, 239, 44, 47, 623, 66, ACE Purple, Express 104, School 246, School 247","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039235",1599999.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/575-Ginkgo-Ter-94539/home/22962620,,,,,,,,,,,,,,,
