SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,HAS_GARAGE,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY13_PRICE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE,PRICE_HISTORY15_EVENT_DATE,PRICE_HISTORY15_PRICE,PRICE_HISTORY16_EVENT_DATE,PRICE_HISTORY16_PRICE
MLS Listing,,Mobile/Manufactured Home,1370 Buckingham Way,Hayward,CA,94544,362000,3.0,2.0,GEORGIAN  MANOR,1529.0,,,9.0,237.0,,Active,,,https://www.redfin.com/CA/Hayward/1370-Buckingham-Way-94544/home/1312488,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039652,N,Y,37.621398,-122.0663223,"Laminate, Carpet",Natural Gas,Ceiling Fan(s),4,4,5,2.5,237.0,362974.0,2560.0,61,Bikeable,58,Somewhat walkable,33,Some transit,Minimal,Minimal,Moderate,Minimal,"Places14 groceries, 29 restaurants, 3 parksTransit41, 56, 801, 83, 86, 99, Green-N, Green-S, Orange-N, Orange-S, SB","Sep 20, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039652",362000.0,"May 29, 2014","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40656340",NA,"May 11, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40656340",NA,"May 6, 2014","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40656340",189950.0,https://www.redfin.com/CA/Hayward/1370-Buckingham-Way-94544/home/1312488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2037 Continental Ave,Hayward,CA,94545,979888,4.0,2.5,CENTRAL HAYWARD,1723.0,3500.0,1991.0,10.0,569.0,,Active,,,https://www.redfin.com/CA/Hayward/2037-Continental-Ave-94545/home/1947781,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41037378,N,Y,37.6432569,-122.1161605,Laminate,Forced Air,Central Air,4,4,5,2.5,569.0,1012965.0,6928.0,40,Somewhat bikeable,54,Somewhat walkable,40,Some transit,Minimal,Minimal,Moderate,Minimal,"Places7 groceries, 35 restaurants, 4 parksTransit60, 83, 86, 97, M, S","Sep 19, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41037378",979888.0,"Aug 16, 2017","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40791413",NA,"Jul 29, 2017","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40791413",699888.0,,,,https://www.redfin.com/CA/Hayward/2037-Continental-Ave-94545/home/1947781,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,25705 Westview Way,Hayward,CA,94542,1299000,4.0,2.0,HAYWARD HILLS,2465.0,4497.0,1940.0,28.0,527.0,,Active,September-30-2023 12:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Hayward/25705-Westview-Way-94542/home/1985820,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41036075,N,Y,37.6550672,-122.0654805,"Laminate, Tile, Carpet",Radiant,Ceiling Fan(s),6,2,NA,2.5,527.0,1284270.0,9185.0,32,Somewhat bikeable,37,Car-dependent,40,Some transit,Minimal,Moderate,Moderate,Minimal,"Places7 groceries, 24 restaurants, 3 parksTransit41, 60, 801, 83, 86, 94, 95, 99","Sep 19, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41036075",1299000.0,"Sep 1, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41036075",1399000.0,"Jul 19, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40830140",NA,"Jul 13, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40830140",799950.0,https://www.redfin.com/CA/Hayward/25705-Westview-Way-94542/home/1985820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redfin Data,,Single Family Residential,3431 Thompson Pl,Hayward,CA,94541,1500000,4.0,2.5,Hayward,2587.0,10836.0,1989.0,23.0,580.0,,Pre On-Market,,,https://www.redfin.com/CA/Hayward/3431-Thompson-Pl-94541/home/1425199,Coming Soon,94789,N,Y,37.6678027,-122.0417268,,,,5,2,NA,,580.0,,10606.0,14,Somewhat bikeable,10,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places9 groceries, 19 restaurants, 10 parksTransit28, 60, 801, 94, 95, 99","Sep 6, 2023","Coming SoonOn market September 26, 2023",1500000.0,"Apr 27, 1998","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #10254957",419000.0,,,,,,,https://www.redfin.com/CA/Hayward/3431-Thompson-Pl-94541/home/1425199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,518 Simon St,Hayward,CA,94541,699999,2.0,1.5,HAYWARD,1013.0,6277.0,1940.0,1.0,691.0,,Active,October-1-2023 12:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Hayward/518-Simon-St-94541/home/1615204,MLSListings,ML81943655,N,Y,37.6748237,-122.0937155,,Other (See Remarks),Other (See Remarks),3,2,NA,2.5,691.0,702884.0,4949.0,59,Bikeable,70,Very walkable,,,Moderate,Minimal,Moderate,Minimal,"Places5 groceries, 26 restaurants, 2 parksTransit10, 28, 34, 41, 56, 60, 801, 83, 86, 93, 94, 95, 99, CC, Green-N, Green-S, M, Orange-N, Orange-S","Sep 29, 2023",Listed (Active)MLSListings #ML81943655,699999.0,,,,,,,,,,https://www.redfin.com/CA/Hayward/518-Simon-St-94541/home/1615204,1.0,"Attached Garage, Off-Street Parking",Shower Over Tub,Dining Area,Other (See Remarks),Public Utilities,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3160 D St,Hayward,CA,94541,1100000,2.0,2.0,FAIRVIEW,1364.0,6100.0,1951.0,1.0,806.0,,Active,,,https://www.redfin.com/CA/Hayward/3160-D-St-94541/home/1179635,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039264,N,Y,37.6791546,-122.0499915,"Laminate, Carpet",Wall Furnace,Ceiling Fan(s),4,2,NA,2.5,806.0,1102078.0,7778.0,17,Somewhat bikeable,19,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places8 groceries, 13 restaurants, 8 parksTransit28, 60, 93, 94, 95, NX4, NXC","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039264",1100000.0,,,,,,,,,,https://www.redfin.com/CA/Hayward/3160-D-St-94541/home/1179635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),341 Medford Ave,Hayward,CA,94541,2700000,6.0,6.0,Hayward,4080.0,19133.0,1989.0,1.0,662.0,,Active,,,https://www.redfin.com/CA/Hayward/341-Medford-Ave-94541/home/1338095,TheMLS,23-282933,N,Y,37.6807081,-122.1068134,,,,2,4,3,2.5,662.0,,19091.0,55,Bikeable,53,Somewhat walkable,,,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 17 restaurants, 6 parksTransit10, 28, 34, 56, 801, 83, 93, 97, CC, NX4, NXC, S","Sep 28, 2023",Listed (Active)TheMLS #23-282933,2700000.0,,,,,,,,,,https://www.redfin.com/CA/Hayward/341-Medford-Ave-94541/home/1338095,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3146 Madsen St,Hayward,CA,94541,1190000,3.0,3.0,CENTRAL HAYWARD,2204.0,3814.0,2009.0,1.0,540.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Hayward/3146-Madsen-St-94541/home/22682891,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040429,N,Y,37.6628847,-122.0906443,"Tile, Engineered Wood",Zoned,Zoned,5,3,NA,2.5,540.0,1186889.0,8414.0,66,Bikeable,74,Very walkable,61,Good transit,Minimal,Minimal,Moderate,Minimal,"Places7 groceries, 26 restaurants, 3 parksTransit10, 28, 34, 41, 56, 60, 801, 83, 86, 93, 94, 95, 99, CC, Green-N, Green-S, M, Orange-N, Orange-S","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040429",1190000.0,,,,,,,,,,https://www.redfin.com/CA/Hayward/3146-Madsen-St-94541/home/22682891,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,24355 Israel Ct,Hayward,CA,94541,499000,,,Hayward,,9047.0,,1.0,,,Active,,,https://www.redfin.com/CA/Hayward/24355-Israel-Ct-94541/home/21673050,MetroList,223091197,N,Y,37.671594,-122.064773,,,,5,2,NA,,,493001.0,3528.0,12,Somewhat bikeable,23,Car-dependent,39,Some transit,Minimal,Minor,Moderate,Minimal,"Places7 groceries, 19 restaurants, 5 parksTransit28, 60, 801, 93, 94, 95, 99","May 14, 2010","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40462967",NA,"Apr 23, 2010","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40462967",63900.0,,,,,,,https://www.redfin.com/CA/Hayward/24355-Israel-Ct-94541/home/21673050,,,,,,"None, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,26593 Mission Blvd,Hayward,CA,94544,838888,3.0,2.5,HAYWARD,1735.0,,2020.0,1.0,484.0,390.0,Active,,,https://www.redfin.com/CA/Hayward/26593-Mission-Blvd-94544/home/172853127,MLSListings,ML81943507,N,Y,37.6476094,-122.0644656,,Central Forced Air,Central Forced Air,3,2,2,2.75,484.0,843217.0,6321.0,63,Bikeable,66,Somewhat walkable,38,Some transit,Minimal,Moderate,Moderate,Minimal,"Places9 groceries, 28 restaurants, 3 parksTransit41, 56, 60, 801, 83, 86, 94, 99, Green-N, Green-S, Orange-N, Orange-S","Sep 28, 2023",Listed (Active)MLSListings #ML81943507,838888.0,"Feb 7, 2020","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40893966",NA,"Jan 31, 2020","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40893966",712500.0,,,,https://www.redfin.com/CA/Hayward/26593-Mission-Blvd-94544/home/172853127,2.0,Attached Garage,"Double Sinks, Primary (Stall Shower(s)), Shower and Tub",No Formal Dining Room,Washer/Dryer,"Public Utilities, Solar Panels - Owned",3.0,"Common Area Electricity, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Other (See Remarks)",Monthly,Motion at Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
