SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,DINNING_DESC,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,HAS_GARAGE,BATH_DESCRIPTION,LAUNDARY_FEATURES,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE
MLS Listing,,Condo/Co-op,2211 Latham St #322,Mountain View,CA,94040,798000,2,2.0,MOUNTAIN VIEW,1206,,1978,2,662,657.0,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-322/home/2121193,MLSListings,ML81942343,N,Y,37.3972947,-122.1030499,"Assigned Spaces, Parking Area",Dining Area,"Carpet, Laminate",Central Forced Air,Central Forced Air (Gas),Public Utilities,1.0,"Garbage, Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Water/Sewer",Monthly,Woodview HomeOwners Association,3,7,9,2.5,662.0,797201.0,6299.0,88,Very bikeable,80,Very walkable,48,Some transit,NA,NA,NA,NA,"Places7 groceries, 27 restaurants, 3 parksTransit21, 22, 40, 51, 51H, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81942343,798000.0,"Sep 30, 2016",Pending (Pending (Do Not Show))MLSListings #ML81614766,NA,"Sep 16, 2016",Listed (Active)MLSListings #ML81614766,765000.0,https://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-322/home/2121193,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1090 Saint Joseph Ave,Los Altos,CA,94024,3298000,3,2.0,LOS ALTOS,1681,10010.0,1957,2,1962,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/1090-Saint-Joseph-Ave-94024/home/1622509,MLSListings,ML81943420,N,Y,37.3441082,-122.0844768,"Attached Garage, Off-Street Parking",Eat in Kitchen,"Hardwood, Tile",Ceiling Fan,Central Forced Air (Gas),Public Utilities,1.0,,,,9,8,8,2.5,1962.0,3326754.0,23319.0,39,Somewhat bikeable,16,Car-dependent,22,Minimal transit,Minimal,Major,Moderate,Minimal,"Places7 groceries, 9 restaurants, 11 parksTransit22, 40, 51, 51H, 52, 53","Sep 28, 2023",Listed (Active)MLSListings #ML81943420,3298000.0,"Jul 27, 1998",Listing RemovedMLSListings #ML89824317,NA,"Jun 10, 1998",ListedMLSListings #ML89824317,735000.0,https://www.redfin.com/CA/Los-Altos/1090-Saint-Joseph-Ave-94024/home/1622509,2.0,"Shower and Tub, Stall Shower","In Garage, Tub/Sink, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,435 Cecelia Way,Los Altos,CA,94022,3998000,5,3.0,LOS ALTOS,2374,13500.0,1952,2,1684,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/435-Cecelia-Way-94022/home/1867792,MLSListings,ML81943421,N,Y,37.3918311,-122.1036933,"Detached, Off-Street Parking","Dining Area in Living Room, Eat in Kitchen","Carpet, Hardwood, Tile",,Central Forced Air (Gas),Public Utilities,2.0,,,,8,8,9,2.5,1684.0,4011512.0,28268.0,74,Very bikeable,64,Somewhat walkable,43,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 4 parksTransit21, 22, 40, 51, 51H, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81943421,3998000.0,,,,,,,https://www.redfin.com/CA/Los-Altos/435-Cecelia-Way-94022/home/1867792,2.0,"Double Sinks, 2+ Showers Over Tubs",,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,900 Loyola Dr,Los Altos,CA,94024,2998000,2,3.0,LOS ALTOS,2297,9800.0,1950,2,1305,,Active,,,https://www.redfin.com/CA/Los-Altos/900-Loyola-Dr-94024/home/1578914,MLSListings,ML81943121,N,Y,37.3507218,-122.0896483,"Detached, Off-Site Parking",Dining Area in Living Room,,,Gas,Public Utilities,2.0,,,,9,10,8,2.5,1305.0,3022155.0,21198.0,56,Bikeable,50,Somewhat walkable,,,Minimal,Major,Moderate,Minimal,"Places6 groceries, 10 restaurants, 7 parksTransit22, 40, 51, 51H, 52, 53, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81943121,2998000.0,"Feb 20, 2001",Listing RemovedMLSListings #ML80103152,NA,"Jan 22, 2001",ListedMLSListings #ML80103152,985000.0,https://www.redfin.com/CA/Los-Altos/900-Loyola-Dr-94024/home/1578914,2.0,"Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tub",In Utility Room,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1028 Tulane Dr,Mountain View,CA,94040,2988000,3,2.5,MOUNTAIN VIEW,1775,5668.0,1953,3,1683,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1028-Tulane-Dr-94040/home/1525435,MLSListings,ML81943365,N,Y,37.3766695,-122.0921328,Attached Garage,"Breakfast Bar, Dining Area, Dining Area in Family Room, Dining Area in Living Room",Hardwood,,Central Forced Air (Gas),Public Utilities,1.0,,,,9,10,8,2.5,1683.0,3000851.0,21127.0,84,Very bikeable,51,Somewhat walkable,34,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 17 restaurants, 6 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943365,2988000.0,,,,,,,https://www.redfin.com/CA/Mountain-View/1028-Tulane-Dr-94040/home/1525435,1.0,"Shower Over Tub, Stall Shower, Tile, Updated Bath(s)",,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,277 Delphi Cir,Los Altos,CA,94022,4795000,4,2.5,LOS ALTOS,3393,11436.0,1981,3,1413,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/277-Delphi-Ct-94022/home/637006,MLSListings,ML81943341,N,Y,37.394573,-122.108423,"Attached Garage, On Street, Workshop in Garage","Dining Area in Family Room, Eat in Kitchen, Formal Dining Room","Carpet, Hardwood, Tile","Central Forced Air, Whole House Fan","Central Forced Air (Gas), Fireplace, Forced Air, Gas, Heating (2+ Zones)","Individual Gas Meters, Natural Gas, Public Utilities",2.0,,,,8,8,9,2.5,1413.0,4822050.0,33904.0,74,Very bikeable,73,Very walkable,46,Some transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 27 restaurants, 3 parksTransit21, 22, 40, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 27, 2023",Listed (Active)MLSListings #ML81943341,4795000.0,,,,,,,https://www.redfin.com/CA/Los-Altos/277-Delphi-Ct-94022/home/637006,3.0,"Double Sinks, Granite, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tile","Electricity Hookup (220V), In Utility Room, Inside, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,460 Lassen St #5,Los Altos,CA,94022,1499000,2,2.0,LOS ALTOS,1349,,1964,3,1111,730.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/460-Lassen-St-94022/unit-5/home/1785781,MLSListings,ML81943047,N,Y,37.3746398,-122.1120763,"Assigned Spaces, On Street","Dining ""L""","Hardwood, Tile",Central Forced Air,Central Forced Air,Public Utilities,,"Common Area Electricity, Exterior Painting, Garbage, Insurance, Landscaping/Gardening, Maintenance (Common Area), Management Fee, Reserves, Sewer, Water",Monthly,"MB Homeowner's Management, Inc.",9,8,9,2.5,1111.0,1497644.0,11329.0,95,Biker's paradise,81,Very walkable,29,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 28 restaurants, 4 parksTransit21, 22, 40, 51, 51H, 52, C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943047,1499000.0,"Jun 4, 2022",Pending (Pending (Do Not Show))MLSListings #ML81891351,NA,"May 12, 2022",Listed (Active)MLSListings #ML81891351,1498000.0,https://www.redfin.com/CA/Los-Altos/460-Lassen-St-94022/unit-5/home/1785781,,"Double Sinks, Marble, Primary (Stall Shower(s)), Shower Over Tub, Stone, Tile, Updated Bath(s)","Inside, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,400 Ortega Ave #319,Mountain View,CA,94040,864400,2,1.0,MOUNTAIN VIEW,960,,1975,9,900,596.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-319/home/2121076,MLSListings,ML81942813,N,Y,37.399433,-122.105693,"Assigned Spaces, Electric Gate, Guest/Visitor Parking, Underground Parking","Dining ""L""","Carpet, Laminate","Ceiling Fan, Window/Wall Unit",Electric,Public Utilities,1.0,"Exterior Painting, Garbage, Hot Water, Insurance (Common Area), Maintenance (Exterior), Recreation Facility, Water",Monthly,Hastings Square West,8,8,9,2.5,900.0,864590.0,6708.0,88,Very bikeable,84,Very walkable,48,Some transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 27 restaurants, 3 parksTransit21, 22, 40, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288","Sep 21, 2023",Listed (Active)MLSListings #ML81942813,864400.0,,,,,,,https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-319/home/2121076,1.0,"Shower Over Tub, Tile, Updated Bath(s)","Inside, Washer/Dryer",,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,775 Edge Ln,Los Altos,CA,94024,5950000,4,4.5,LOS ALTOS,3411,9859.0,2023,9,1744,,Active,,,https://www.redfin.com/CA/Los-Altos/775-Edge-Ln-94024/home/1321516,MLSListings,ML81942544,N,Y,37.363058,-122.093186,Attached Garage,"Breakfast Bar, Dining Area, Eat in Kitchen, No Formal Dining Room","Hardwood, Tile",Multi-Zone,Central Forced Air,Other (See Remarks),1.0,,,,9,10,8,2.5,1744.0,5936858.0,42070.0,81,Very bikeable,39,Car-dependent,17,Minimal transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 11 restaurants, 7 parksTransit21, 22, 40, 51, 51H, 52, Rapid 522","Sep 21, 2023",Listed (Active)MLSListings #ML81942544,5950000.0,"Jun 4, 2021",Pending (Pending (Do Not Show))MLSListings #ML81845526,NA,"May 24, 2021",Listed (Active)MLSListings #ML81845526,2998000.0,https://www.redfin.com/CA/Los-Altos/775-Edge-Ln-94024/home/1321516,2.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Primary (Sunken Tub), Shower Over Tub, Stall Shower, Stone, Tile",Inside,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,26 4th St #12,Los Altos,CA,94022,1398000,2,2.0,LOS ALTOS,1598,,1976,9,875,857.0,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Los-Altos/26-4th-St-94022/unit-12/home/855691,MLSListings,ML81942697,N,Y,37.3809156,-122.1162732,Underground Parking,"Dining Area, Dining Area in Living Room, Eat in Kitchen","Carpet, Tile, Wood",Central Forced Air,Central Forced Air,Public Utilities,1.0,"Common Area Electricity, Common Area Gas, Decks, Fencing, Garbage, Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis, Water",,Los Altos Manor House,9,8,9,2.5,875.0,1428772.0,10742.0,97,Biker's paradise,88,Very walkable,27,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 33 restaurants, 2 parksTransit21, 22, 40, 52, 89, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522, School 288, School 288L, School 288M","Sep 21, 2023",Listed (Active)MLSListings #ML81942697,1398000.0,,,,,,,https://www.redfin.com/CA/Los-Altos/26-4th-St-94022/unit-12/home/855691,2.0,,Washer/Dryer,,,,,,,,,,,,,,,,,,
