SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_PRICE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,FLOORING_FEATURES,COOLING_FEATURES,UTILITIES,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_PRICE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE,PRICE_HISTORY15_EVENT_DATE,PRICE_HISTORY15_EVENT_TYPE,PRICE_HISTORY15_PRICE,PRICE_HISTORY16_EVENT_DATE,PRICE_HISTORY16_EVENT_TYPE,PRICE_HISTORY16_PRICE,PRICE_HISTORY17_EVENT_DATE,PRICE_HISTORY17_PRICE
MLS Listing,,Single Family Residential,527 W 36th St,San Pedro,CA,90731,1598000,4.0,3.0,181 - Point Fermin,3498.0,6402.0,1989.0,2,457.0,,Active,,,https://www.redfin.com/CA/San-Pedro/527-W-36th-St-90731/home/7696655,CRMLS,SB23179186,N,Y,33.7112558,-118.2886337,2.0,1.0,7,4,5,2.0,457.0,1585192.0,11299.0,53,Bikeable,66,Somewhat walkable,29,Some transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 23 restaurants, 13 parksTransit205, 225, 246, 550, Green, Orange","Sep 29, 2023",Listed (Active)CRMLS #SB23179186,1598000.0,"May 27, 2020",Contingent (Active Under Contract)CRMLS #SB20097728,NA,"May 21, 2020",Listed (Active)CRMLS #SB20097728,1149000.0,https://www.redfin.com/CA/San-Pedro/527-W-36th-St-90731/home/7696655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,561 E Opp St,Wilmington,CA,90744,350000,,,196 - East Wilmington,,5926.0,,3,,,Active,,,https://www.redfin.com/CA/Wilmington/561-E-Opp-St-90744/home/7679577,CRMLS,SB23178856,N,Y,33.7833026,-118.255513,,,NA,NA,3,2.0,,350075.0,2475.0,85,Very bikeable,74,Very walkable,42,Some transit,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 32 restaurants, 2 parksTransit232, 246","Sep 28, 2023",Listed (Active)CRMLS #SB23178856,350000.0,,,,,,,https://www.redfin.com/CA/Wilmington/561-E-Opp-St-90744/home/7679577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4111 W Sunset Blvd #311,Los Angeles,CA,90029,934500,2.0,2.0,671 - Silver Lake,1320.0,43933.0,2007.0,3,708.0,770.0,Active,,,https://www.redfin.com/CA/Los-Angeles/4111-W-Sunset-Blvd-90029/unit-311/home/21921312,CRMLS,PW23179595,N,Y,34.093818,-118.281232,2.0,2.0,4,6,7,2.0,708.0,941399.0,7377.0,73,Very bikeable,95,Walker's paradise,64,Good transit,Major,Major,Major,Minimal,"Places4 groceries, 37 restaurants, 3 parksTransit10/48, 180, 182, 2, 204, 206, 217, 4, 754","Sep 28, 2023",Listed (Active)CRMLS #PW23179595,934500.0,,,,,,,https://www.redfin.com/CA/Los-Angeles/4111-W-Sunset-Blvd-90029/unit-311/home/21921312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17434 Covello St,Lake Balboa,CA,91406,999000,4.0,3.0,LKBL - Lake Balboa,1716.0,5600.0,1950.0,3,582.0,,Active,,,https://www.redfin.com/CA/Van-Nuys/17434-Covello-St-91406/home/4326833,CRMLS,BB23179719,N,Y,34.2073659,-118.5131081,1.0,1.0,5,4,6,2.0,582.0,1010070.0,7064.0,51,Bikeable,78,Very walkable,38,Some transit,Minimal,Moderate,Major,Minimal,"Places8 groceries, 30 restaurants, 2 parksTransit152, 162, 165, 169, 236, 236/235, 237",,,,,,,,,,https://www.redfin.com/CA/Van-Nuys/17434-Covello-St-91406/home/4326833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3160 Plumas St,Los Angeles,CA,90065,959900,2.0,1.0,623 - Glassel Park,1004.0,3072.0,1927.0,4,956.0,,Active,,,https://www.redfin.com/CA/Los-Angeles/3160-Plumas-St-90065/home/7176968,CRMLS,OC23180211,N,Y,34.1354996,-118.2331382,2.0,1.0,8,NA,NA,2.0,956.0,,6787.0,37,Somewhat bikeable,70,Very walkable,47,Some transit,Minimal,Severe,Major,Minimal,"Places11 groceries, 25 restaurants, 4 parksTransit180, 182, 251, 4, 6, 81, 90","Sep 27, 2023",Listed (Active)CRMLS #OC23180211,959900.0,"Oct 20, 2016",Listing RemovedCRMLS #P0-316008996,NA,"Sep 22, 2016",,NA,https://www.redfin.com/CA/Los-Angeles/3160-Plumas-St-90065/home/7176968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,227 N Avenue 50,Los Angeles,CA,90042,899999,2.0,2.0,632 - Highland Park,864.0,2166.0,1922.0,6,1042.0,,Active,,,https://www.redfin.com/CA/Los-Angeles/227-N-Avenue-50-90042/home/7076724,CRMLS,PF23176854,N,Y,34.1069034,-118.2033363,,1.0,4,NA,NA,2.0,1042.0,945039.0,6364.0,62,Bikeable,84,Very walkable,54,Good transit,Minimal,Moderate,Major,Minimal,"Places7 groceries, 25 restaurants, 4 parksTransit182, 256, 81","Sep 25, 2023",Listed (Active)CRMLS #PF23176854,899999.0,,,,,,,https://www.redfin.com/CA/Los-Angeles/227-N-Avenue-50-90042/home/7076724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),2339 Birkdale St,Los Angeles,CA,90031,1200000,8.0,4.0,671 - Silver Lake,3150.0,4835.0,1963.0,6,381.0,,Active,,,https://www.redfin.com/CA/Los-Angeles/2339-Birkdale-St-90031/home/7069467,CRMLS,BB23177969,N,Y,34.0923859,-118.2393562,1.0,2.0,6,4,7,2.0,381.0,1196876.0,8485.0,59,Bikeable,43,Car-dependent,46,Some transit,Minimal,Moderate,Major,Minimal,"Places4 groceries, 21 restaurants, 12 parksTransit251, 603, 81, 90, 92, 94, 96, Dodger Stadium Express, South Bay Dodger Stadium Express","Sep 25, 2023",Listed (Active)CRMLS #BB23177969,1200000.0,"Sep 24, 2023",Listing RemovedCRMLS #BB23088866,NA,"May 25, 2023",,NA,https://www.redfin.com/CA/Los-Angeles/2339-Birkdale-St-90031/home/7069467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1221 N Sycamore Ave #3,Los Angeles,CA,90038,769000,2.0,3.0,C20 - Hollywood,918.0,11659.0,1985.0,9,838.0,350.0,Active,,,https://www.redfin.com/CA/Los-Angeles/1221-N-Sycamore-Ave-90038/unit-3/home/7107266,CRMLS,PF23178081,N,Y,34.0932247,-118.3431357,2.0,1.0,7,4,5,2.0,838.0,770932.0,5787.0,64,Bikeable,95,Walker's paradise,64,Good transit,Minimal,Moderate,Major,Minimal,"Places6 groceries, 21 restaurants, 1 parkTransit10/48, 2, 212, 217, 224, 224/690, 4","Sep 22, 2023",Listed (Active)CRMLS #PF23178081,769000.0,"Sep 22, 2023",Listing RemovedCRMLS #BB23167363,NA,"Sep 8, 2023",,NA,https://www.redfin.com/CA/Los-Angeles/1221-N-Sycamore-Ave-90038/unit-3/home/7107266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,700 Main St #4,Venice,CA,90291,1435000,1.0,2.0,C11 - Venice,1430.0,26073.0,2008.0,11,1003.0,709.0,Active,,,https://www.redfin.com/CA/Venice/700-Main-St-90291/unit-4/home/17224405,CRMLS,SB23176402,N,Y,33.9936962,-118.475054,2.0,2.0,5,6,6,2.5,1003.0,1434976.0,10855.0,100,/100Biker's paradise,96,Walker's paradise,53,Good transit,Moderate,Minimal,Major,Minimal,"Places4 groceries, 26 restaurants, 3 parksTransit1, 108, 18, 3, 33, 8, CC 1, R3","Sep 20, 2023",Listed (Active)CRMLS #SB23176402,1435000.0,"Sep 20, 2023",Listing RemovedCRMLS #SB23087595,NA,"Aug 26, 2023",,NA,https://www.redfin.com/CA/Venice/700-Main-St-90291/unit-4/home/17224405,"Aug 8, 2023",Relisted (Active)CRMLS #SB23087595,NA,"Aug 7, 2023",Contingent (Active Under Contract)CRMLS #SB23087595,NA,"Jun 17, 2023",NA,"May 22, 2023",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,20729 Mopena Way,Porter Ranch,CA,91326,1299000,4.0,2.5,PORA - Porter Ranch,2449.0,7164.0,2005.0,12,530.0,291.0,Active,,,https://www.redfin.com/CA/Porter-Ranch/20729-Mopena-Way-91326/home/8175506,CRMLS,PF23173298,N,Y,34.2822814,-118.5845443,3.0,2.0,NA,NA,5,2.5,530.0,1277234.0,9476.0,14,Somewhat bikeable,10,Car-dependent,0,Minimal transit,Minimal,Severe,Major,Minimal,"Places6 groceries, 26 restaurants, 10 parksTransit10, 150, 158, 166, 167, 242/243, 244","Sep 19, 2023",Listed (Active)CRMLS #PF23173298,1299000.0,"Sep 14, 2022",Pending (Pending Sale)CRMLS #SR22127605,NA,"Aug 19, 2022",Contingent (Active Under Contract)CRMLS #SR22127605,NA,https://www.redfin.com/CA/Porter-Ranch/20729-Mopena-Way-91326/home/8175506,"Jul 5, 2022",Price ChangedCRMLS #SR22127605,1250000.0,"Jun 15, 2022",Listed (Active)CRMLS #SR22127605,1299999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
