SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,url,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,Transit Score,Transit Score_type,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY13_PRICE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE
MLS Listing,,Single Family Residential,22095 Old Santa Cruz Hwy,Los Gatos,CA,95033,1999999,4.0,4.0,LOS GATOS,3231.0,42874.0,1938.0,46.0,619.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/22095-Old-Santa-Cruz-Hwy-95033/home/1421560,MLSListings,ML81938449,N,Y,37.1514025,-121.9749046,"Detached, Electric Car Hookup, Room for Oversized Vehicle, Uncovered Parking",2.0,"Double Sinks, Dual Flush Toilet, Oversized Tub, Primary - Oversized Tub, Primary (Stall Shower(s)), Stall Shower, Tile, Tub, Tub in Master Bedroom, Updated Bath(s)","Dining Area, Dining Area in Family Room, Dining Area in Living Room, Eat in Kitchen, No Formal Dining Room","Electricity Hookup (220V), In Garage, Inside","Tile, Vinyl/Linoleum","Ceiling Fan, Central Forced Air","Fireplace, Heat Pump","Individual Electric Meters, Propane On Site",1.0,8,8,10,2.5,619.0,1985211.0,14141.0,1,Somewhat bikeable,9,Car-dependent,Minimal,Major,Minor,Minimal,"Places3 groceries, 20 restaurants, 8 parksTransit17, 27, 35, 35E, 61","Sep 6, 2023",Price ChangedMLSListings #ML81938449,1999999.0,"Aug 15, 2023",Listed (Active)MLSListings #ML81938449,2060000.0,"Apr 1, 2021",Pending (Pending (Do Not Show))MLSListings #ML81835223,NA,"Mar 26, 2021",ContingentMLSListings #ML81835223,NA,"Mar 21, 2021",Listed (Active)MLSListings #ML81835223,1650000.0,https://www.redfin.com/CA/Los-Gatos/22095-Old-Santa-Cruz-Hwy-95033/home/1421560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,48 Whitney Ave,Los Gatos,CA,95030,4800000,4.0,3.5,LOS GATOS,3435.0,6974.0,2011.0,1.0,1397.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/48-Whitney-Ave-95030/home/1285370,MLSListings,ML81943180,N,Y,37.2216095,-121.9709282,"Covered Parking, Off-Street Parking, On Street",,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Primary (Stall Shower(s)), Primary (Sunken Tub), 2+ Stall Shower, Updated Bath(s)","Eat in Kitchen, Formal Dining Room",Inside,"Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),Public Utilities,3.0,8,8,10,2.5,1397.0,4815149.0,33939.0,63,Bikeable,59,Somewhat walkable,Minimal,Major,Moderate,Minimal,"Places0 groceries, 20 restaurants, 3 parksTransit27, 37, 61","Sep 30, 2023",Listed (Active)MLSListings #ML81943180,4800000.0,"May 30, 2018",Pending (Pending (Do Not Show))MLSListings #ML81706235,NA,"May 18, 2018",Listed (Active)MLSListings #ML81706235,3450000.0,,,,,,,https://www.redfin.com/CA/Los-Gatos/48-Whitney-Ave-95030/home/1285370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,16440 Soda Springs Rd,Los Gatos,CA,95033,2225000,5.0,4.0,LOS GATOS,3367.0,233481.0,1990.0,1.0,661.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/16440-Soda-Springs-Rd-95033/home/1269590,MLSListings,ML81943571,N,Y,37.1713764,-121.9409338,"Attached Garage, Guest/Visitor Parking, Room for Oversized Vehicle",3.0,"Double Sinks, Full on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), 2+ Showers Over Tubs, Stall Shower","Breakfast Bar, Eat in Kitchen, Formal Dining Room","In Utility Room, Inside, Tub/Sink","Carpet, Hardwood, Tile",Central Forced Air,"Central Forced Air, Fireplace, Propane","Propane On Site, Public Utilities",2.0,8,8,10,2.5,661.0,2231629.0,15732.0,1,Somewhat bikeable,0,Car-dependent,Minimal,Major,Minimal,Minimal,"Places3 groceries, 17 restaurants, 7 parksTransit27, 61, 64B","Sep 29, 2023",Listed (Active)MLSListings #ML81943571,2225000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/16440-Soda-Springs-Rd-95033/home/1269590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17040 Los Cerritos Dr,Los Gatos,CA,95030,2188000,4.0,2.0,LOS GATOS,1612.0,33017.0,1965.0,1.0,1357.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/17040-Los-Cerritos-95030/home/1029181,MLSListings,ML81943534,N,Y,37.2207381,-121.9603089,"Attached Garage, Parking Area",2.0,"Primary (Stall Shower(s)), Shower Over Tub",Dining Area in Living Room,Washer/Dryer,"Carpet, Tile",Central Forced Air,"Central Forced Air, Solar",Solar Panels - Owned,,8,8,10,2.5,1357.0,2197871.0,15471.0,18,Somewhat bikeable,1,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places2 groceries, 16 restaurants, 8 parksTransit27, 61","Sep 29, 2023",Listed (Active)MLSListings #ML81943534,2188000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/17040-Los-Cerritos-95030/home/1029181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,153 Maricopa Dr,Los Gatos,CA,95032,1898000,3.0,2.0,LOS GATOS,1296.0,8432.0,1958.0,2.0,1465.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/153-Maricopa-Dr-95032/home/1357439,MLSListings,ML81943478,N,Y,37.243886,-121.95696,"Attached Garage, On Street",2.0,"Shower Over Tub, Stall Shower, Tile, Updated Bath(s)","Dining Area in Living Room, Eat in Kitchen","In Garage, Washer/Dryer","Hardwood, Tile",Ceiling Fan,Central Forced Air (Gas),Public Utilities,1.0,8,8,10,2.5,1465.0,1953851.0,13420.0,82,Very bikeable,86,Very walkable,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 19 restaurants, 6 parksTransit27, 37, 61","Sep 28, 2023",Listed (Active)MLSListings #ML81943478,1898000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/153-Maricopa-Dr-95032/home/1357439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,135 Belridge Dr,Los Gatos,CA,95032,2999111,5.0,3.0,LOS GATOS,2448.0,10470.0,1965.0,2.0,1225.0,60.0,Active,September-30-2023 01:30 PM,September-30-2023 06:00 PM,https://www.redfin.com/CA/Los-Gatos/135-Belridge-Dr-95032/home/555409,MLSListings,ML81942433,N,Y,37.2296381,-121.9154432,Attached Garage,2.0,,Formal Dining Room,,,Central Forced Air,Central Forced Air (Gas),Public Utilities,2.0,7,9,8,2.5,1225.0,3025431.0,21266.0,14,Somewhat bikeable,30,Car-dependent,Minimal,Major,Moderate,Minimal,"Places3 groceries, 17 restaurants, 7 parksTransit27, 37, 61, 64B, Express 101","Sep 28, 2023",Listed (Active)MLSListings #ML81942433,2999111.0,"Mar 25, 2008",Listing RemovedMLSListings #ML80783209,NA,"Mar 18, 2008",ContingentMLSListings #ML80783209,NA,"Mar 8, 2008",ListedMLSListings #ML80783209,1375000.0,,,,https://www.redfin.com/CA/Los-Gatos/135-Belridge-Dr-95032/home/555409,"Pools, Spa, or Tennis, Recreation Facility",Annually,Belwood of Los Gatos Homes Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,101 Escobar Ct,Los Gatos,CA,95032,1428000,3.0,2.0,LOS GATOS,1494.0,1799.0,1972.0,3.0,956.0,404.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/101-Escobar-Ct-95032/home/1519527,MLSListings,ML81943354,N,Y,37.2429558,-121.9433667,Attached Garage,2.0,,Dining Area in Family Room,,Hardwood,Central Forced Air,Central Forced Air (Gas),Public Utilities,2.0,9,9,8,2.5,956.0,1423658.0,10501.0,52,Bikeable,41,Car-dependent,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 11 restaurants, 9 parksTransit27, 37, 61, Express 101","Sep 27, 2023",Price ChangedMLSListings #ML81943354,1428000.0,"Sep 27, 2023",Listed (Active)MLSListings #ML81943354,1380000.0,"May 25, 2022",Pending (Pending (Do Not Show))MLSListings #ML81889895,NA,"May 20, 2022",Price ChangedMLSListings #ML81889895,1350000.0,"May 3, 2022",Listed (Active)MLSListings #ML81889895,1450000.0,https://www.redfin.com/CA/Los-Gatos/101-Escobar-Ct-95032/home/1519527,"Insurance, Maintenance (Common Area), Maintenance (Exterior), Pools, Spa, or Tennis, Reserves, Roof",Monthly,Compass Management Group,31,Some transit,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,20800 Locust Dr,Los Gatos,CA,95033,1160000,2.0,2.0,LOS GATOS,1338.0,7555.0,2013.0,3.0,867.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/20800-Locust-Dr-95033/home/95955509,MLSListings,ML81943323,N,Y,37.1662571,-121.9745269,"Carport, Off-Street Parking",,"Shower and Tub, Stall Shower",Dining Area in Living Room,"Electricity Hookup (110V), Inside","Hardwood, Wood",Central Forced Air,Central Forced Air (Gas),Propane On Site,2.0,8,8,10,2.5,867.0,1160367.0,8202.0,2,Somewhat bikeable,0,Car-dependent,Minimal,Major,Minor,Minimal,"Places2 groceries, 21 restaurants, 8 parksTransit27, 61","Sep 29, 2023",Listed (Active)MLSListings #ML81943646,1160000.0,"Sep 27, 2023",Listed (Active)MLSListings #ML81943323,1160000.0,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/20800-Locust-Dr-95033/home/95955509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,54 Chestnut Ave,Los Gatos,CA,95030,8900000,5.0,4.5,LOS GATOS,7618.0,23040.0,2006.0,4.0,1168.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/54-Chestnut-Ave-95030/home/1756243,MLSListings,ML81943156,N,Y,37.2277145,-121.9947299,"Attached Garage, Detached, Gate/Door Opener, Guest/Visitor Parking",4.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Marble, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Skylight, 2+ Stall Shower, Updated Bath(s)","Breakfast Bar, Breakfast Nook, Breakfast Room, Dining Area, Dining Area in Family Room, Dining Bar, Eat in Kitchen, Formal Dining Room","Hookup (Gas Dryer), Inside","Hardwood, Marble, Tile","Ceiling Fan, Central Forced Air, Multi-Zone, Window/Wall Unit","Central Forced Air (Gas), Electric, Fireplace, Solar",Public Utilities,2.0,8,8,10,2.25,1168.0,8789540.0,62929.0,20,Somewhat bikeable,28,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places2 groceries, 30 restaurants, 3 parksTransit26, 27, 37, 51, 57","Sep 26, 2023",Listed (Active)MLSListings #ML81943156,8900000.0,"Apr 27, 2005",Listing RemovedMLSListings #ML80503192,NA,"Jan 23, 2005",ListedMLSListings #ML80503192,3295000.0,,,,,,,https://www.redfin.com/CA/Los-Gatos/54-Chestnut-Ave-95030/home/1756243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,15 Ocean View Rd,Los Gatos,CA,95033,2675000,5.0,4.0,LOS GATOS,4382.0,108464.0,1980.0,5.0,610.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/15-Ocean-View-Rd-95033/home/2406778,MLSListings,ML81937421,N,Y,37.105055,-121.9340228,"Electric Gate, Gate/Door Opener, Room for Oversized Vehicle",6.0,"Full on Ground Floor, Primary (Tub w/ Jets), 2+ Stall Shower, Tub in Master Bedroom, Updated Bath(s)","Breakfast Bar, Breakfast Nook, Eat in Kitchen, Formal Dining Room","In Utility Room, Inside","Hardwood, Tile",Central Forced Air,"Central Forced Air, Propane","Generator, Propane On Site, Public Utilities",,8,8,10,2.5,610.0,2681891.0,18914.0,,,5,Car-dependent,Minimal,Severe,Minimal,Minimal,"Places10 groceries, 15 restaurants, 4 parksTransit17, 35, 35E, 55, 69A, 69W, 71, 91X, Route 6","Sep 25, 2023",Listed (Active)MLSListings #ML81937421,2675000.0,"Dec 3, 2018",Pending (Pending (Do Not Show))MLSListings #ML81698173,NA,"Nov 9, 2018",Relisted (Active)MLSListings #ML81698173,NA,"Nov 9, 2018",Price ChangedMLSListings #ML81698173,2299000.0,"Nov 5, 2018",Listing RemovedMLSListings #ML81698173,NA,https://www.redfin.com/CA/Los-Gatos/15-Ocean-View-Rd-95033/home/2406778,,,,,,"Oct 16, 2018",Price ChangedMLSListings #ML81698173,2325000.0,"Sep 7, 2018",Price ChangedMLSListings #ML81698173,2460000.0,"Aug 17, 2018",Relisted (Active)MLSListings #ML81698173,NA,"Aug 16, 2018",ContingentMLSListings #ML81698173,NA,"Jul 30, 2018",Price ChangedMLSListings #ML81698173,2519000.0,"Jun 13, 2018",Price ChangedMLSListings #ML81698173,2699000.0,"Jun 4, 2018",Relisted (Active)MLSListings #ML81698173,NA,"Apr 9, 2018",Listing RemovedMLSListings #ML81698173,NA,"Apr 1, 2018",Listed (Active)MLSListings #ML81698173,2899000.0
