SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,FEES_INCLUDE,HOA_NAME,HOA_FEE_FREQ,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Single Family Residential,107 Durham St,Menlo Park,CA,94025,1998000,3,2.0,MENLO PARK,1600,5300.0,1953,1,1249,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/107-Durham-St-94025/home/855092,MLSListings,ML81943563,N,Y,37.4638204,-122.1520518,"Attached Garage, Parking Area",2.0,"Shower Over Tub, Stall Shower, Steam Shower, Tile",Dining Area in Living Room,"Electricity Hookup (220V), Washer/Dryer","Laminate, Tile",Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters, Public Utilities",1.0,8,8,6,2.5,1249.0,1993228.0,14127.0,81,Very bikeable,73,Very walkable,36,Some transit,Moderate,Minimal,Moderate,Minimal,"Places11 groceries, 23 restaurants, 4 parksTransit280, 281, 296, 397, 81, 82, 83, 84, 88, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 29, 2023",Listed (Active)MLSListings #ML81943563,1998000.0,https://www.redfin.com/CA/Menlo-Park/107-Durham-St-94025/home/855092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1 Douglass Way,Atherton,CA,94027,7295000,5,4.0,ATHERTON,3825,29008.0,1948,1,1907,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Atherton/1-Douglass-Way-94027/home/885550,MLSListings,ML81943543,N,Y,37.4553872,-122.1890167,"Attached Garage, Parking Area",2.0,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Primary (Sunken Tub), Shower Over Tub, 2+ Stall Shower, Tile, Updated Bath(s)","Dining Area, Eat in Kitchen","Dryer, Inside, Washer","Carpet, Hardwood",Central Forced Air,Central Forced Air,Public Utilities,1.0,8,8,6,2.5,1907.0,7306507.0,51580.0,94,Biker's paradise,86,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 24 restaurants, 0 parksTransit286, 296, 397, 80, 81, 82, 83, 84, 88, Bus Bridge, ECR, L1, L2, L3, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 29, 2023",Listed (Active)MLSListings #ML81943543,7295000.0,https://www.redfin.com/CA/Atherton/1-Douglass-Way-94027/home/885550,"Nov 1, 2012",Pending (Pending Without Release)MLSListings #ML81238294,NA,"Oct 19, 2012",Listed (Active)MLSListings #ML81238294,2759000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,905 Monte Rosa Dr,Menlo Park,CA,94025,6545000,4,4.5,MENLO PARK,3737,11627.0,2023,2,1751,,Active,,,https://www.redfin.com/CA/Menlo-Park/905-Monte-Rosa-Dr-94025/home/899453,MLSListings,ML81943425,N,Y,37.4272569,-122.2053551,Attached Garage,2.0,"Double Sinks, Full on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower","Breakfast Bar, Eat in Kitchen, No Formal Dining Room",Inside,"Hardwood, Tile",Multi-Zone,Central Forced Air,Individual Electric Meters,2.0,NA,NA,6,2.5,1751.0,6566996.0,46277.0,60,Bikeable,61,Somewhat walkable,19,Minimal transit,Minimal,Major,Moderate,Minimal,"Places4 groceries, 21 restaurants, 8 parksTransit275, 286, 72, 80, 82, 83, 84, 87, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park), U","Sep 28, 2023",Listed (Active)MLSListings #ML81943425,6545000.0,https://www.redfin.com/CA/Menlo-Park/905-Monte-Rosa-Dr-94025/home/899453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,531 Grace Dr,Menlo Park,CA,94025,6795000,5,4.5,MENLO PARK,4190,10476.0,2002,2,1622,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/531-Grace-Dr-94025/home/1809606,MLSListings,ML81943418,N,Y,37.4343947,-122.1909899,"Attached Garage, Gate/Door Opener, Guest/Visitor Parking, Off-Street Parking, Room for Oversized Vehicle",2.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), 2+ Showers Over Tubs, Tile, Updated Bath(s)","Breakfast Bar, Eat in Kitchen, Formal Dining Room","In Utility Room, Inside, Tub/Sink","Hardwood, Marble, Stone",Central Forced Air,Central Forced Air (Gas),Public Utilities,3.0,9,8,6,2.5,1622.0,6863892.0,48045.0,80,Very bikeable,29,Car-dependent,19,Minimal transit,Minimal,Minor,Moderate,Minimal,"Places4 groceries, 20 restaurants, 6 parksTransit21, 280, 281, 286, 80, 82, 83, 84, 87, Bus Bridge, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park), U","Sep 28, 2023",Listed (Active)MLSListings #ML81943418,6795000.0,https://www.redfin.com/CA/Menlo-Park/531-Grace-Dr-94025/home/1809606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,140 Buckthorn Way,Menlo Park,CA,94025,2140000,3,2.5,Not Listed,2030,1965.0,1997,3,1054,400.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/140-Buckthorn-Way-94025/home/2055607,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040306,N,Y,37.4596986,-122.1928315,,2.0,,,,"Hardwood, Hardwood Flrs Throughout",Central Air,Forced Air,All Public Utilities,,8,8,6,2.5,1054.0,2172360.0,15531.0,80,Very bikeable,69,Somewhat walkable,42,Some transit,Minimal,Minimal,Moderate,Minimal,"Places0 groceries, 18 restaurants, 3 parksTransit286, 296, 397, 80, 81, 82, 83, 84, 88, Bus Bridge, ECR, L1, L2, L3, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040306",2140000.0,https://www.redfin.com/CA/Menlo-Park/140-Buckthorn-Way-94025/home/2055607,"Nov 1, 2012",Pending (Pending Without Release)MLSListings #ML81233058,NA,"Oct 26, 2012",Price ChangedMLSListings #ML81233058,1099000.0,"Sep 6, 2012",Listed (Active)MLSListings #ML81233058,1125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,508 Laurel Ave,Menlo Park,CA,94025,3795000,4,3.0,MENLO PARK,2360,7000.0,2009,4,1608,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/508-Laurel-Ave-94025/home/1351258,MLSListings,ML81929853,N,Y,37.4607359,-122.1544475,Detached,2.0,Full on Ground Floor,"Dining Area, Dining Area in Living Room","Inside, Washer/Dryer","Carpet, Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),Public Utilities,2.0,8,8,6,2.5,1608.0,3823414.0,26833.0,82,Very bikeable,77,Very walkable,37,Some transit,Moderate,Minimal,Moderate,Minimal,"Places7 groceries, 24 restaurants, 3 parksTransit21, 280, 281, 296, 397, 81, 82, 83, 84, 88, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 26, 2023",Listed (Active)MLSListings #ML81929853,3795000.0,https://www.redfin.com/CA/Menlo-Park/508-Laurel-Ave-94025/home/1351258,"Jul 6, 2018",Pending (Pending (Do Not Show))MLSListings #ML81712268,NA,"Jun 28, 2018",Listed (Active)MLSListings #ML81712268,3250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,624 Harvard Ave,Menlo Park,CA,94025,2449900,3,2.0,,1450,1676.0,1925,5,1690,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/624-Harvard-Ave-94025/home/1738961,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040114,N,Y,37.4473984,-122.1739725,,1.0,,,,"Hardwood, Laminate, Tile, Carpet",Central Air,Gravity,All Public Utilities,,9,8,6,2.5,1690.0,2457254.0,17322.0,100,/100Biker's paradise,85,Very walkable,54,Good transit,NA,NA,NA,NA,"Places2 groceries, 28 restaurants, 4 parksTransit21, 22, 280, 281, 286, 296, 397, 80, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522, U","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040114",2449900.0,https://www.redfin.com/CA/Menlo-Park/624-Harvard-Ave-94025/home/1738961,"Jul 16, 2018",Pending (Pending (Do Not Show))MLSListings #ML81711768,NA,"Jun 25, 2018",Listed (Active)MLSListings #ML81711768,2295000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1312 Hill Ave,Menlo Park,CA,94025,999000,2,1.0,MENLO PARK,880,4800.0,1951,5,1135,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/1312-Hill-Ave-94025/home/1574731,MLSListings,ML81943042,N,Y,37.4764137,-122.1636142,Attached Garage,1.0,"Shower Over Tub, Tile","Dining ""L""",Inside,,Ceiling Fan,Wall Furnace,Public Utilities,1.0,NA,NA,6,3.0,1135.0,1068963.0,7064.0,84,Very bikeable,58,Somewhat walkable,35,Some transit,Minimal,Minor,Moderate,Minimal,"Places8 groceries, 20 restaurants, 8 parksTransit281, 296, 397, 81, 82, 83, 88, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park)","Sep 25, 2023",Listed (Active)MLSListings #ML81943042,999000.0,https://www.redfin.com/CA/Menlo-Park/1312-Hill-Ave-94025/home/1574731,"Apr 28, 2012",Pending (Pending Without Release)MLSListings #ML81210497,NA,"Apr 24, 2012",Price ChangedMLSListings #ML81210497,359500.0,"Mar 21, 2012",Listed (Active)MLSListings #ML81210497,379500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2169 Gordon Ave,Menlo Park,CA,94025,4750000,5,4.5,MENLO PARK,2930,5982.0,2018,5,1621,,Active,,,https://www.redfin.com/CA/Menlo-Park/2169-Gordon-Ave-94025/home/145959096,MLSListings,ML81943036,N,Y,37.4309182,-122.2031119,"On Street, Parking Area",2.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Primary (Stall Shower(s)), Primary (Tub w/ Jets), 2+ Showers Over Tubs, Stall Shower, Tile, Updated Bath(s)",Dining Area in Living Room,"Dryer, Inside, Washer","Carpet, Hardwood, Tile",Central Forced Air,Central Forced Air,Public Utilities,2.0,NA,NA,6,2.5,1621.0,4794444.0,33585.0,70,Very bikeable,67,Somewhat walkable,,,Minimal,Major,Moderate,Minimal,"Places5 groceries, 19 restaurants, 7 parksTransit286, 80, 82, 83, 84, 87, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 25, 2023",Listed (Active)MLSListings #ML81943036,4750000.0,https://www.redfin.com/CA/Menlo-Park/2169-Gordon-Ave-94025/home/145959096,"Oct 23, 2019",Pending (Pending (Do Not Show))MLSListings #ML81769667,NA,"Sep 22, 2019",Listed (Active)MLSListings #ML81769667,4350000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2067 Ashton Ave,Menlo Park,CA,94025,2000000,3,1.0,MENLO PARK,1190,6000.0,1950,5,1681,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/2067-Ashton-Ave-94025/home/1898756,MLSListings,ML81943034,N,Y,37.4330365,-122.2025852,"Attached Garage, Electric Gate, Guest/Visitor Parking",2.0,"Full on Ground Floor, Marble, Stall Shower, Updated Bath(s)",Dining Area in Living Room,"In Garage, Washer/Dryer",Wood,Central Forced Air,"Central Forced Air, Electric",Public Utilities,1.0,NA,NA,6,2.5,1681.0,2006936.0,14141.0,72,Very bikeable,65,Somewhat walkable,,,Minimal,Major,Moderate,Minimal,"Places5 groceries, 20 restaurants, 7 parksTransit286, 80, 82, 83, 84, 87, Bus Bridge, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 25, 2023",Listed (Active)MLSListings #ML81943034,2000000.0,https://www.redfin.com/CA/Menlo-Park/2067-Ashton-Ave-94025/home/1898756,"Oct 25, 2021",Pending (Pending (Do Not Show))MLSListings #ML81848755,NA,"Jul 19, 2021",Price ChangedMLSListings #ML81848755,1900000.0,"Jun 14, 2021",Listed (Active)MLSListings #ML81848755,1998000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
