SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,LAUNDARY_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,BATH_DESCRIPTION,FLOORING_FEATURES,HOA_FEE_FREQ,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY13_PRICE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE
MLS Listing,,Condo/Co-op,325 San Miguel Ct #1,Milpitas,CA,95035,669000,3.0,1.0,MILPITAS,1050.0,,1971.0,14.0,637.0,544.0,Active,,,https://www.redfin.com/CA/Milpitas/325-San-Miguel-Ct-95035/unit-1/home/167190717,MLSListings,ML81942143,N,Y,37.4246516,-121.9115457,"Detached, On Street",1.0,Breakfast Nook,Community Facility,Ceiling Fan,Central Forced Air,Public Utilities,1.0,"Exterior Painting, Garbage, Insurance, Maintenance (Common Area), Pools, Spa, or Tennis, Reserves, Roof, Unit Coverage Insurance, Water/Sewer, Other (See Remarks)",Granada Homeowners Association,7,9,8,2.5,637.0,691284.0,5274.0,74,Very bikeable,85,Very walkable,40,Some transit,Moderate,Minimal,Major,Minimal,"Places3 groceries, 34 restaurants, 3 parksTransit200, 217, 44, 47, 66, ACE Purple, ACE Violet, BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), Event Orange, Event-Orange, Express 104, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE","Sep 15, 2023",Listed (Active)MLSListings #ML81942143,669000.0,"Apr 7, 2004",Listing RemovedMLSListings #ML80378232,NA,"Feb 18, 2004",ListedMLSListings #ML80378232,295000.0,https://www.redfin.com/CA/Milpitas/325-San-Miguel-Ct-95035/unit-1/home/167190717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,60 Wison Way #158,Milpitas,CA,95035,380000,3.0,2.0,MILPITAS,1028.0,,2006.0,1.0,370.0,,Active,,,https://www.redfin.com/CA/Milpitas/60-Wilson-Way-95035/unit-158/home/12178953,MLSListings,ML81943641,N,Y,37.4583852,-121.9139971,,,Dining Area,Washer/Dryer,Central Forced Air,Wall Furnace,Public Utilities,,,,7,9,8,3.0,370.0,379687.0,2687.0,76,Very bikeable,83,Very walkable,40,Some transit,Minimal,Moderate,Major,Minimal,"Places2 groceries, 31 restaurants, 5 parksTransit215, 217, 239, 44, 47, 623, 66, ACE Purple, Express 104, School 246, School 247","Sep 29, 2023",Listed (Active)MLSListings #ML81943641,380000.0,,,,,,,https://www.redfin.com/CA/Milpitas/60-Wilson-Way-95035/unit-158/home/12178953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,738 Claridad Loop,Milpitas,CA,95035,1188000,3.0,2.5,MILPITAS,1810.0,789.0,2006.0,1.0,656.0,385.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Milpitas/738-Claridad-Loop-95035/home/167191378,MLSListings,ML81941538,N,Y,37.4223799,-121.908433,Attached Garage,2.0,"Breakfast Bar, Dining Area",Washer/Dryer,Central Forced Air,Forced Air,"Individual Electric Meters, Individual Gas Meters",3.0,"Insurance (Common Area), Maintenance (Common Area), Other (See Remarks)",Terra Serena,7,7,8,2.5,656.0,,8785.0,77,Very bikeable,62,Somewhat walkable,46,Some transit,Moderate,Minimal,Major,Minimal,"Places3 groceries, 28 restaurants, 3 parksTransit20, 200, 217, 44, 47, 66, ACE Purple, ACE Violet, BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), Event Orange, Event-Orange, Express 104, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE","Sep 28, 2023",Listed (Active)MLSListings #ML81941538,1188000.0,,,,,,,https://www.redfin.com/CA/Milpitas/738-Claridad-Loop-95035/home/167191378,"Double Sinks, Tub","Carpet, Tile, Other (See Remarks)",Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1397 Mount Shasta Ave,Milpitas,CA,95035,1198888,2.0,2.0,MILPITAS,1219.0,6700.0,1981.0,3.0,984.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Milpitas/1397-Mount-Shasta-Ave-95035/home/568384,MLSListings,ML81924272,N,Y,37.4214823,-121.877637,Attached Garage,2.0,Eat in Kitchen,,Central Forced Air,Central Forced Air,Public Utilities,1.0,,,8,7,8,2.5,984.0,1235474.0,8477.0,67,Bikeable,68,Somewhat walkable,38,Some transit,Minimal,Major,Major,Minimal,"Places3 groceries, 33 restaurants, 4 parksTransit20, 200, 217, 44, 47, 60, 66, 70, 71, 77, Event Orange, Event-Orange, Express 104, Green-N, Green-S, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, Orange-N, Orange-S, OrangeE, School 246, School 247, School 270","Sep 26, 2023",Listed (Active)MLSListings #ML81924272,1198888.0,,,,,,,https://www.redfin.com/CA/Milpitas/1397-Mount-Shasta-Ave-95035/home/568384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,34 Greentree Way,Milpitas,CA,95035,1699000,5.0,3.0,Milpitas,1885.0,6277.0,1970.0,5.0,901.0,,Active,September-30-2023 01:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Milpitas/34-Greentree-Way-95035/home/167192806,MetroList,223093322,N,Y,37.4098849,-121.9028322,,2.0,,,None,MultiZone,,2.0,,,7,7,8,,901.0,1736028.0,12013.0,77,Very bikeable,63,Somewhat walkable,60,Good transit,Moderate,Minimal,Major,Minimal,"Places7 groceries, 29 restaurants, 3 parksTransit20, 200, 217, 44, 47, 60, 66, 70, 71, 77, ACE Purple, ACE Violet, BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), Event Orange, Event-Orange, Express 104, Green-N, Green-S, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, Orange-N, Orange-S, OrangeE","Jun 4, 2004",Listing RemovedMLSListings #ML80395808,NA,"May 7, 2004",ListedMLSListings #ML80395808,569888.0,,,,https://www.redfin.com/CA/Milpitas/34-Greentree-Way-95035/home/167192806,,Laminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,729 Garden St,Milpitas,CA,95035,1290000,3.0,3.5,MILPITAS,1861.0,,2016.0,6.0,693.0,358.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Milpitas/729-Garden-St-95035/home/112869493,MLSListings,ML81942986,N,Y,37.4137156,-121.891949,Attached Garage,2.0,"Dining Area, Dining Area in Living Room",Inside,Central Forced Air,Forced Air,Public Utilities,3.0,"Common Area Electricity, Common Area Gas",Community Manager,5,7,8,2.5,693.0,1361907.0,9479.0,71,Very bikeable,56,Somewhat walkable,67,Good transit,Minimal,Moderate,Major,Minimal,"Places8 groceries, 32 restaurants, 5 parksTransit20, 200, 217, 44, 47, 60, 66, 70, 71, 77, ACE Violet, Event Orange, Event-Orange, Express 104, Green-N, Green-S, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, Orange-N, Orange-S, OrangeE, School 247, School 270","Sep 23, 2023",Listed (Active)MLSListings #ML81942986,1290000.0,,,,,,,https://www.redfin.com/CA/Milpitas/729-Garden-St-95035/home/112869493,"Double Sinks, Primary - Oversized Tub, Shower and Tub",Vinyl/Linoleum,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,254 Uvas St,Milpitas,CA,95035,1329000,4.0,2.0,MILPITAS,1488.0,6729.0,1962.0,7.0,893.0,,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Milpitas/254-Uvas-St-95035/home/932968,MLSListings,ML81942836,N,Y,37.4362088,-121.9123063,No Garage,,Dining Area,"In Utility Room, Inside, Washer/Dryer","Ceiling Fan, Central Forced Air",Central Forced Air (Gas),Public Utilities,1.0,,,8,9,8,2.5,893.0,1336258.0,9397.0,73,Very bikeable,69,Somewhat walkable,41,Some transit,Major,Minimal,Major,Minimal,"Places4 groceries, 33 restaurants, 4 parksTransit200, 217, 239, 44, 47, 623, 66, ACE Purple, ACE Violet, BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), Event Orange, Event-Orange, Express 104, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE, School 246, School 247","Sep 22, 2023",Listed (Active)MLSListings #ML81942836,1329000.0,,,,,,,https://www.redfin.com/CA/Milpitas/254-Uvas-St-95035/home/932968,"Dual Flush Toilet, Full on Ground Floor, Shower Over Tub, Stall Shower, Stone, Tile, Updated Bath(s)","Carpet, Laminate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1806 Saint Andrews Ct,Milpitas,CA,95035,3299000,4.0,3.0,SUMMIT POINTE,3858.0,9000.0,1985.0,8.0,855.0,200.0,Active,,,https://www.redfin.com/CA/Milpitas/1806-Saint-Andrews-Ct-95035/home/1245169,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039874,N,Y,37.4563982,-121.8773186,,3.0,,,Zoned,Forced Air,,,,,8,9,8,2.0,855.0,3289804.0,23526.0,7,Somewhat bikeable,2,Car-dependent,8,Minimal transit,Minimal,Major,Moderate,Minimal,"Places4 groceries, 18 restaurants, 8 parksTransit217, 239, 47, 623, 66, 71, School 246, School 247","Sep 30, 2023","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41039874",NA,"Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039874",3299000.0,,,,https://www.redfin.com/CA/Milpitas/1806-Saint-Andrews-Ct-95035/home/1245169,,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,2101 Ornellas Dr,Milpitas,CA,95035,1498000,3.0,2.5,MILPITAS,1528.0,1781.0,1991.0,9.0,980.0,340.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Milpitas/2101-Ornellas-Dr-95035/home/990513,MLSListings,ML81942207,N,Y,37.4218771,-121.8668465,Attached Garage,2.0,"Breakfast Nook, Dining ""L""","In Garage, Washer/Dryer",Central Forced Air,Central Forced Air,Public Utilities,2.0,"Common Area Electricity, Exterior Painting, Insurance (Common Area), Landscaping/Gardening, Management Fee, Pools, Spa, or Tennis, Reserves",Hillcrest Terrace HOA,8,7,8,2.5,980.0,1506371.0,10932.0,59,Bikeable,57,Somewhat walkable,36,Some transit,Minimal,Major,Moderate,Minimal,"Places3 groceries, 30 restaurants, 5 parksTransit20, 200, 44, 47, 60, 66, 70, 71, Event Orange, Event-Orange, Express 104, Green-N, Green-S, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, Orange-N, Orange-S, OrangeE, School 246, School 247, School 270","Sep 20, 2023",Listed (Active)MLSListings #ML81942207,1498000.0,"Jul 15, 2008",Listing RemovedMLSListings #ML80810519,NA,"Jun 30, 2008",ContingentMLSListings #ML80810519,NA,https://www.redfin.com/CA/Milpitas/2101-Ornellas-Dr-95035/home/990513,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Tile, Updated Bath(s)","Laminate, Tile",Monthly,"Jun 10, 2008",Price ChangedMLSListings #ML80810519,638000.0,"May 22, 2008",ListedMLSListings #ML80810519,643000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,600 Mente Linda Loop,Milpitas,CA,95035,1098880,2.0,2.0,MILPITAS,1371.0,1354.0,2007.0,9.0,802.0,384.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Milpitas/600-Mente-Linda-Loop-95035/home/167191350,MLSListings,ML81941185,N,Y,37.423132,-121.907841,"Attached Garage, Common Parking Area, Gate/Door Opener, Guest/Visitor Parking",2.0,"Dining Area, Dining Area in Living Room, Eat in Kitchen","Inside, Upper Floor, Washer/Dryer",Central Forced Air,"Central Forced Air (Gas), Forced Air",Public Utilities,1.0,"Common Area Electricity, Insurance (Common Area), Pools, Spa, or Tennis",Terra Serena Owners' Association,7,7,8,2.5,802.0,1177872.0,8154.0,76,Very bikeable,82,Very walkable,45,Some transit,Minimal,Minimal,Major,Minimal,"Places3 groceries, 27 restaurants, 3 parksTransit20, 200, 217, 44, 47, 60, 66, 77, ACE Purple, ACE Violet, BusBridge (7/6-7/18), BusBridge (7/6-7/19), BusBridge (7/6-7/21), Event Orange, Event-Orange, Express 104, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE","Sep 20, 2023",Listed (Active)MLSListings #ML81941185,1098880.0,"May 30, 2018",Pending (Pending (Do Not Show))MLSListings #ML81706890,NA,"May 23, 2018",Price ChangedMLSListings #ML81706890,928000.0,https://www.redfin.com/CA/Milpitas/600-Mente-Linda-Loop-95035/home/167191350,,Hardwood,Monthly,"May 23, 2018",Listed (Active)MLSListings #ML81706890,929000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
