SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE
MLS Listing,,Townhouse,532 Tyrella Ave #29,Mountain View,CA,94043,1190000,3.0,2.0,,1128.0,960.0,1971.0,15.0,1055.0,375.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/532-Tyrella-Ave-94043/unit-29/home/1057077,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039207,N,Y,37.404157,-122.0630153,"Hardwood, Tile, Carpet","Forced Air, Central",Ceiling Fan(s),6,7,8,2.5,1055.0,1207358.0,8789.0,94,Biker's paradise,62,Somewhat walkable,38,Some transit,Minimal,Minimal,Moderate,Minimal,"Places7 groceries, 19 restaurants, 8 parksTransit200, 21, 40, 51, 51H, 52, A - AM, A - PM, ACE Orange, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Special Event","Sep 14, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039207",1190000.0,https://www.redfin.com/CA/Mountain-View/532-Tyrella-Ave-94043/unit-29/home/1057077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1962 Colony St,Mountain View,CA,94043,2488000,4.0,3.5,MOUNTAIN VIEW,2110.0,1064.0,2023.0,1.0,1179.0,295.0,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1962-Colony-St-94043/home/187762310,MLSListings,ML81943642,N,Y,37.4158031,-122.0895086,Other (See Remarks),Forced Air,Central Forced Air,7,7,9,2.5,1179.0,2464812.0,17887.0,99,Biker's paradise,69,Somewhat walkable,30,Some transit,NA,NA,NA,NA,"Places3 groceries, 24 restaurants, 8 parksTransit21, 40, ACE Orange, B - AM, B - PM, B - PM Concert, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, D - AM, D - PM, L1, L2, L3, L6, School 288","Sep 29, 2023",Listed (Active)MLSListings #ML81943642,2488000.0,https://www.redfin.com/CA/Mountain-View/1962-Colony-St-94043/home/187762310,"Attached Garage, Guest/Visitor Parking",2.0,Double Sinks,"Breakfast Nook, Dining Area, Dining Area in Family Room","Electricity Hookup (220V), Inside",Individual Electric Meters,3.0,"Common Area Electricity, Exterior Painting, Fencing, Insurance (Hazard), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves, Roof",Monthly,Colony Sierra,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1433-1455 Villa St,Mountain View,CA,94041,1995000,2.0,1.0,MOUNTAIN VIEW,875.0,7784.0,1958.0,1.0,2280.0,,Active,October-5-2023 12:00 PM,October-5-2023 02:00 PM,https://www.redfin.com/CA/Mountain-View/1433-Villa-St-94041/home/934300,MLSListings,ML81943591,N,Y,37.3965676,-122.0864297,,Wall Furnace,Window/Wall Unit,8,7,9,2.5,2280.0,1990816.0,14106.0,99,Biker's paradise,80,Very walkable,51,Good transit,Moderate,Minimal,Moderate,Minimal,"Places4 groceries, 44 restaurants, 4 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 29, 2023",Listed (Active)MLSListings #ML81943591,1995000.0,https://www.redfin.com/CA/Mountain-View/1433-Villa-St-94041/home/934300,Attached Garage,5.0,,Formal Dining Room,In Utility Room,"Individual Electric Meters, Individual Gas Meters",2.0,,,,"Sep 29, 2023",Listed (Active)MLSListings #ML81943557,1995000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,2211 Latham St #322,Mountain View,CA,94040,798000,2.0,2.0,MOUNTAIN VIEW,1206.0,,1978.0,1.0,662.0,657.0,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-322/home/2121193,MLSListings,ML81942343,N,Y,37.3972947,-122.1030499,"Carpet, Laminate",Central Forced Air (Gas),Central Forced Air,3,7,9,2.5,662.0,802105.0,6299.0,88,Very bikeable,80,Very walkable,48,Some transit,NA,NA,NA,NA,"Places7 groceries, 27 restaurants, 3 parksTransit21, 22, 40, 51, 51H, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81942343,798000.0,https://www.redfin.com/CA/Mountain-View/2211-Latham-St-94040/unit-322/home/2121193,"Assigned Spaces, Parking Area",,,Dining Area,,Public Utilities,1.0,"Garbage, Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Water/Sewer",Monthly,Woodview HomeOwners Association,"Sep 30, 2016",Pending (Pending (Do Not Show))MLSListings #ML81614766,NA,"Sep 16, 2016",Listed (Active)MLSListings #ML81614766,765000.0,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,264 N Whisman Rd #25,Mountain View,CA,94043,919000,3.0,2.0,MOUNTAIN VIEW,1284.0,,1978.0,1.0,716.0,750.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/264-N-Whisman-Rd-94043/unit-25/home/1254389,MLSListings,ML81943464,N,Y,37.3961104,-122.0603562,Laminate,"Baseboard, Electric",Other (See Remarks),6,7,8,2.5,716.0,928640.0,7248.0,92,Biker's paradise,66,Somewhat walkable,44,Some transit,Moderate,Minimal,Moderate,Minimal,"Places9 groceries, 18 restaurants, 12 parksTransit200, 21, 22, 40, 51, 51H, 52, 53, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 28, 2023",Listed (Active)MLSListings #ML81943464,919000.0,https://www.redfin.com/CA/Mountain-View/264-N-Whisman-Rd-94043/unit-25/home/1254389,"Assigned Spaces, Carport",,"Shower and Tub, 2+ Showers Over Tubs, Tile","Dining Area in Living Room, Eat in Kitchen",Washer/Dryer,Public Utilities,1.0,"Common Area Electricity, Common Area Gas, Garbage, Insurance (Common Area), Landscaping/Gardening, Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Reserves, Sewer, Water/Sewer",,American Management services,"Dec 15, 2008",Listing RemovedMLSListings #ML80845092,NA,"Nov 17, 2008",ContingentMLSListings #ML80845092,NA,"Nov 13, 2008",ListedMLSListings #ML80845092,425000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3364 Villa Robleda Dr,Mountain View,CA,94040,3195000,4.0,2.5,MOUNTAIN VIEW,2411.0,8567.0,1972.0,1.0,1325.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/3364-Villa-Robleda-Dr-94040/home/1575901,MLSListings,ML81943426,N,Y,37.3625605,-122.0703619,"Hardwood, Vinyl/Linoleum",Central Forced Air (Gas),Central Forced Air,9,7,8,2.5,1325.0,3390946.0,22591.0,60,Bikeable,20,Car-dependent,27,Some transit,Major,Minimal,Moderate,Minimal,"Places6 groceries, 15 restaurants, 7 parksTransit22, 51, 51H, 52, 53, A - AM, A - PM, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81943426,3195000.0,https://www.redfin.com/CA/Mountain-View/3364-Villa-Robleda-Dr-94040/home/1575901,Attached Garage,3.0,"Half on Ground Floor, Primary - Oversized Tub, Shower and Tub",Formal Dining Room,In Utility Room,Public Utilities,2.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,435 Cecelia Way,Los Altos,CA,94022,3998000,5.0,3.0,LOS ALTOS,2374.0,13500.0,1952.0,1.0,1684.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos/435-Cecelia-Way-94022/home/1867792,MLSListings,ML81943421,N,Y,37.3918311,-122.1036933,"Carpet, Hardwood, Tile",Central Forced Air (Gas),,8,8,9,2.5,1684.0,4186683.0,28268.0,74,Very bikeable,64,Somewhat walkable,43,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 4 parksTransit21, 22, 40, 51, 51H, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81943421,3998000.0,https://www.redfin.com/CA/Los-Altos/435-Cecelia-Way-94022/home/1867792,"Detached, Off-Street Parking",2.0,"Double Sinks, 2+ Showers Over Tubs","Dining Area in Living Room, Eat in Kitchen",,Public Utilities,2.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1523 Lilac Ln,Mountain View,CA,94043,1599000,3.0,2.5,MOUNTAIN VIEW,1581.0,1812.0,1968.0,1.0,1011.0,415.0,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Mountain-View/1523-Lilac-Ln-94043/home/1627185,MLSListings,ML81943410,N,Y,37.4025847,-122.0856308,"Tile, Wood",Central Forced Air (Gas),,6,7,9,2.5,1011.0,1725296.0,11721.0,90,Biker's paradise,67,Somewhat walkable,44,Some transit,Major,Minimal,Moderate,Minimal,"Places3 groceries, 34 restaurants, 4 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, ACE Orange, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 28, 2023",Listed (Active)MLSListings #ML81943410,1599000.0,https://www.redfin.com/CA/Mountain-View/1523-Lilac-Ln-94043/home/1627185,"Attached Garage, Common Parking Area, Guest/Visitor Parking",2.0,"Double Sinks, Half on Ground Floor, Shower and Tub, Stall Shower, Updated Bath(s)","Eat in Kitchen, Formal Dining Room","Inside, Washer/Dryer",Public Utilities,2.0,"Common Area Electricity, Exterior Painting, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Roof",Monthly,Mountain View Gardens II,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,196 Central Ave,Mountain View,CA,94043,1138000,2.0,1.5,MOUNTAIN VIEW,1290.0,899.0,1977.0,1.0,882.0,555.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/196-Central-Ave-94043/home/1601554,MLSListings,ML81943403,N,Y,37.3957734,-122.0694134,Carpet,Central Forced Air,,6,7,8,2.5,882.0,1196444.0,8601.0,96,Biker's paradise,68,Somewhat walkable,51,Good transit,Severe,Minimal,Moderate,Minimal,"Places6 groceries, 40 restaurants, 8 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 28, 2023",Listed (Active)MLSListings #ML81943403,1138000.0,https://www.redfin.com/CA/Mountain-View/196-Central-Ave-94043/home/1601554,"Detached, Enclosed, Guest/Visitor Parking, On Street",1.0,"Full on Ground Floor, Tub, Updated Bath(s)","Dining Area in Living Room, Skylight(s)","Inside, Washer/Dryer",Public Utilities,2.0,"Common Area Electricity, Common Area Gas, Exterior Painting, Fencing, Garbage, Insurance (Common Area), Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Reserves, Roof",Monthly,Cypress Point Woods,"Oct 7, 2006",Listing RemovedMLSListings #ML80657690,NA,"Sep 13, 2006",ListedMLSListings #ML80657690,599000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1028 Tulane Dr,Mountain View,CA,94040,2988000,3.0,2.5,MOUNTAIN VIEW,1775.0,5668.0,1953.0,2.0,1683.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1028-Tulane-Dr-94040/home/1525435,MLSListings,ML81943365,N,Y,37.3766695,-122.0921328,Hardwood,Central Forced Air (Gas),,9,10,8,2.5,1683.0,3005556.0,21127.0,84,Very bikeable,51,Somewhat walkable,34,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 17 restaurants, 6 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943365,2988000.0,https://www.redfin.com/CA/Mountain-View/1028-Tulane-Dr-94040/home/1525435,Attached Garage,1.0,"Shower Over Tub, Stall Shower, Tile, Updated Bath(s)","Breakfast Bar, Dining Area, Dining Area in Family Room, Dining Area in Living Room",,Public Utilities,1.0,,,,,,,,,,,,,,,,,,,,,,,,
