SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Single Family Residential,151 Seale Ave,Palo Alto,CA,94301,7850000,6.0,4.5,PALO ALTO,4686.0,7501.0,2016.0,1,1675.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/151-Seale-Ave-94301/home/1771011,MLSListings,ML81943635,N,Y,37.4334463,-122.1461084,"Detached, Gate/Door Opener, Off-Street Parking",1.0,"Double Sinks, Full on Ground Floor, Half on Ground Floor, Marble, Primary (Sunken Tub), Shower Over Tub, Skylight, 2+ Stall Shower, Stone, Updated Bath(s)",Formal Dining Room,"Tub/Sink, Washer/Dryer",Hardwood,Central Forced Air,"Central Forced Air, Radiant Floors",Public Utilities,2.0,7,7,9,2.5,1675.0,7858808.0,56202.0,100,/100Biker's paradise,61,Somewhat walkable,44,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 30 restaurants, 3 parksTransit21, 22, 280, 281, 296, 397, 89, B7, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), Rapid 522, School 288, School 288M","Sep 29, 2023",Listed (Active)MLSListings #ML81943635,7850000.0,"Dec 15, 2016",Pending (Pending (Do Not Show))MLSListings #ML81626367,NA,"Sep 28, 2016",Listed (Active)MLSListings #ML81626367,5688000.0,https://www.redfin.com/CA/Palo-Alto/151-Seale-Ave-94301/home/1771011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4248 Los Palos Pl,Palo Alto,CA,94306,5300000,4.0,3.0,PALO ALTO,2380.0,10172.0,2020.0,1,2227.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/4248-Los-Palos-Pl-94306/home/621449,MLSListings,ML81943524,N,Y,37.4047503,-122.1251692,Attached Garage,2.0,"Double Sinks, Full on Ground Floor, Shower Over Tub, 2+ Stall Shower, Updated Bath(s)","Dining Area in Living Room, Formal Dining Room","In Utility Room, Washer/Dryer","Hardwood, Tile","Ceiling Fan, Central Forced Air, Whole House Fan",Central Forced Air (Gas),Public Utilities,1.0,8,8,9,2.5,2227.0,5336112.0,37474.0,87,Very bikeable,53,Somewhat walkable,43,Some transit,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 28 restaurants, 3 parksTransit21, 22, 40, 89, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 29, 2023",Listed (Active)MLSListings #ML81943524,5300000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/4248-Los-Palos-Pl-94306/home/621449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,165 Forest Ave Unit 2A,Palo Alto,CA,94301,1700000,2.0,2.0,PALO ALTO,1285.0,1280.0,1981.0,2,1323.0,860.0,Active,,,https://www.redfin.com/CA/Palo-Alto/165-Forest-Ave-94301/unit-2A/home/1302033,MLSListings,ML81943486,N,Y,37.442864,-122.1607313,"Assigned Spaces, Electric Gate, Gate/Door Opener, On Street, Parking Restrictions, Underground Parking",2.0,2+ Showers Over Tubs,Dining Area in Living Room,"Inside, Washer/Dryer","Hardwood, Tile",Central Forced Air,Heat Pump,Public Utilities,1.0,8,7,9,2.5,1323.0,1695415.0,12880.0,100,/100Biker's paradise,98,Walker's paradise,56,Good transit,NA,NA,NA,NA,"Places2 groceries, 45 restaurants, 2 parksTransit21, 22, 280, 281, 296, 397, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943486,1700000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/165-Forest-Ave-94301/unit-2A/home/1302033,"Common Area Electricity, Decks, Exterior Painting, Garbage, Insurance, Insurance (Common Area), Insurance (Liability), Insurance (Structure), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves, Sewer",Monthly,Palo Alto Plaza Home Owners Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,898 Bruce Dr,Palo Alto,CA,94303,4750000,5.0,3.0,PALO ALTO,2690.0,8186.0,2017.0,2,1766.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/898-Bruce-Dr-94303/home/596229,MLSListings,ML81943401,N,Y,37.4376748,-122.1240692,"Attached Garage, Electric Car Hookup",1.0,"Double Sinks, Full on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s))","Eat in Kitchen, Formal Dining Room","Electricity Hookup (220V), Hookup (Gas Dryer), Inside, Washer/Dryer","Tile, Wood",Central Forced Air,Central Forced Air,Public Utilities,2.0,8,8,9,2.5,1766.0,4937452.0,33585.0,94,Biker's paradise,48,Car-dependent,25,Some transit,Major,Moderate,Moderate,Minimal,"Places2 groceries, 12 restaurants, 7 parksTransit21, 22, 280, 81, 89, ACE Orange, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, School 288, School 288L, School 288M, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943401,4750000.0,"Oct 16, 2017",ListedMLSListings #ML81681809,4325000.0,,,,https://www.redfin.com/CA/Palo-Alto/898-Bruce-Dr-94303/home/596229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,930 Van Auken Cir,Palo Alto,CA,94303,2895000,3.0,2.0,PALO ALTO,1428.0,6904.0,1951.0,2,2027.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/930-Van-Auken-Cir-94303/home/593676,MLSListings,ML81943398,N,Y,37.4400878,-122.1225958,Attached Garage,2.0,"Double Sinks, Primary (Stall Shower(s)), Shower Over Tub, Skylight, Solid Surface, Tile, Updated Bath(s)","Dining ""L"", Dining Area, Eat in Kitchen","Inside, Washer/Dryer",Tile,,Electric,Public Utilities,1.0,8,8,9,2.5,2027.0,2907101.0,20469.0,86,Very bikeable,28,Car-dependent,23,Minimal transit,Extreme,Moderate,Moderate,Minimal,"Places2 groceries, 13 restaurants, 6 parksTransit21, 22, 280, 296, 81, 89, ACE Orange, Bus Bridge, L1, L2, L3, L6, School 288, School 288L, School 288M, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943398,2895000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/930-Van-Auken-Cir-94303/home/593676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,286 Walter Hays Dr,Palo Alto,CA,94303,3780000,4.0,2.0,PALO ALTO,1613.0,6611.0,1950.0,2,2343.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/286-Walter-Hays-Dr-94303/home/1853344,MLSListings,ML81943387,N,Y,37.446673,-122.1391883,"Attached Garage, On Street",2.0,,Dining Area in Family Room,Inside,Hardwood,Central Forced Air,Gas,Public Utilities,1.0,8,7,9,2.5,2343.0,3877097.0,26727.0,78,Very bikeable,45,Car-dependent,24,Minimal transit,Moderate,Minimal,Moderate,Minimal,"Places4 groceries, 21 restaurants, 7 parksTransit21, 22, 280, 281, 296, 397, 81, 83, 89, Bus Bridge, L1, L2, L3, L6, School 288, School 288L, School 288M, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943387,3780000.0,"Oct 26, 2019",Pending (Pending (Do Not Show))MLSListings #ML81772718,NA,"Oct 17, 2019",Listed (Active)MLSListings #ML81772718,3198000.0,https://www.redfin.com/CA/Palo-Alto/286-Walter-Hays-Dr-94303/home/1853344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,450 N California Ave,Palo Alto,CA,94301,6389000,4.0,3.0,PALO ALTO,2800.0,8440.0,1937.0,2,2282.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/450-N-California-Ave-94301/home/1486446,MLSListings,ML81942211,N,Y,37.4341202,-122.1380792,"Attached Garage, Gate/Door Opener, Guest/Visitor Parking",2.0,"Bidet, Double Sinks, Shower and Tub, Stall Shower, Tile","Breakfast Nook, Eat in Kitchen, Formal Dining Room","Hookup (Gas Dryer), Tub/Sink, Washer/Dryer","Hardwood, Tile",,"Central Forced Air (Gas), Fireplace","Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,7,7,9,2.5,2282.0,6390692.0,45174.0,100,/100Biker's paradise,67,Somewhat walkable,40,Some transit,Minimal,Minimal,Moderate,Minimal,"Places1 grocery, 28 restaurants, 5 parksTransit21, 22, 280, 81, 89, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M, U","Sep 28, 2023",Listed (Active)MLSListings #ML81942211,6389000.0,"Oct 1, 2015",ListedMLSListings #ML81517112,3988000.0,,,,https://www.redfin.com/CA/Palo-Alto/450-N-California-Ave-94301/home/1486446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,4208 Rickeys Way Unit E,Palo Alto,CA,94306,1988000,3.0,3.0,PALO ALTO,1913.0,932.0,2008.0,2,1039.0,346.0,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/4208-Rickeys-Way-94306/unit-E/home/23044450,MLSListings,ML81943378,N,Y,37.4108152,-122.1220412,"Attached Garage, Gate/Door Opener, Guest/Visitor Parking",2.0,"Double Sinks, Shower and Tub, Shower Over Tub, Tub in Master Bedroom","Breakfast Bar, Breakfast Nook, Dining Area",Inside,"Carpet, Tile",Central Forced Air,Central Forced Air,Public Utilities,3.0,8,8,9,2.5,1039.0,2050271.0,14402.0,97,Biker's paradise,74,Very walkable,43,Some transit,Moderate,Minimal,Moderate,Minimal,"Places4 groceries, 25 restaurants, 7 parksTransit21, 22, 40, 89, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 28, 2023",Listed (Active)MLSListings #ML81943378,1988000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/4208-Rickeys-Way-94306/unit-E/home/23044450,"Common Area Electricity, Common Area Gas, Exterior Painting, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Management Fee",Monthly,Arbor Real Homeowners Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3704 Carlson Cir,Palo Alto,CA,94306,3150000,3.0,3.0,PALO ALTO,1812.0,6525.0,1952.0,3,1738.0,,Active,September-30-2023 12:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/3704-Carlson-Cir-94306/home/1077896,MLSListings,ML81943336,N,Y,37.4183171,-122.1171384,Carport,,"Full on Ground Floor, Primary - Oversized Tub, Skylight, 2+ Stall Shower, Tub in Master Bedroom",Dining Area in Family Room,"Electricity Hookup (220V), In Utility Room, Inside, Washer/Dryer","Carpet, Tile",,Forced Air,Public Utilities,1.0,8,8,9,2.5,1738.0,3175132.0,22552.0,96,Biker's paradise,66,Somewhat walkable,36,Some transit,Minimal,Minor,Moderate,Minimal,"Places4 groceries, 14 restaurants, 12 parksTransit21, 22, ACE Orange, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 27, 2023",Listed (Active)MLSListings #ML81943336,3150000.0,"May 10, 2002",Listing RemovedMLSListings #ML80215438,NA,"Apr 2, 2002",ListedMLSListings #ML80215438,839000.0,https://www.redfin.com/CA/Palo-Alto/3704-Carlson-Cir-94306/home/1077896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2077 Williams St,Palo Alto,CA,94306,3298000,4.0,2.5,PALO ALTO,1572.0,6250.0,1961.0,3,2098.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/2077-Williams-St-94306/home/906895,MLSListings,ML81943296,N,Y,37.4253137,-122.1501893,Detached,1.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Shower and Tub, Tile, Updated Bath(s)",Dining Area,Washer/Dryer,"Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),Public Utilities,1.0,8,7,9,2.5,2098.0,3330619.0,23319.0,100,/100Biker's paradise,92,Walker's paradise,45,Some transit,Minimal,Moderate,Moderate,Minimal,"Places5 groceries, 32 restaurants, 1 parkTransit21, 22, 89, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), Rapid 522, School 288, School 288M, U","Sep 27, 2023",Listed (Active)MLSListings #ML81943296,3298000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/2077-Williams-St-94306/home/906895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
