SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,DINNING_DESC,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,HAS_GARAGE,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,BATH_DESCRIPTION,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Single Family Residential,218 A St,Redwood City,CA,94063,999950,3.0,1.0,REDWOOD CITY,1200.0,5000.0,1942.0,1,833.0,,Active,,,https://www.redfin.com/CA/Redwood-City/218-A-St-94063/home/1926240,MLSListings,ML81943640,N,Y,37.492343,-122.2386405,On Street,Eat in Kitchen,Other (See Remarks),Public Utilities,1.0,NA,3,6,2.5,833.0,1000481.0,7070.0,83,Very bikeable,92,Walker's paradise,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 21 restaurants, 2 parksTransit260, 270, 275, 278, 295, 296, 397, 398, 61, 73, 79, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943640,999950.0,https://www.redfin.com/CA/Redwood-City/218-A-St-94063/home/1926240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),134 Broadway St,Redwood City,CA,94063,1398000,3.0,2.0,REDWOOD CITY,1730.0,6000.0,1952.0,1,808.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/134-Broadway-St-94063/home/1845024,MLSListings,ML81943582,N,Y,37.4849376,-122.1988348,"Attached Garage, Carport",,Other (See Remarks),"Individual Electric Meters, Individual Gas Meters, Public Utilities",1.0,3,NA,6,2.5,808.0,1416873.0,9885.0,75,Very bikeable,68,Somewhat walkable,Major,Minimal,Moderate,Minimal,"Places6 groceries, 14 restaurants, 4 parksTransit270, 275, 278, 296, 397, 72, 79, 82, 83, 84, 88, ECR, M3 Shuttle, M3 Shuttle (City of Menlo Park), MPT Shuttle, SEA Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943582,1398000.0,https://www.redfin.com/CA/Redwood-City/134-Broadway-St-94063/home/1845024,2.0,Hookups Only,"Hardwood, Laminate, Tile","Whole House Fan, Other (See Remarks)","Feb 16, 2001",Listing RemovedMLSListings #ML80100146,NA,"Jan 1, 2001",ListedMLSListings #ML80100146,610000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),416 Poplar Ave,Redwood City,CA,94061,1840000,5.0,3.0,REDWOOD CITY,2733.0,5760.0,1958.0,1,673.0,,Active,,,https://www.redfin.com/CA/Redwood-City/416-Poplar-Ave-94061/home/810576,MLSListings,ML81943561,N,Y,37.4730495,-122.2259275,Attached Garage,,Wall Furnace,"Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,3,NA,6,2.5,673.0,1835963.0,13010.0,72,Very bikeable,78,Very walkable,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 26 restaurants, 4 parksTransit270, 275, 278, 295, 296, 397, 398, 72, 79, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943561,1840000.0,https://www.redfin.com/CA/Redwood-City/416-Poplar-Ave-94061/home/810576,3.0,Washer/Dryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,800 Alameda De Las Pulgas,Redwood City,CA,94061,2089000,3.0,3.0,REDWOOD CITY,1991.0,8050.0,1952.0,1,1049.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Redwood-City/800-Alameda-de-las-Pulgas-94061/home/2002302,MLSListings,ML81943539,N,Y,37.4662528,-122.2459105,"Attached Garage, On Street","Dining Area in Family Room, Dining Bar",Central Forced Air,Primary Meter,2.0,NA,NA,6,2.5,1049.0,2087379.0,14771.0,55,Bikeable,77,Very walkable,Minimal,Minor,Moderate,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit270, 275, 278, 295, 296, 397, 398, 72, 73, 79, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6","Sep 29, 2023",Listed (Active)MLSListings #ML81943539,2089000.0,https://www.redfin.com/CA/Redwood-City/800-Alameda-de-las-Pulgas-94061/home/2002302,1.0,"In Utility Room, Inside, Washer/Dryer",Hardwood,,,,,,,,"Primary (Stall Shower(s)), Shower Over Tub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,200 Star Hill Rd,Woodside,CA,94062,1725000,4.0,2.0,WOODSIDE,2040.0,23760.0,1948.0,1,846.0,,Active,,,https://www.redfin.com/CA/Woodside/200-Star-Hill-Rd-94062/home/2020301,MLSListings,ML81941659,N,Y,37.422079,-122.3280974,"Detached, On Street",Dining Area in Living Room,Central Forced Air (Gas),"Primary Meter, Propane On Site, Public Utilities",2.0,NA,NA,NA,2.5,846.0,1726717.0,12197.0,24,Somewhat bikeable,2,Car-dependent,Minimal,Moderate,Minimal,Minimal,"Places4 groceries, 16 restaurants, 28 parksTransit17, 18, 260, 275, 278, 294, 295, 56, 58, 60, 61, 62, 67, 68, 73, 79, 85, 87, 95","Sep 29, 2023",Listed (Active)MLSListings #ML81941659,1725000.0,https://www.redfin.com/CA/Woodside/200-Star-Hill-Rd-94062/home/2020301,1.0,"Dryer, Washer","Tile, Vinyl/Linoleum, Wood",,,,,,,,"Full on Ground Floor, Primary (Tub w/ Jets), 2+ Showers Over Tubs, Tile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1610 Arguello St,Redwood City,CA,94063,1775000,4.0,3.0,REDWOOD CITY,1810.0,5000.0,1941.0,2,981.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/1610-Arguello-St-94063/home/806694,MLSListings,ML81943501,N,Y,37.4935077,-122.2403944,"Carport, Detached, Off-Street Parking, On Street",Dining Area,Gas,Public Utilities,2.0,NA,3,6,2.5,981.0,1770730.0,12550.0,82,Very bikeable,88,Very walkable,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 25 restaurants, 2 parksTransit260, 270, 275, 278, 295, 296, 397, 398, 61, 73, 79, 95, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, MPT Shuttle, SEA Shuttle","Sep 28, 2023",Listed (Active)MLSListings #ML81943501,1775000.0,https://www.redfin.com/CA/Redwood-City/1610-Arguello-St-94063/home/806694,2.0,Inside,,,,,,,,,"Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tub in Master Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,802 Corriente Point Dr,Redwood Shores,CA,94065,3096900,4.0,3.0,Redwood Shores,2890.0,5445.0,1996.0,2,1072.0,350.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Redwood-City/802-Corriente-Point-Dr-94065/home/1464285,MLSListings,ML81943487,N,Y,37.5379746,-122.2485721,"Attached Garage, Common Parking Area","Dining Area in Living Room, No Formal Dining Room",Central Forced Air (Gas),Public Utilities,2.0,7,9,9,2.0,1072.0,3108032.0,22247.0,70,Very bikeable,26,Car-dependent,Extreme,Moderate,Moderate,Minimal,"Places5 groceries, 16 restaurants, 18 parksTransit251, 256, 260, 54, 57, 60, 62, 67, 68, FCX, RLC Shuttle","Sep 28, 2023",Listed (Active)MLSListings #ML81943487,3096900.0,https://www.redfin.com/CA/Redwood-City/802-Corriente-Point-Dr-94065/home/1464285,1.0,"Electricity Hookup (220V), Upper Floor, Washer/Dryer","Carpet, Laminate, Marble",Central Forced Air,,,,,,,"Full on Ground Floor, Solid Surface","Common Area Electricity, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis",Monthly,Laguna Point,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,568 Island Pl,Redwood City,CA,94065,2850000,4.0,3.5,REDWOOD CITY,2310.0,6900.0,1987.0,2,1234.0,300.0,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Redwood-City/568-Island-Pl-94065/home/940555,MLSListings,ML81943455,N,Y,37.5330677,-122.2535296,Attached Garage,"Breakfast Nook, Dining Area, Dining Area in Living Room, Eat in Kitchen","Fireplace, Forced Air",Public Utilities,2.0,7,9,9,2.5,1234.0,3126220.0,20451.0,71,Very bikeable,25,Car-dependent,Extreme,Minimal,Moderate,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 260, 397, 398, 54, 57, 60, 62, 67, 68, Bus Bridge, ECR, FCX, L1, L2, L3, L6, RLC Shuttle","Sep 28, 2023",Listed (Active)MLSListings #ML81943455,2850000.0,https://www.redfin.com/CA/Redwood-City/568-Island-Pl-94065/home/940555,2.0,In Garage,Hardwood,Central Forced Air,"Apr 26, 2016",Pending (Pending (Do Not Show))MLSListings #ML81580701,NA,"Apr 17, 2016",Listed (Active)MLSListings #ML81580701,1850000.0,"Double Sinks, Full on Ground Floor, Shower and Tub, Tile, Tub in Master Bedroom","Common Area Electricity, Maintenance (Common Area)",Monthly,Shorebird Island Owners Associat,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,12 Melvin Henry Ct,Redwood City,CA,94061,2600000,4.0,2.5,REDWOOD CITY,2660.0,5508.0,1990.0,2,977.0,,Active,October-1-2023 02:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Redwood-City/12-Melvin-Henry-Ct-94061/home/1959375,MLSListings,ML81943429,N,Y,37.4489408,-122.2283679,"Attached Garage, Electric Car Hookup",Formal Dining Room,Forced Air,Public Utilities,2.0,3,NA,6,2.5,977.0,,18384.0,63,Bikeable,53,Somewhat walkable,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 28 restaurants, 1 parkTransit275, 278, 286, 72, 79, 82, 83, 84, 87, ECR, M1 Shuttle, M1 Shuttle (City of Menlo Park)","Sep 28, 2023",Listed (Active)MLSListings #ML81943429,2600000.0,https://www.redfin.com/CA/Redwood-City/12-Melvin-Henry-Ct-94061/home/1959375,2.0,"In Utility Room, Washer/Dryer","Hardwood, Tile",Central Forced Air,"Feb 13, 2008",Listing RemovedMLSListings #ML80758435,NA,"Jan 9, 2008",ContingentMLSListings #ML80758435,NA,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Primary (Sunken Tub), Shower and Tub",,,,"Nov 16, 2007",Price ChangedMLSListings #ML80758435,1350000.0,"Oct 18, 2007",ListedMLSListings #ML80758435,1400000.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1131 Foothill St,Redwood City,CA,94061,1880000,4.0,2.0,REDWOOD CITY,1460.0,7100.0,1953.0,2,1288.0,,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Redwood-City/1131-Foothill-St-94061/home/1898252,MLSListings,ML81943417,N,Y,37.4605518,-122.2473534,Attached Garage,"Dining Area, Eat in Kitchen",Forced Air,Public Utilities,1.0,NA,NA,6,2.5,1288.0,1913232.0,13293.0,46,Somewhat bikeable,54,Somewhat walkable,Minimal,Minor,Moderate,Minimal,"Places4 groceries, 19 restaurants, 9 parksTransit270, 275, 278, 295, 296, 397, 398, 72, 73, 79, 87, 95, ECR","Sep 28, 2023",Listed (Active)MLSListings #ML81943417,1880000.0,https://www.redfin.com/CA/Redwood-City/1131-Foothill-St-94061/home/1898252,2.0,In Garage,"Carpet, Hardwood, Tile","Ceiling Fan, Central Forced Air",,,,,,,"Primary (Stall Shower(s)), Shower and Tub, Solid Surface, Tile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
