SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE
MLS Listing,,Single Family Residential,6544 Little Falls Dr,San Jose,CA,95120,2378999,4.0,2.5,SAN JOSE,2364.0,10610.0,1965.0,3,1006.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/6544-Little-Falls-Dr-95120/home/1317823,MLSListings,ML81940360,N,Y,37.216909,-121.8700034,Attached Garage,2.0,Double Sinks,"Breakfast Bar, Dining Area in Family Room, Formal Dining Room",Hardwood,Central Forced Air,Central Forced Air,Public Utilities,1.0,9,7,8,2.0,1006.0,2385421.0,16821.0,37,Somewhat bikeable,45,Car-dependent,26,Some transit,Minimal,Moderate,Moderate,Minimal,"Places5 groceries, 21 restaurants, 18 parksTransit27, 64A, 64B, 83","Sep 26, 2023",Listed (Active)MLSListings #ML81940360,2378999.0,https://www.redfin.com/CA/San-Jose/6544-Little-Falls-Dr-95120/home/1317823,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,922 Gaspar Vis,San Jose,CA,95126,1200000,4.0,4.0,SAN JOSE,1930.0,984.0,2009.0,3,622.0,318.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/922-Gaspar-Vis-95126/home/28895153,MLSListings,ML81940163,N,Y,37.3213381,-121.9041297,"Attached Garage, Guest/Visitor Parking, On Street",2.0,"Dual Flush Toilet, Primary (Stall Shower(s)), Primary (Sunken Tub)","Dining Area in Living Room, No Formal Dining Room","Carpet, Hardwood, Tile",Central Forced Air,Other (See Remarks),Public Utilities,3.0,3,3,6,2.5,622.0,1201607.0,8803.0,87,Very bikeable,81,Very walkable,61,Good transit,Moderate,Minimal,Major,Minimal,"Places3 groceries, 12 restaurants, 5 parksTransit17, 22, 23, 64A, 64B, 68, ACE, ACETrain, B7, Blue (Trsa-StJa), Blue Line, Blue Line (Blos-Trsa), Blue Line Modified, Blue Line Special, Blue-Event, Blue-North Portion, Blue-South Portion, BlueN, BlueS, BusBridge (6/9-6/15), BusBridge (San Antonio), CC, Event Blue, Event Green, Event-Blue, Event-Green, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-South Portion, GreenS, L1, L2, L3, L4, L5, L6, Levi's - Santa Teresa, Levi's - Winchester, Rapid 500, Rapid 522, Rapid 523, Rapid 568, Route 6, SCVMC, SCVMC Shuttle","Sep 26, 2023",Listed (Active)MLSListings #ML81940163,1200000.0,https://www.redfin.com/CA/San-Jose/922-Gaspar-Vis-95126/home/28895153,"Inside, Washer/Dryer",Other (See Remarks),Monthly,Monte Vista HOA,"Apr 12, 2017",ContingentMLSListings #ML81644913,NA,"Apr 1, 2017",Listed (Active)MLSListings #ML81644913,799000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4993 Grimsby Dr,San Jose,CA,95130,2498888,4.0,2.5,SAN JOSE,1955.0,5636.0,1965.0,3,1278.0,,Active,September-30-2023 11:00 AM,September-30-2023 02:00 PM,https://www.redfin.com/CA/San-Jose/4993-Grimsby-Dr-95130/home/1697470,MLSListings,ML81943157,N,Y,37.2804434,-121.9886765,Electric Car Hookup,2.0,,Dining Area,,Central Forced Air,Central Forced Air,"Public Utilities, Solar Panels - Leased",1.0,8,6,7,2.5,1278.0,2523229.0,17669.0,58,Bikeable,18,Car-dependent,35,Some transit,Moderate,Minimal,Moderate,Minimal,"Places2 groceries, 22 restaurants, 2 parksTransit26, 27, 37, 56, 57, Express 101","Sep 26, 2023",Listed (Active)MLSListings #ML81943157,2498888.0,https://www.redfin.com/CA/San-Jose/4993-Grimsby-Dr-95130/home/1697470,,,,,"Aug 5, 2010",Pending (Pending (Do Not Show))MLSListings #ML81022077,NA,"Jun 24, 2010",Pending (Pending Without Release)MLSListings #ML81022077,NA,"Jun 9, 2010",Price ChangedMLSListings #ML81022077,679500.0,"May 4, 2010",Listed (Active)MLSListings #ML81022077,699900.0,,,,,,,,,
MLS Listing,,Single Family Residential,818 N 13th St,San Jose,CA,95112,1118000,3.0,1.0,SAN JOSE,1316.0,5404.0,1910.0,4,850.0,,Active,,,https://www.redfin.com/CA/San-Jose/818-N-13th-St-95112/home/1548418,MLSListings,ML81943043,N,Y,37.3578108,-121.8895021,Detached,2.0,,Dining Area,Laminate,Central Forced Air,Central Forced Air,Public Utilities,1.0,4,3,3,2.5,850.0,1126330.0,7905.0,92,Biker's paradise,79,Very walkable,51,Good transit,Minimal,Minimal,Major,Minimal,"Places7 groceries, 29 restaurants, 4 parksTransit17, 22, 23, 61, 64A, 64B, 66, 70, 72, 73, 77, BB (Sep23), Blue (Civc-Bayp), Blue (Trsa-StJa), Blue Line, Blue Line (Blos-Trsa), Blue Line Modified, Blue Line Special, Blue-Event, Blue-North Portion, Blue-South Portion, BlueBB (9/1/23-9/14/23), BlueN, BlueS, BusBridge (5/22-6/4), BusBridge (Bypt-Civc), BusBridge 12/17-18, Event Blue, Event Green, Event Special, Event-Blue, Event-Green, Event-Special, Green (Civc-OldI), Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-N, Green-North Portion, Green-S, Green-South Portion, GreenN, GreenS, Levi's - Mtn View, Levi's - Santa Teresa, Levi's - Winchester, Light Rail Special, Orange-N, Orange-S, Rapid 500, Special Event","Sep 25, 2023",Listed (Active)MLSListings #ML81943043,1118000.0,https://www.redfin.com/CA/San-Jose/818-N-13th-St-95112/home/1548418,"Inside, Washer/Dryer",,,,"Jun 16, 2022",Pending (Pending (Do Not Show))MLSListings #ML81884118,NA,"Jun 8, 2022",Relisted (Active)MLSListings #ML81884118,NA,"Jun 2, 2022",Pending (Pending (Do Not Show))MLSListings #ML81884118,NA,"May 12, 2022",Relisted (Active)MLSListings #ML81884118,NA,"Apr 13, 2022",ContingentMLSListings #ML81884118,NA,"Mar 26, 2022",Listed (Active)MLSListings #ML81884118,1150000.0,,,
MLS Listing,,Single Family Residential,2451 Cory Ave,San Jose,CA,95128,899999,3.0,1.0,SAN JOSE,1040.0,7230.0,1950.0,7,865.0,,Active,,,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,MLSListings,ML81942790,N,Y,37.3319824,-121.9487775,"Off-Street Parking, Uncovered Parking",,,Other (See Remarks),,Other (See Remarks),Other (See Remarks),Public Utilities,1.0,5,3,6,2.5,865.0,976068.0,6364.0,80,Very bikeable,67,Somewhat walkable,42,Some transit,Minimal,Minimal,Major,Minimal,"Places4 groceries, 32 restaurants, 0 parksTransit21, 22, 23, 25, 53, 59, 60, 61, Rapid 523","Sep 22, 2023",Listed (Active)MLSListings #ML81942790,899999.0,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,In Garage,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1037 Keltner Ave,San Jose,CA,95117,1498000,4.0,2.0,SAN JOSE,1236.0,6613.0,1958.0,9,1212.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1037-Keltner-Ave-95117/home/749377,MLSListings,ML81942573,N,Y,37.3077923,-121.9681735,Attached Garage,2.0,"Primary (Stall Shower(s)), Shower and Tub, Solid Surface, Tile, Updated Bath(s)",Dining Area in Living Room,"Carpet, Laminate, Tile",Ceiling Fan,Central Forced Air,Public Utilities,1.0,5,6,7,2.5,1212.0,1711085.0,10592.0,59,Bikeable,53,Somewhat walkable,38,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 38 restaurants, 0 parksTransit23, 25, 26, 56, 57, 59, 60, Express 101, Rapid 523","Sep 20, 2023",Listed (Active)MLSListings #ML81942573,1498000.0,https://www.redfin.com/CA/San-Jose/1037-Keltner-Ave-95117/home/749377,Washer/Dryer,,,,"Feb 4, 2018",Pending (Pending (Do Not Show))MLSListings #ML81689770,NA,"Jan 22, 2018",Listed (Active)MLSListings #ML81689770,998888.0,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1882 Winding Creek Ct,San Jose,CA,95148,858000,2.0,2.5,SAN JOSE,1473.0,1974.0,1984.0,10,582.0,466.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1882-Winding-Creek-Ct-95148/home/1109067,MLSListings,ML81942039,N,Y,37.3503339,-121.794899,Attached Garage,2.0,,Dining Area in Family Room,"Carpet, Laminate, Tile","Ceiling Fan, Central Forced Air",Central Forced Air,Public Utilities,2.0,3,3,4,2.5,582.0,,6533.0,39,Somewhat bikeable,20,Car-dependent,18,Minimal transit,Minimal,Major,Major,Minimal,"Places5 groceries, 21 restaurants, 5 parksTransit22, 25, 26, 31, 39, 70, 71, 77, Express 103, Rapid 522","Sep 19, 2023",Listed (Active)MLSListings #ML81942039,858000.0,https://www.redfin.com/CA/San-Jose/1882-Winding-Creek-Ct-95148/home/1109067,Inside,"Common Area Gas, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis",Monthly,Terrace Hills HOA,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1475 Mckendrie St,San Jose,CA,95126,2300000,6.0,4.0,SAN JOSE,3096.0,10376.0,1925.0,23,743.0,,Active,,,https://www.redfin.com/CA/San-Jose/1475-McKendrie-St-95126/home/1719627,MLSListings,ML81938281,N,Y,37.3375957,-121.9306671,"Detached, Electric Car Hookup",3.0,,"Breakfast Bar, Dining Area",,"Central Forced Air, Multi-Zone",Central Forced Air,"Natural Gas, Public Utilities",1.0,5,3,6,2.5,743.0,2272129.0,16262.0,79,Very bikeable,54,Somewhat walkable,44,Some transit,Minimal,Minimal,Major,Minimal,"Places0 groceries, 22 restaurants, 3 parksTransit21, 22, 23, 53, 59, 60, 61, ACE, ACETrain, BusBridge Caltrain (MPK-SCL)), CC, L1, L2, L3, L4, L5, L6, Rapid 522, Rapid 523","Sep 6, 2023",Listed (Active)MLSListings #ML81938281,2300000.0,https://www.redfin.com/CA/San-Jose/1475-McKendrie-St-95126/home/1719627,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1060 S 3rd St #381,San Jose,CA,95112,490000,1.0,1.0,SAN JOSE,667.0,,2005.0,37,735.0,575.0,Active,,,https://www.redfin.com/CA/San-Jose/1060-S-3rd-St-95112/unit-381/home/2124611,MLSListings,ML81939622,N,Y,37.3217979,-121.8760512,"Assigned Spaces, Gate/Door Opener, Guest/Visitor Parking, Underground Parking",1.0,"Granite, Shower and Tub, Tile",Dining Area,,Central Forced Air,Central Forced Air,Public Utilities,1.0,3,3,6,2.5,735.0,486390.0,4040.0,88,Very bikeable,85,Very walkable,54,Good transit,Minimal,Minimal,Major,Minimal,"Places2 groceries, 33 restaurants, 1 parkTransit17, 23, 25, 56, 66, 68, 72, 73, Blue (Trsa-StJa), Blue Line, Blue Line (Blos-Trsa), Blue Line Modified, Blue Line Special, Blue-Event, Blue-North Portion, Blue-South Portion, BlueN, BlueS, BusBridge (6/9-6/15), BusBridge (7/25-8/13), BusBridge (San Antonio), Event Blue, Event Green, Event-Blue, Event-Green, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-North Portion, Green-South Portion, GreenN, GreenS, L1, L2, L3, L4, L5, L6, Levi's - Santa Teresa, Levi's - Winchester, Rapid 523, Rapid 568, School 256","Sep 11, 2023",Price ChangedMLSListings #ML81939622,490000.0,https://www.redfin.com/CA/San-Jose/1060-S-3rd-St-95112/unit-381/home/2124611,Washer/Dryer,"Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Heating, Insurance, Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Roof, Water",Monthly,San Jose Brickyard Association,"Aug 23, 2023",Listed (Active)MLSListings #ML81939622,495000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1375 Lick Ave #1030,San Jose,CA,95110,615000,1.0,1.0,SAN JOSE,687.0,,2009.0,59,895.0,515.0,Active,,,https://www.redfin.com/CA/San-Jose/1375-Lick-Ave-95110/unit-1030/home/17290531,MLSListings,ML81936870,N,Y,37.311013,-121.882429,"Assigned Spaces, Common Parking Area, Enclosed, Guest/Visitor Parking, Underground Parking",1.0,Shower Over Tub,Dining Area in Family Room,Laminate,"Central Forced Air, Other (See Remarks)",Central Forced Air,Public Utilities,1.0,3,6,6,2.5,895.0,607312.0,4863.0,73,Very bikeable,72,Very walkable,56,Good transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 35 restaurants, 3 parksTransit25, 26, 56, 64A, 66, 68, Blue (Trsa-StJa), Blue Line, Blue Line (Blos-Trsa), Blue Line Modified, Blue Line Special, Blue-Event, Blue-North Portion, Blue-South Portion, BlueN, BlueS, BusBridge (6/9-6/15), BusBridge (7/25-8/13), BusBridge (San Antonio), Event Blue, Event-Blue, L1, L2, L3, L4, L5, L6, Levi's - Santa Teresa, Rapid 568, School 256","Aug 1, 2023",Listed (Active)MLSListings #ML81936870,615000.0,https://www.redfin.com/CA/San-Jose/1375-Lick-Ave-95110/unit-1030/home/17290531,"Inside, Washer/Dryer","Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Insurance (Structure), Maintenance (Exterior), Pools, Spa, or Tennis, Recreation Facility, Roof, Security Service",Monthly,Skyline at Tamien Station,"Jul 12, 2021",Pending (Pending (Do Not Show))MLSListings #ML81849397,NA,"Jun 28, 2021",ContingentMLSListings #ML81849397,NA,"Jun 17, 2021",Listed (Active)MLSListings #ML81849397,548888.0,,,,,,,,,,,,
