SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,HAS_GARAGE,BATH_DESCRIPTION,FLOORING_FEATURES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,FEES_INCLUDE,HOA_NAME,HOA_FEE_FREQ,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE
MLS Listing,,Single Family Residential,2451 Cory Ave,San Jose,CA,95128,899999,3.0,1.0,SAN JOSE,1040.0,7230.0,1950.0,8.0,865.0,,Active,,,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,MLSListings,ML81942790,N,Y,37.3319824,-121.9487775,"Off-Street Parking, Uncovered Parking",Other (See Remarks),In Garage,Other (See Remarks),Other (See Remarks),Public Utilities,1.0,5,3,6,2.5,865.0,942691.0,6364.0,80,Very bikeable,67,Somewhat walkable,42,Some transit,Minimal,Minimal,Major,Minimal,"Places4 groceries, 32 restaurants, 0 parksTransit21, 22, 23, 25, 53, 59, 60, 61, Rapid 523","Sep 22, 2023",Listed (Active)MLSListings #ML81942790,899999.0,https://www.redfin.com/CA/San-Jose/2451-Cory-Ave-95128/home/1774434,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3576 Golden State Dr,Santa Clara,CA,95051,1599800,3.0,2.0,SANTA CLARA,1166.0,5200.0,1954.0,1.0,1372.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3576-Golden-State-Dr-95051/home/733956,MLSListings,ML81943650,N,Y,37.3433961,-121.9947845,Attached Garage,Dining Area in Family Room,In Garage,Central Forced Air,Forced Air,Public Utilities,1.0,5,6,7,2.5,1372.0,,11312.0,66,Bikeable,76,Very walkable,37,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 27 restaurants, 1 parkTransit21, 22, 23, 53, 56, 57, Express 101, Rapid 522, Rapid 523","Sep 29, 2023",Listed (Active)MLSListings #ML81943650,1599800.0,https://www.redfin.com/CA/Santa-Clara/3576-Golden-State-Dr-95051/home/733956,2.0,"Shower and Tub, Skylight, Stall Shower","Carpet, Tile, Vinyl/Linoleum","Jan 30, 2020",Pending (Pending (Do Not Show))MLSListings #ML81778917,NA,"Jan 27, 2020",Relisted (Active)MLSListings #ML81778917,NA,"Jan 23, 2020",Pending (Pending (Do Not Show))MLSListings #ML81778917,NA,"Jan 13, 2020",Listed (Active)MLSListings #ML81778917,1238000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,330 Crestview Dr,Santa Clara,CA,95050,2388800,4.0,3.5,SANTA CLARA,2330.0,7198.0,1956.0,1.0,1025.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/330-Crestview-Dr-95050/home/1777068,MLSListings,ML81943577,N,Y,37.3316866,-121.9538213,Attached Garage,Dining Area in Living Room,"Hookup (Gas Dryer), Inside",Central Forced Air,Central Forced Air (Gas),Public Utilities,1.0,6,5,7,2.5,1025.0,2376713.0,16890.0,78,Very bikeable,62,Somewhat walkable,41,Some transit,Minimal,Minimal,Major,Minimal,"Places5 groceries, 27 restaurants, 3 parksTransit21, 22, 23, 25, 53, 57, 59, 60, Rapid 523","Sep 29, 2023",Listed (Active)MLSListings #ML81943577,2388800.0,https://www.redfin.com/CA/Santa-Clara/330-Crestview-Dr-95050/home/1777068,2.0,"Double Sinks, Primary (Stall Shower(s)), Shower Over Tub, Updated Bath(s)",Hardwood,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3145 Dorcich St,Santa Clara,CA,95050,2488000,5.0,3.0,SANTA CLARA,2487.0,10202.0,1955.0,1.0,1000.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/3145-Dorcich-St-95050/home/1263251,MLSListings,ML81943575,N,Y,37.3252485,-121.951866,"Attached Garage, On Street, Room for Oversized Vehicle","Breakfast Nook, Dining Area, No Formal Dining Room","Electricity Hookup (220V), In Utility Room, Inside, Tub/Sink","Ceiling Fan, Central Forced Air, Multi-Zone","Central Forced Air, Electric, Fireplace, Radiant Floors",Public Utilities,1.0,6,NA,6,2.5,1000.0,2480485.0,17592.0,82,Very bikeable,90,Walker's paradise,48,Some transit,Minimal,Minimal,Major,Minimal,"Places3 groceries, 45 restaurants, 2 parksTransit23, 25, 53, 57, 59, 60, 61, Rapid 523, SCVMC, SCVMC Shuttle","Sep 29, 2023",Listed (Active)MLSListings #ML81943575,2488000.0,https://www.redfin.com/CA/Santa-Clara/3145-Dorcich-St-95050/home/1263251,2.0,"Double Sinks, Dual Flush Toilet, Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tile, Updated Bath(s)","Laminate, Tile",,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1043 Pomeroy Ave,Santa Clara,CA,95051,2100000,4.0,2.5,SANTA CLARA,1670.0,3322.0,2022.0,1.0,1257.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/1043-Pomeroy-Ave-95051/home/176530428,MLSListings,ML81941733,N,Y,37.345668,-121.9867441,"Attached Garage, Off-Street Parking",Dining Area,"Electricity Hookup (220V), Hookup (Gas Dryer)","Ceiling Fan, Central Forced Air",Central Forced Air,Public Utilities,2.0,5,6,7,2.5,1257.0,2110287.0,14848.0,64,Bikeable,69,Somewhat walkable,41,Some transit,Minimal,NA,Moderate,Minimal,"Places4 groceries, 25 restaurants, 2 parksTransit21, 22, 23, 53, 57, Rapid 522, Rapid 523","Sep 29, 2023",Listed (Active)MLSListings #ML81941733,2100000.0,https://www.redfin.com/CA/Santa-Clara/1043-Pomeroy-Ave-95051/home/176530428,2.0,"Double Sinks, Half on Ground Floor, Primary (Stall Shower(s)), Stall Shower, Tub in Master Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1790 Warburton Ave #4,Santa Clara,CA,95050,1518000,3.0,2.5,SANTA CLARA,1778.0,,2023.0,2.0,854.0,337.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/1790-Warburton-Ave-95050/unit-4/home/185588801,MLSListings,ML81937068,N,Y,37.3558507,-121.9580821,Attached Garage,Dining Area in Living Room,Inside,Central Forced Air,Gas,Public Utilities,2.0,3,5,7,2.5,854.0,1519785.0,11070.0,72,Very bikeable,87,Very walkable,47,Some transit,Minimal,Minimal,Major,Minimal,"Places6 groceries, 28 restaurants, 3 parksTransit21, 22, 53, 57, 59, 60, ACE Yellow, Rapid 522","Sep 28, 2023",Listed (Active)MLSListings #ML81937068,1518000.0,https://www.redfin.com/CA/Santa-Clara/1790-Warburton-Ave-95050/unit-4/home/185588801,2.0,"Double Sinks, Shower and Tub","Carpet, Hardwood, Tile",,,,,,,,,,,,,"Common Area Electricity, Common Area Gas, Insurance (Common Area)",Warburton Townhome Homeowners Assoc.,,,,,,,,,,
MLS Listing,,Condo/Co-op,2813 Newhall St,Santa Clara,CA,95050,999880,2.0,2.5,SANTA CLARA,1365.0,1271.0,2016.0,2.0,733.0,528.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Santa-Clara/2813-Newhall-St-95050/home/112869399,MLSListings,ML81943459,N,Y,37.339099,-121.956128,"Covered Parking, Detached, Electric Car Hookup, Electric Gate, Gate/Door Opener, On Street","Breakfast Bar, Dining Area, Dining Area in Living Room","Inside, Washer/Dryer","Ceiling Fan, Central Forced Air",Central Forced Air (Gas),Public Utilities,2.0,6,5,7,2.5,733.0,1001773.0,7598.0,82,Very bikeable,74,Very walkable,38,Some transit,Minimal,Minimal,Major,Minimal,"Places4 groceries, 13 restaurants, 4 parksTransit21, 22, 23, 53, 57, 59, 60, Rapid 522, Rapid 523","Sep 28, 2023",Listed (Active)MLSListings #ML81943459,999880.0,https://www.redfin.com/CA/Santa-Clara/2813-Newhall-St-95050/home/112869399,2.0,"Dual Flush Toilet, Granite, Half on Ground Floor, Primary (Stall Shower(s)), Shower and Tub, Stall Shower","Tile, Wood",,,,,,,,,,,,,"Common Area Electricity, Common Area Gas, Decks, Exterior Painting, Garbage, Hot Water, Insurance (Common Area), Insurance (Structure), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves, Roof, Water/Sewer",CommuniTAS,Monthly,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),2036 Klamath Ave,Santa Clara,CA,95051,3650000,15.0,14.0,SANTA CLARA,7854.0,11534.0,1970.0,2.0,465.0,,Active,,,https://www.redfin.com/CA/Santa-Clara/2036-Klamath-Ave-95051/home/646493,MLSListings,ML81943477,N,Y,37.3593203,-121.9972054,Carport,,,Central Forced Air,Forced Air,"Individual Electric Meters, Individual Gas Meters",,7,6,8,2.0,465.0,,25808.0,71,Very bikeable,69,Somewhat walkable,38,Some transit,Severe,Minimal,Major,Minimal,"Places4 groceries, 37 restaurants, 4 parksTransit20, 21, 22, 53, 56, 57, ACE Gray, L1, L2, L3, L6, Rapid 522","Sep 29, 2023",Relisted (Active)MLSListings #ML81943477,NA,https://www.redfin.com/CA/Santa-Clara/2036-Klamath-Ave-95051/home/646493,,,,"Sep 29, 2023",Listing RemovedMLSListings #ML81943477,NA,"Sep 28, 2023",Listed (Active)MLSListings #ML81943477,3650000.0,"Jun 9, 2016",Pending (Pending (Do Not Show))MLSListings #ML81585272,NA,"May 12, 2016",Listed (Active)MLSListings #ML81585272,3465000.0,,,,,,,,,,,,
MLS Listing,,Townhouse,2915 Corvin Dr #161,Santa Clara,CA,95051,1658888,4.0,4.5,SANTA CLARA,2005.0,690.0,2021.0,2.0,827.0,320.0,Active,October-1-2023 02:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Santa-Clara/2915-Corvin-Dr-95051/unit-161/home/176523264,MLSListings,ML81943376,N,Y,37.3750467,-121.987648,"Attached Garage, Common Parking Area, Off-Street Parking","Breakfast Nook, Dining Area",Inside,"Central Forced Air, Multi-Zone","Central Forced Air (Gas), Heating (2+ Zones)",Public Utilities,3.0,5,6,8,2.5,827.0,,12049.0,62,Bikeable,36,Car-dependent,37,Some transit,Minimal,NA,Major,Minimal,"Places3 groceries, 37 restaurants, 0 parksTransit20, 21, 55, 57, 59, ACE Gray, ACE Green, ACE Yellow, Express 121, L1, L2, L3, L6, School 255","Sep 28, 2023",Listed (Active)MLSListings #ML81943376,1658888.0,https://www.redfin.com/CA/Santa-Clara/2915-Corvin-Dr-95051/unit-161/home/176523264,2.0,"Double Sinks, Full on Ground Floor, Updated Bath(s)",,,,,,,,,,,,,,"Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Management Fee, Roof",One Lawrence Station,Monthly,,,,,,,,,
MLS Listing,,Condo/Co-op,2201 Monroe St #608,Santa Clara,CA,95050,600000,2.0,1.0,SANTA CLARA,853.0,,1978.0,3.0,703.0,414.0,Active,October-7-2023 01:30 PM,October-7-2023 04:30 PM,https://www.redfin.com/CA/Santa-Clara/2201-Monroe-St-95050/unit-608/home/1224868,MLSListings,ML81940866,N,Y,37.3625928,-121.9601533,"Carport, Guest/Visitor Parking","Dining Area in Living Room, No Formal Dining Room","Electricity Hookup (110V), Electricity Hookup (220V), In Utility Room, Inside",,Central Forced Air,Public Utilities,1.0,3,5,7,2.5,703.0,606070.0,4656.0,79,Very bikeable,62,Somewhat walkable,33,Some transit,Moderate,Minimal,Major,Minimal,"Places8 groceries, 22 restaurants, 5 parksTransit21, 22, 53, 57, 59, 60, ACE Yellow, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81940866,600000.0,https://www.redfin.com/CA/Santa-Clara/2201-Monroe-St-95050/unit-608/home/1224868,,Shower and Tub,"Laminate, Wood","May 31, 2001",Listing RemovedMLSListings #ML80122862,NA,"Apr 25, 2001",ListedMLSListings #ML80122862,289950.0,,,,,,,"Garbage, Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis",Courtyard Santa Clara,Monthly,,,,,,,,,
