SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PARK_DESCRIPTION,LAUNDARY_FEATURES,NUM_STORIES,BATH_DESCRIPTION,DINNING_DESC,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,Transit Score,Transit Score_type,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE
MLS Listing,,Single Family Residential,4213 Queensboro Way,Union City,CA,94587,1288000,3.0,2.0,ALVARADO,1357.0,5000.0,1971.0,1,949.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/4213-Queensboro-Way-94587/home/1265212,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040553,N,Y,37.5909549,-122.074712,2.0,Laminate,Forced Air,No Air Conditioning,6,6,6,2.5,949.0,1297912.0,9107.0,54,Bikeable,55,Somewhat walkable,Major,Minimal,Moderate,Minimal,"Places5 groceries, 34 restaurants, 2 parksTransit210, 41, 56, 97, SB","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040553",1288000.0,https://www.redfin.com/CA/Union-City/4213-Queensboro-Way-94587/home/1265212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,33774 Dalton Ct,Union City,CA,94587,1299000,3.0,2.0,,1320.0,8580.0,1968.0,2,984.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/33774-Dalton-Ct-94587/home/1527131,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040470,N,Y,37.5928334,-122.0308035,2.0,"Tile, Vinyl","Forced Air, Natural Gas","Ceiling Fan(s), Central Air",3,5,6,2.5,984.0,1309416.0,9185.0,74,Very bikeable,61,Somewhat walkable,Severe,Moderate,Moderate,Minimal,"Places3 groceries, 33 restaurants, 5 parksTransit200, 216, 232, 621, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040470",1299000.0,https://www.redfin.com/CA/Union-City/33774-Dalton-Ct-94587/home/1527131,"All Public Utilities, Individual Electric Meter, Individual Gas Meter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,2621 Great Arbor Way #71,Union City,CA,94587,759000,3.0,2.5,ALVARADO,1320.0,124015.0,1985.0,2,575.0,430.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2621-Great-Arbor-Way-94587/unit-71/home/533496,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038710,N,Y,37.5940657,-122.0486278,2.0,"Laminate, Tile",Natural Gas,,7,5,6,2.75,575.0,812530.0,5797.0,45,Somewhat bikeable,59,Somewhat walkable,Major,Minimal,Moderate,Minimal,"Places7 groceries, 21 restaurants, 7 parksTransit210, 232, 41, 56, 621, 97","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038710",759000.0,https://www.redfin.com/CA/Union-City/2621-Great-Arbor-Way-94587/unit-71/home/533496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,4934 Lowry Rd,Union City,CA,94587,605000,2.0,1.5,BRIDGEPOINTE,888.0,,1985.0,2,681.0,403.0,Active,,,https://www.redfin.com/CA/Union-City/4934-Lowry-Rd-94587/home/187718660,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040421,N,Y,37.5674107,-122.0690564,,Carpet,Forced Air,,7,6,6,2.5,681.0,610872.0,4681.0,58,Bikeable,14,Car-dependent,Moderate,Moderate,Moderate,Minimal,"Places4 groceries, 21 restaurants, 12 parksTransit200, 210, 232, 621, 626, 628, 629, 97, SB, U","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040421",605000.0,https://www.redfin.com/CA/Union-City/4934-Lowry-Rd-94587/home/187718660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,35181 Mount Whitney Ter,Fremont,CA,94536,1799000,4.0,3.0,NILES AREA,2196.0,4275.0,2000.0,2,819.0,140.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/35181-Mount-Whitney-Ter-94536/home/1208617,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040416,N,Y,37.5880648,-122.0032673,2.0,"Tile, Carpet, Engineered Wood",Forced Air,,7,6,7,2.25,819.0,1929200.0,12860.0,43,Somewhat bikeable,45,Car-dependent,Moderate,Severe,Moderate,Minimal,"Places4 groceries, 31 restaurants, 16 parksTransit200, 216, 232, 251, 625, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040416",1799000.0,https://www.redfin.com/CA/Fremont/35181-Mount-Whitney-Ter-94536/home/1208617,,"Jun 23, 2007","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40250633",NA,"Mar 19, 2007","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40250633",885000.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),33454 7th St,Union City,CA,94587,1250000,6.0,4.0,UNION CITY,2342.0,5000.0,1991.0,3,534.0,,Active,,,https://www.redfin.com/CA/Union-City/33454-7th-St-94587/home/1262777,MLSListings,ML81943364,N,Y,37.6022101,-122.0224423,2.0,"Laminate, Tile",Forced Air,Window/Wall Unit,4,5,6,2.5,534.0,1253770.0,8838.0,48,Somewhat bikeable,49,Car-dependent,Minimal,Major,Moderate,Minimal,"Places4 groceries, 28 restaurants, 6 parksTransit200, 216, 232, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 27, 2023",Listed (Active)MLSListings #ML81943364,1250000.0,https://www.redfin.com/CA/Union-City/33454-7th-St-94587/home/1262777,Public Utilities,"Jan 12, 2022","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40976763",NA,"Dec 27, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40976763",999888.0,"Attached Garage, On Street",Washer/Dryer,2.0,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,4232 Miramonte Way,Union City,CA,94587,698000,2.0,1.5,EL DORADO PARK,1054.0,1422.0,1972.0,3,662.0,297.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/4232-Miramonte-Way-94587/home/739642,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040393,N,Y,37.5919732,-122.0762327,2.0,"Hardwood, Engineered Wood","Forced Air, Natural Gas",,6,6,6,2.5,662.0,698767.0,5232.0,60,Bikeable,62,Somewhat walkable,Major,Minimal,Moderate,Minimal,"Places5 groceries, 32 restaurants, 2 parksTransit210, 41, 56, 97, SB","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040393",698000.0,https://www.redfin.com/CA/Union-City/4232-Miramonte-Way-94587/home/739642,,"Sep 7, 2023","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #41035674",NA,"Aug 14, 2023",,NA,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2483 Ascot Way,Union City,CA,94587,1199800,3.0,2.0,UNION CITY,1349.0,6000.0,1968.0,3,889.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2483-Ascot-Way-94587/home/1028063,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040369,N,Y,37.6011373,-122.0586328,2.0,"Hardwood, Tile, Carpet",Forced Air,Ceiling Fan(s),7,6,6,2.5,889.0,1259627.0,8483.0,45,Somewhat bikeable,47,Car-dependent,Severe,Minimal,Moderate,Minimal,"Places4 groceries, 34 restaurants, 3 parksTransit210, 41, 56, 97","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040369",1199800.0,https://www.redfin.com/CA/Union-City/2483-Ascot-Way-94587/home/1028063,,"Mar 23, 2021","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40942079",NA,"Mar 19, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40942079",939000.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2452 Maraschino Pl,Union City,CA,94587,1199000,3.0,2.0,CREEKSIDE,1392.0,6120.0,1972.0,3,861.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2452-Maraschino-Pl-94587/home/1996653,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039813,N,Y,37.5845053,-122.0252891,2.0,"Tile, Vinyl, Carpet","Forced Air, Natural Gas","Ceiling Fan(s), Central Air",3,5,6,2.5,861.0,1270693.0,8478.0,80,Very bikeable,72,Very walkable,Major,Moderate,Moderate,Minimal,"Places5 groceries, 39 restaurants, 1 parkTransit200, 210, 216, 232, 621, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039813",1199000.0,https://www.redfin.com/CA/Union-City/2452-Maraschino-Pl-94587/home/1996653,,"Jul 12, 2017","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40788108",NA,"Jul 6, 2017","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40788108",798000.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,33624 6th St,Union City,CA,94587,749888,2.0,1.0,DECOTO,720.0,5000.0,1947.0,3,1042.0,,Active,,,https://www.redfin.com/CA/Union-City/33624-6th-St-94587/home/1044551,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040278,N,Y,37.6012196,-122.0201456,,Vinyl,Forced Air,,4,5,6,2.5,1042.0,759259.0,5302.0,48,Somewhat bikeable,48,Car-dependent,Minimal,Major,Moderate,Minimal,"Places3 groceries, 31 restaurants, 6 parksTransit200, 216, 232, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 26, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040278",749888.0,https://www.redfin.com/CA/Union-City/33624-6th-St-94587/home/1044551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
